Date,Overall AQI Value,Main Pollutant,Site Name (of Overall AQI),Site ID (of Overall AQI),Source (of Overall AQI),SO2,PM25
03/28/2001,7,SO2,Superseded Aurora Ferry site,37-013-0006,AQS,7,.
03/29/2001,4,SO2,Superseded Aurora Ferry site,37-013-0006,AQS,4,.
03/30/2001,4,SO2,Superseded Aurora Ferry site,37-013-0006,AQS,4,.
03/31/2001,34,SO2,Superseded Aurora Ferry site,37-013-0006,AQS,34,.
04-01-2001,65,SO2,Superseded Aurora Ferry site,37-013-0006,AQS,65,.
04-02-2001,23,SO2,Superseded Aurora Ferry site,37-013-0006,AQS,23,.
04-03-2001,7,SO2,Superseded Aurora Ferry site,37-013-0006,AQS,7,.
04-04-2001,65,SO2,Superseded Aurora Ferry site,37-013-0006,AQS,65,.
04-05-2001,6,SO2,Superseded Aurora Ferry site,37-013-0006,AQS,6,.
04-06-2001,4,SO2,Superseded Aurora Ferry site,37-013-0006,AQS,4,.
04-07-2001,50,SO2,Superseded Aurora Ferry site,37-013-0006,AQS,50,.
04-08-2001,6,SO2,Superseded Aurora Ferry site,37-013-0006,AQS,6,.
04-09-2001,7,SO2,Superseded Aurora Ferry site,37-013-0006,AQS,7,.
04-10-2001,41,SO2,Superseded Aurora Ferry site,37-013-0006,AQS,41,.
04-11-2001,1,SO2,Superseded Aurora Ferry site,37-013-0006,AQS,1,.
04-12-2001,3,SO2,Superseded Aurora Ferry site,37-013-0006,AQS,3,.
04/13/2001,30,SO2,Superseded Aurora Ferry site,37-013-0006,AQS,30,.
04/14/2001,111,SO2,Superseded Aurora Ferry site,37-013-0006,AQS,111,.
04/15/2001,9,SO2,Superseded Aurora Ferry site,37-013-0006,AQS,9,.
04/16/2001,37,SO2,Superseded Aurora Ferry site,37-013-0006,AQS,37,.
04/17/2001,52,SO2,Superseded Aurora Ferry site,37-013-0006,AQS,52,.
04/18/2001,13,SO2,Superseded Aurora Ferry site,37-013-0006,AQS,13,.
04/19/2001,23,SO2,Superseded Aurora Ferry site,37-013-0006,AQS,23,.
04/20/2001,4,SO2,Superseded Aurora Ferry site,37-013-0006,AQS,4,.
04/21/2001,1,SO2,Superseded Aurora Ferry site,37-013-0006,AQS,1,.
04/22/2001,3,SO2,Superseded Aurora Ferry site,37-013-0006,AQS,3,.
04/23/2001,3,SO2,Superseded Aurora Ferry site,37-013-0006,AQS,3,.
04/24/2001,1,SO2,Superseded Aurora Ferry site,37-013-0006,AQS,1,.
04/25/2001,3,SO2,Superseded Aurora Ferry site,37-013-0006,AQS,3,.
04/26/2001,7,SO2,Superseded Aurora Ferry site,37-013-0006,AQS,7,.
04/27/2001,24,SO2,Superseded Aurora Ferry site,37-013-0006,AQS,24,.
04/28/2001,39,SO2,Superseded Aurora Ferry site,37-013-0006,AQS,39,.
04/29/2001,1,SO2,Superseded Aurora Ferry site,37-013-0006,AQS,1,.
04/30/2001,16,SO2,Superseded Aurora Ferry site,37-013-0006,AQS,16,.
05-01-2001,1,SO2,Superseded Aurora Ferry site,37-013-0006,AQS,1,.
05-02-2001,1,SO2,Superseded Aurora Ferry site,37-013-0006,AQS,1,.
05-03-2001,3,SO2,Superseded Aurora Ferry site,37-013-0006,AQS,3,.
