Date,Overall AQI Value,Main Pollutant,Site Name (of Overall AQI),Site ID (of Overall AQI),Source (of Overall AQI),SO2,PM25
09-07-2004,0,SO2,Superseded Aurora Ferry site,37-013-0006,AQS,0,.
09-08-2004,0,SO2,Superseded Aurora Ferry site,37-013-0006,AQS,0,.
09-09-2004,0,SO2,Superseded Aurora Ferry site,37-013-0006,AQS,0,.
09-10-2004,3,SO2,Superseded Aurora Ferry site,37-013-0006,AQS,3,.
09-11-2004,0,SO2,Superseded Aurora Ferry site,37-013-0006,AQS,0,.
09-12-2004,0,SO2,Superseded Aurora Ferry site,37-013-0006,AQS,0,.
09/13/2004,1,SO2,Superseded Aurora Ferry site,37-013-0006,AQS,1,.
09/14/2004,0,SO2,Superseded Aurora Ferry site,37-013-0006,AQS,0,.
09/15/2004,4,SO2,Superseded Aurora Ferry site,37-013-0006,AQS,4,.
09/16/2004,10,SO2,Superseded Aurora Ferry site,37-013-0006,AQS,10,.
09/17/2004,0,SO2,Superseded Aurora Ferry site,37-013-0006,AQS,0,.
09/18/2004,109,SO2,Superseded Aurora Ferry site,37-013-0006,AQS,109,.
09/19/2004,6,SO2,Superseded Aurora Ferry site,37-013-0006,AQS,6,.
09/20/2004,0,SO2,Superseded Aurora Ferry site,37-013-0006,AQS,0,.
09/21/2004,1,SO2,Superseded Aurora Ferry site,37-013-0006,AQS,1,.
09/22/2004,37,SO2,Superseded Aurora Ferry site,37-013-0006,AQS,37,.
09/23/2004,11,SO2,Superseded Aurora Ferry site,37-013-0006,AQS,11,.
09/24/2004,0,SO2,Superseded Aurora Ferry site,37-013-0006,AQS,0,.
09/25/2004,0,SO2,Superseded Aurora Ferry site,37-013-0006,AQS,0,.
09/26/2004,0,SO2,Superseded Aurora Ferry site,37-013-0006,AQS,0,.
09/27/2004,1,SO2,Superseded Aurora Ferry site,37-013-0006,AQS,1,.
09/28/2004,0,SO2,Superseded Aurora Ferry site,37-013-0006,AQS,0,.
09/29/2004,92,SO2,Superseded Aurora Ferry site,37-013-0006,AQS,92,.
09/30/2004,0,SO2,Superseded Aurora Ferry site,37-013-0006,AQS,0,.
10-01-2004,0,SO2,Superseded Aurora Ferry site,37-013-0006,AQS,0,.
10-02-2004,0,SO2,Superseded Aurora Ferry site,37-013-0006,AQS,0,.
10-03-2004,74,SO2,Superseded Aurora Ferry site,37-013-0006,AQS,74,.
10-04-2004,13,SO2,Superseded Aurora Ferry site,37-013-0006,AQS,13,.
10-05-2004,4,SO2,Superseded Aurora Ferry site,37-013-0006,AQS,4,.
10-06-2004,6,SO2,Superseded Aurora Ferry site,37-013-0006,AQS,6,.
10-07-2004,1,SO2,Superseded Aurora Ferry site,37-013-0006,AQS,1,.
10-08-2004,1,SO2,Superseded Aurora Ferry site,37-013-0006,AQS,1,.
10-09-2004,11,SO2,Superseded Aurora Ferry site,37-013-0006,AQS,11,.
10-10-2004,115,SO2,Superseded Aurora Ferry site,37-013-0006,AQS,115,.
10-11-2004,14,SO2,Superseded Aurora Ferry site,37-013-0006,AQS,14,.
10-12-2004,23,SO2,Superseded Aurora Ferry site,37-013-0006,AQS,23,.
10/13/2004,14,SO2,Superseded Aurora Ferry site,37-013-0006,AQS,14,.
10/14/2004,30,SO2,Superseded Aurora Ferry site,37-013-0006,AQS,30,.
10/15/2004,1,SO2,Superseded Aurora Ferry site,37-013-0006,AQS,1,.
10/16/2004,1,SO2,Superseded Aurora Ferry site,37-013-0006,AQS,1,.
10/17/2004,3,SO2,Superseded Aurora Ferry site,37-013-0006,AQS,3,.
10/18/2004,19,SO2,Superseded Aurora Ferry site,37-013-0006,AQS,19,.
10/19/2004,1,SO2,Superseded Aurora Ferry site,37-013-0006,AQS,1,.
10/20/2004,39,SO2,Superseded Aurora Ferry site,37-013-0006,AQS,39,.
10/21/2004,0,SO2,Superseded Aurora Ferry site,37-013-0006,AQS,0,.
10/22/2004,3,SO2,Superseded Aurora Ferry site,37-013-0006,AQS,3,.
10/23/2004,21,SO2,Superseded Aurora Ferry site,37-013-0006,AQS,21,.
10/24/2004,11,SO2,Superseded Aurora Ferry site,37-013-0006,AQS,11,.
10/25/2004,7,SO2,Superseded Aurora Ferry site,37-013-0006,AQS,7,.
10/26/2004,9,SO2,Superseded Aurora Ferry site,37-013-0006,AQS,9,.
10/27/2004,24,SO2,Superseded Aurora Ferry site,37-013-0006,AQS,24,.
10/28/2004,1,SO2,Superseded Aurora Ferry site,37-013-0006,AQS,1,.
10/29/2004,3,SO2,Superseded Aurora Ferry site,37-013-0006,AQS,3,.
10/30/2004,3,SO2,Superseded Aurora Ferry site,37-013-0006,AQS,3,.
10/31/2004,1,SO2,Superseded Aurora Ferry site,37-013-0006,AQS,1,.
11-01-2004,37,SO2,Superseded Aurora Ferry site,37-013-0006,AQS,37,.
11-02-2004,3,SO2,Superseded Aurora Ferry site,37-013-0006,AQS,3,.
11-03-2004,10,SO2,Superseded Aurora Ferry site,37-013-0006,AQS,10,.
11-04-2004,55,SO2,Superseded Aurora Ferry site,37-013-0006,AQS,55,.
11-05-2004,92,SO2,Superseded Aurora Ferry site,37-013-0006,AQS,92,.
11-06-2004,21,SO2,Superseded Aurora Ferry site,37-013-0006,AQS,21,.
11-07-2004,3,SO2,Superseded Aurora Ferry site,37-013-0006,AQS,3,.
11-08-2004,16,SO2,Superseded Aurora Ferry site,37-013-0006,AQS,16,.
11-09-2004,10,SO2,Superseded Aurora Ferry site,37-013-0006,AQS,10,.
11-10-2004,4,SO2,Superseded Aurora Ferry site,37-013-0006,AQS,4,.
11-11-2004,21,SO2,Superseded Aurora Ferry site,37-013-0006,AQS,21,.
11-12-2004,0,SO2,Superseded Aurora Ferry site,37-013-0006,AQS,0,.
11/13/2004,4,SO2,Superseded Aurora Ferry site,37-013-0006,AQS,4,.
11/14/2004,3,SO2,Superseded Aurora Ferry site,37-013-0006,AQS,3,.
11/15/2004,29,SO2,Superseded Aurora Ferry site,37-013-0006,AQS,29,.
11/16/2004,41,SO2,Superseded Aurora Ferry site,37-013-0006,AQS,41,.
11/17/2004,47,SO2,Superseded Aurora Ferry site,37-013-0006,AQS,47,.
11/18/2004,14,SO2,Superseded Aurora Ferry site,37-013-0006,AQS,14,.
11/19/2004,10,SO2,Superseded Aurora Ferry site,37-013-0006,AQS,10,.
11/20/2004,6,SO2,Superseded Aurora Ferry site,37-013-0006,AQS,6,.
11/21/2004,17,SO2,Superseded Aurora Ferry site,37-013-0006,AQS,17,.
11/22/2004,1,SO2,Superseded Aurora Ferry site,37-013-0006,AQS,1,.
11/23/2004,1,SO2,Superseded Aurora Ferry site,37-013-0006,AQS,1,.
11/24/2004,1,SO2,Superseded Aurora Ferry site,37-013-0006,AQS,1,.
11/25/2004,4,SO2,Superseded Aurora Ferry site,37-013-0006,AQS,4,.
11/26/2004,107,SO2,Superseded Aurora Ferry site,37-013-0006,AQS,107,.
11/27/2004,1,SO2,Superseded Aurora Ferry site,37-013-0006,AQS,1,.
11/28/2004,49,SO2,Superseded Aurora Ferry site,37-013-0006,AQS,49,.
11/29/2004,7,SO2,Superseded Aurora Ferry site,37-013-0006,AQS,7,.
11/30/2004,6,SO2,Superseded Aurora Ferry site,37-013-0006,AQS,6,.
12-01-2004,11,SO2,Superseded Aurora Ferry site,37-013-0006,AQS,11,.
12-07-2004,4,SO2,Superseded Aurora Ferry site,37-013-0006,AQS,4,.
12-08-2004,27,SO2,Superseded Aurora Ferry site,37-013-0006,AQS,27,.
12-09-2004,3,SO2,Superseded Aurora Ferry site,37-013-0006,AQS,3,.
12-10-2004,0,SO2,Superseded Aurora Ferry site,37-013-0006,AQS,0,.
12-11-2004,1,SO2,Superseded Aurora Ferry site,37-013-0006,AQS,1,.
12-12-2004,6,SO2,Superseded Aurora Ferry site,37-013-0006,AQS,6,.
12/13/2004,122,SO2,Superseded Aurora Ferry site,37-013-0006,AQS,122,.
12/14/2004,103,SO2,Superseded Aurora Ferry site,37-013-0006,AQS,103,.
12/15/2004,34,SO2,Superseded Aurora Ferry site,37-013-0006,AQS,34,.
12/16/2004,23,SO2,Superseded Aurora Ferry site,37-013-0006,AQS,23,.
12/17/2004,26,SO2,Superseded Aurora Ferry site,37-013-0006,AQS,26,.
12/18/2004,19,SO2,Superseded Aurora Ferry site,37-013-0006,AQS,19,.
12/19/2004,4,SO2,Superseded Aurora Ferry site,37-013-0006,AQS,4,.
12/20/2004,44,SO2,Superseded Aurora Ferry site,37-013-0006,AQS,44,.
12/21/2004,6,SO2,Superseded Aurora Ferry site,37-013-0006,AQS,6,.
12/22/2004,9,SO2,Superseded Aurora Ferry site,37-013-0006,AQS,9,.
12/23/2004,119,SO2,Superseded Aurora Ferry site,37-013-0006,AQS,119,.
12/24/2004,16,SO2,Superseded Aurora Ferry site,37-013-0006,AQS,16,.
12/25/2004,16,SO2,Superseded Aurora Ferry site,37-013-0006,AQS,16,.
12/26/2004,90,SO2,Superseded Aurora Ferry site,37-013-0006,AQS,90,.
12/27/2004,74,SO2,Superseded Aurora Ferry site,37-013-0006,AQS,74,.
12/28/2004,21,SO2,Superseded Aurora Ferry site,37-013-0006,AQS,21,.
12/29/2004,11,SO2,Superseded Aurora Ferry site,37-013-0006,AQS,11,.
12/30/2004,41,SO2,Superseded Aurora Ferry site,37-013-0006,AQS,41,.
12/31/2004,4,SO2,Superseded Aurora Ferry site,37-013-0006,AQS,4,.
01-01-2005,14,SO2,Superseded Aurora Ferry site,37-013-0006,AQS,14,.
01-02-2005,4,SO2,Superseded Aurora Ferry site,37-013-0006,AQS,4,.
01-03-2005,69,SO2,Superseded Aurora Ferry site,37-013-0006,AQS,69,.
01-04-2005,7,SO2,Superseded Aurora Ferry site,37-013-0006,AQS,7,.
01-05-2005,3,SO2,Superseded Aurora Ferry site,37-013-0006,AQS,3,.
01-06-2005,4,SO2,Superseded Aurora Ferry site,37-013-0006,AQS,4,.
01-07-2005,4,SO2,Superseded Aurora Ferry site,37-013-0006,AQS,4,.
01-08-2005,6,SO2,Superseded Aurora Ferry site,37-013-0006,AQS,6,.
01-09-2005,9,SO2,Superseded Aurora Ferry site,37-013-0006,AQS,9,.
01-10-2005,9,SO2,Superseded Aurora Ferry site,37-013-0006,AQS,9,.
01-11-2005,3,SO2,Superseded Aurora Ferry site,37-013-0006,AQS,3,.
01-12-2005,13,SO2,Superseded Aurora Ferry site,37-013-0006,AQS,13,.
01/13/2005,0,SO2,Superseded Aurora Ferry site,37-013-0006,AQS,0,.
01/14/2005,43,SO2,Superseded Aurora Ferry site,37-013-0006,AQS,43,.
01/15/2005,4,SO2,Superseded Aurora Ferry site,37-013-0006,AQS,4,.
01/16/2005,1,SO2,Superseded Aurora Ferry site,37-013-0006,AQS,1,.
01/17/2005,103,SO2,Superseded Aurora Ferry site,37-013-0006,AQS,103,.
01/18/2005,36,SO2,Superseded Aurora Ferry site,37-013-0006,AQS,36,.
01/19/2005,10,SO2,Superseded Aurora Ferry site,37-013-0006,AQS,10,.
01/20/2005,27,SO2,Superseded Aurora Ferry site,37-013-0006,AQS,27,.
01/21/2005,7,SO2,Superseded Aurora Ferry site,37-013-0006,AQS,7,.
01/22/2005,4,SO2,Superseded Aurora Ferry site,37-013-0006,AQS,4,.
01/23/2005,103,SO2,Superseded Aurora Ferry site,37-013-0006,AQS,103,.
01/24/2005,89,SO2,Superseded Aurora Ferry site,37-013-0006,AQS,89,.
01/25/2005,20,SO2,Superseded Aurora Ferry site,37-013-0006,AQS,20,.
01/26/2005,61,SO2,Superseded Aurora Ferry site,37-013-0006,AQS,61,.
01/27/2005,20,SO2,Superseded Aurora Ferry site,37-013-0006,AQS,20,.
01/28/2005,9,SO2,Superseded Aurora Ferry site,37-013-0006,AQS,9,.
01/29/2005,20,SO2,Superseded Aurora Ferry site,37-013-0006,AQS,20,.
01/30/2005,101,SO2,Superseded Aurora Ferry site,37-013-0006,AQS,101,.
01/31/2005,23,SO2,Superseded Aurora Ferry site,37-013-0006,AQS,23,.
02-01-2005,4,SO2,Superseded Aurora Ferry site,37-013-0006,AQS,4,.
02-02-2005,3,SO2,Superseded Aurora Ferry site,37-013-0006,AQS,3,.
02-03-2005,1,SO2,Superseded Aurora Ferry site,37-013-0006,AQS,1,.
02-04-2005,27,SO2,Superseded Aurora Ferry site,37-013-0006,AQS,27,.
02-05-2005,82,SO2,Superseded Aurora Ferry site,37-013-0006,AQS,82,.
02-06-2005,10,SO2,Superseded Aurora Ferry site,37-013-0006,AQS,10,.
02-07-2005,3,SO2,Superseded Aurora Ferry site,37-013-0006,AQS,3,.
02-08-2005,87,SO2,Superseded Aurora Ferry site,37-013-0006,AQS,87,.
02-09-2005,9,SO2,Superseded Aurora Ferry site,37-013-0006,AQS,9,.
02-10-2005,10,SO2,Superseded Aurora Ferry site,37-013-0006,AQS,10,.
02-11-2005,13,SO2,Superseded Aurora Ferry site,37-013-0006,AQS,13,.
02-12-2005,10,SO2,Superseded Aurora Ferry site,37-013-0006,AQS,10,.
02/13/2005,21,SO2,Superseded Aurora Ferry site,37-013-0006,AQS,21,.
02/14/2005,3,SO2,Superseded Aurora Ferry site,37-013-0006,AQS,3,.
02/15/2005,3,SO2,Superseded Aurora Ferry site,37-013-0006,AQS,3,.
02/16/2005,6,SO2,Superseded Aurora Ferry site,37-013-0006,AQS,6,.
02/17/2005,85,SO2,Superseded Aurora Ferry site,37-013-0006,AQS,85,.
02/18/2005,49,SO2,Superseded Aurora Ferry site,37-013-0006,AQS,49,.
02/19/2005,47,SO2,Superseded Aurora Ferry site,37-013-0006,AQS,47,.
02/20/2005,6,SO2,Superseded Aurora Ferry site,37-013-0006,AQS,6,.
02/21/2005,3,SO2,Superseded Aurora Ferry site,37-013-0006,AQS,3,.
02/22/2005,7,SO2,Superseded Aurora Ferry site,37-013-0006,AQS,7,.
02/23/2005,24,SO2,Superseded Aurora Ferry site,37-013-0006,AQS,24,.
02/24/2005,43,SO2,Superseded Aurora Ferry site,37-013-0006,AQS,43,.
02/25/2005,51,SO2,Superseded Aurora Ferry site,37-013-0006,AQS,51,.
02/26/2005,50,SO2,Superseded Aurora Ferry site,37-013-0006,AQS,50,.
02/27/2005,9,SO2,Superseded Aurora Ferry site,37-013-0006,AQS,9,.
02/28/2005,1,SO2,Superseded Aurora Ferry site,37-013-0006,AQS,1,.
03-01-2005,6,SO2,Superseded Aurora Ferry site,37-013-0006,AQS,6,.
03-02-2005,51,SO2,Superseded Aurora Ferry site,37-013-0006,AQS,51,.
03-03-2005,65,SO2,Superseded Aurora Ferry site,37-013-0006,AQS,65,.
03-04-2005,47,SO2,Superseded Aurora Ferry site,37-013-0006,AQS,47,.
03-05-2005,79,SO2,Superseded Aurora Ferry site,37-013-0006,AQS,79,.
03-06-2005,46,SO2,Superseded Aurora Ferry site,37-013-0006,AQS,46,.
03-07-2005,10,SO2,Superseded Aurora Ferry site,37-013-0006,AQS,10,.
03-08-2005,6,SO2,Superseded Aurora Ferry site,37-013-0006,AQS,6,.
03-09-2005,31,SO2,Superseded Aurora Ferry site,37-013-0006,AQS,31,.
03-10-2005,47,SO2,Superseded Aurora Ferry site,37-013-0006,AQS,47,.
03-11-2005,10,SO2,Superseded Aurora Ferry site,37-013-0006,AQS,10,.
03-12-2005,4,SO2,Superseded Aurora Ferry site,37-013-0006,AQS,4,.
03/13/2005,3,SO2,Superseded Aurora Ferry site,37-013-0006,AQS,3,.
03/14/2005,10,SO2,Superseded Aurora Ferry site,37-013-0006,AQS,10,.
03/15/2005,33,SO2,Superseded Aurora Ferry site,37-013-0006,AQS,33,.
03/16/2005,9,SO2,Superseded Aurora Ferry site,37-013-0006,AQS,9,.
03/17/2005,1,SO2,Superseded Aurora Ferry site,37-013-0006,AQS,1,.
03/18/2005,6,SO2,Superseded Aurora Ferry site,37-013-0006,AQS,6,.
03/19/2005,9,SO2,Superseded Aurora Ferry site,37-013-0006,AQS,9,.
03/20/2005,40,SO2,Superseded Aurora Ferry site,37-013-0006,AQS,40,.
03/21/2005,41,SO2,Superseded Aurora Ferry site,37-013-0006,AQS,41,.
03/22/2005,6,SO2,Superseded Aurora Ferry site,37-013-0006,AQS,6,.
03/23/2005,43,SO2,Superseded Aurora Ferry site,37-013-0006,AQS,43,.
03/24/2005,41,SO2,Superseded Aurora Ferry site,37-013-0006,AQS,41,.
03/25/2005,9,SO2,Superseded Aurora Ferry site,37-013-0006,AQS,9,.
03/26/2005,34,SO2,Superseded Aurora Ferry site,37-013-0006,AQS,34,.
03/27/2005,1,SO2,Superseded Aurora Ferry site,37-013-0006,AQS,1,.
03/28/2005,1,SO2,Superseded Aurora Ferry site,37-013-0006,AQS,1,.
03/29/2005,71,SO2,Superseded Aurora Ferry site,37-013-0006,AQS,71,.
03/30/2005,34,SO2,Superseded Aurora Ferry site,37-013-0006,AQS,34,.
03/31/2005,13,SO2,Superseded Aurora Ferry site,37-013-0006,AQS,13,.
04-01-2005,54,SO2,Superseded Aurora Ferry site,37-013-0006,AQS,54,.
04-02-2005,3,SO2,Superseded Aurora Ferry site,37-013-0006,AQS,3,.
04-03-2005,6,SO2,Superseded Aurora Ferry site,37-013-0006,AQS,6,.
04-04-2005,10,SO2,Superseded Aurora Ferry site,37-013-0006,AQS,10,.
04-05-2005,6,SO2,Superseded Aurora Ferry site,37-013-0006,AQS,6,.
04-06-2005,6,SO2,Superseded Aurora Ferry site,37-013-0006,AQS,6,.
04-07-2005,1,SO2,Superseded Aurora Ferry site,37-013-0006,AQS,1,.
04-08-2005,1,SO2,Superseded Aurora Ferry site,37-013-0006,AQS,1,.
04-09-2005,1,SO2,Superseded Aurora Ferry site,37-013-0006,AQS,1,.
04-10-2005,4,SO2,Superseded Aurora Ferry site,37-013-0006,AQS,4,.
04-11-2005,65,SO2,Superseded Aurora Ferry site,37-013-0006,AQS,65,.
04-12-2005,1,SO2,Superseded Aurora Ferry site,37-013-0006,AQS,1,.
04/13/2005,1,SO2,Superseded Aurora Ferry site,37-013-0006,AQS,1,.
04/14/2005,3,SO2,Superseded Aurora Ferry site,37-013-0006,AQS,3,.
04/15/2005,1,SO2,Superseded Aurora Ferry site,37-013-0006,AQS,1,.
04/16/2005,1,SO2,Superseded Aurora Ferry site,37-013-0006,AQS,1,.
04/17/2005,33,SO2,Superseded Aurora Ferry site,37-013-0006,AQS,33,.
04/18/2005,65,SO2,Superseded Aurora Ferry site,37-013-0006,AQS,65,.
04/19/2005,34,SO2,Superseded Aurora Ferry site,37-013-0006,AQS,34,.
04/20/2005,10,SO2,Superseded Aurora Ferry site,37-013-0006,AQS,10,.
04/21/2005,29,SO2,Superseded Aurora Ferry site,37-013-0006,AQS,29,.
04/22/2005,6,SO2,Superseded Aurora Ferry site,37-013-0006,AQS,6,.
04/23/2005,3,SO2,Superseded Aurora Ferry site,37-013-0006,AQS,3,.
04/24/2005,4,SO2,Superseded Aurora Ferry site,37-013-0006,AQS,4,.
04/25/2005,4,SO2,Superseded Aurora Ferry site,37-013-0006,AQS,4,.
04/26/2005,6,SO2,Superseded Aurora Ferry site,37-013-0006,AQS,6,.
04/27/2005,23,SO2,Superseded Aurora Ferry site,37-013-0006,AQS,23,.
04/28/2005,31,SO2,Superseded Aurora Ferry site,37-013-0006,AQS,31,.
04/29/2005,7,SO2,Superseded Aurora Ferry site,37-013-0006,AQS,7,.
04/30/2005,1,SO2,Superseded Aurora Ferry site,37-013-0006,AQS,1,.
05-01-2005,61,SO2,Superseded Aurora Ferry site,37-013-0006,AQS,61,.
05-02-2005,3,SO2,Superseded Aurora Ferry site,37-013-0006,AQS,3,.
05-03-2005,16,SO2,Superseded Aurora Ferry site,37-013-0006,AQS,16,.
05-04-2005,3,SO2,Superseded Aurora Ferry site,37-013-0006,AQS,3,.
05-05-2005,3,SO2,Superseded Aurora Ferry site,37-013-0006,AQS,3,.
05-06-2005,41,SO2,Superseded Aurora Ferry site,37-013-0006,AQS,41,.
05-07-2005,74,SO2,Superseded Aurora Ferry site,37-013-0006,AQS,74,.
05-08-2005,125,SO2,Superseded Aurora Ferry site,37-013-0006,AQS,125,.
05-09-2005,44,SO2,Superseded Aurora Ferry site,37-013-0006,AQS,44,.
05-10-2005,3,SO2,Superseded Aurora Ferry site,37-013-0006,AQS,3,.
05-11-2005,3,SO2,Superseded Aurora Ferry site,37-013-0006,AQS,3,.
05-12-2005,56,SO2,Superseded Aurora Ferry site,37-013-0006,AQS,56,.
05/13/2005,1,SO2,Superseded Aurora Ferry site,37-013-0006,AQS,1,.
05/14/2005,1,SO2,Superseded Aurora Ferry site,37-013-0006,AQS,1,.
05/15/2005,3,SO2,Superseded Aurora Ferry site,37-013-0006,AQS,3,.
05/16/2005,6,SO2,Superseded Aurora Ferry site,37-013-0006,AQS,6,.
05/17/2005,3,SO2,Superseded Aurora Ferry site,37-013-0006,AQS,3,.
05/18/2005,3,SO2,Superseded Aurora Ferry site,37-013-0006,AQS,3,.
05/19/2005,3,SO2,Superseded Aurora Ferry site,37-013-0006,AQS,3,.
05/20/2005,1,SO2,Superseded Aurora Ferry site,37-013-0006,AQS,1,.
05/21/2005,6,SO2,Superseded Aurora Ferry site,37-013-0006,AQS,6,.
05/22/2005,4,SO2,Superseded Aurora Ferry site,37-013-0006,AQS,4,.
05/23/2005,4,SO2,Superseded Aurora Ferry site,37-013-0006,AQS,4,.
05/24/2005,36,SO2,Superseded Aurora Ferry site,37-013-0006,AQS,36,.
05/25/2005,64,SO2,Superseded Aurora Ferry site,37-013-0006,AQS,64,.
05/26/2005,11,SO2,Superseded Aurora Ferry site,37-013-0006,AQS,11,.
05/27/2005,6,SO2,Superseded Aurora Ferry site,37-013-0006,AQS,6,.
05/28/2005,27,SO2,Superseded Aurora Ferry site,37-013-0006,AQS,27,.
05/29/2005,54,SO2,Superseded Aurora Ferry site,37-013-0006,AQS,54,.
05/30/2005,4,SO2,Superseded Aurora Ferry site,37-013-0006,AQS,4,.
05/31/2005,3,SO2,Superseded Aurora Ferry site,37-013-0006,AQS,3,.
06-01-2005,1,SO2,Superseded Aurora Ferry site,37-013-0006,AQS,1,.
06-02-2005,1,SO2,Superseded Aurora Ferry site,37-013-0006,AQS,1,.
06-03-2005,14,SO2,Superseded Aurora Ferry site,37-013-0006,AQS,14,.
06-04-2005,4,SO2,Superseded Aurora Ferry site,37-013-0006,AQS,4,.
06-05-2005,31,SO2,Superseded Aurora Ferry site,37-013-0006,AQS,31,.
06-06-2005,1,SO2,Superseded Aurora Ferry site,37-013-0006,AQS,1,.
06-07-2005,1,SO2,Superseded Aurora Ferry site,37-013-0006,AQS,1,.
06-08-2005,7,SO2,Superseded Aurora Ferry site,37-013-0006,AQS,7,.
06-09-2005,1,SO2,Superseded Aurora Ferry site,37-013-0006,AQS,1,.
06-10-2005,1,SO2,Superseded Aurora Ferry site,37-013-0006,AQS,1,.
06-11-2005,1,SO2,Superseded Aurora Ferry site,37-013-0006,AQS,1,.
06-12-2005,1,SO2,Superseded Aurora Ferry site,37-013-0006,AQS,1,.
06/13/2005,1,SO2,Superseded Aurora Ferry site,37-013-0006,AQS,1,.
06/14/2005,3,SO2,Superseded Aurora Ferry site,37-013-0006,AQS,3,.
06/15/2005,3,SO2,Superseded Aurora Ferry site,37-013-0006,AQS,3,.
06/16/2005,29,SO2,Superseded Aurora Ferry site,37-013-0006,AQS,29,.
06/17/2005,16,SO2,Superseded Aurora Ferry site,37-013-0006,AQS,16,.
06/18/2005,3,SO2,Superseded Aurora Ferry site,37-013-0006,AQS,3,.
06/19/2005,4,SO2,Superseded Aurora Ferry site,37-013-0006,AQS,4,.
06/20/2005,1,SO2,Superseded Aurora Ferry site,37-013-0006,AQS,1,.
06/21/2005,9,SO2,Superseded Aurora Ferry site,37-013-0006,AQS,9,.
06/22/2005,9,SO2,Superseded Aurora Ferry site,37-013-0006,AQS,9,.
06/23/2005,7,SO2,Superseded Aurora Ferry site,37-013-0006,AQS,7,.
06/24/2005,3,SO2,Superseded Aurora Ferry site,37-013-0006,AQS,3,.
06/25/2005,1,SO2,Superseded Aurora Ferry site,37-013-0006,AQS,1,.
06/26/2005,10,SO2,Superseded Aurora Ferry site,37-013-0006,AQS,10,.
06/27/2005,3,SO2,Superseded Aurora Ferry site,37-013-0006,AQS,3,.
06/28/2005,1,SO2,Superseded Aurora Ferry site,37-013-0006,AQS,1,.
06/29/2005,1,SO2,Superseded Aurora Ferry site,37-013-0006,AQS,1,.
06/30/2005,3,SO2,Superseded Aurora Ferry site,37-013-0006,AQS,3,.
07-01-2005,1,SO2,Superseded Aurora Ferry site,37-013-0006,AQS,1,.
07-02-2005,6,SO2,Superseded Aurora Ferry site,37-013-0006,AQS,6,.
07-03-2005,3,SO2,Superseded Aurora Ferry site,37-013-0006,AQS,3,.
07-04-2005,1,SO2,Superseded Aurora Ferry site,37-013-0006,AQS,1,.
07-05-2005,1,SO2,Superseded Aurora Ferry site,37-013-0006,AQS,1,.
07-06-2005,4,SO2,Superseded Aurora Ferry site,37-013-0006,AQS,4,.
07-07-2005,3,SO2,Superseded Aurora Ferry site,37-013-0006,AQS,3,.
07-08-2005,16,SO2,Superseded Aurora Ferry site,37-013-0006,AQS,16,.
07-09-2005,23,SO2,Superseded Aurora Ferry site,37-013-0006,AQS,23,.
07-10-2005,10,SO2,Superseded Aurora Ferry site,37-013-0006,AQS,10,.
07-11-2005,4,SO2,Superseded Aurora Ferry site,37-013-0006,AQS,4,.
07-12-2005,1,SO2,Superseded Aurora Ferry site,37-013-0006,AQS,1,.
07/13/2005,3,SO2,Superseded Aurora Ferry site,37-013-0006,AQS,3,.
07/14/2005,4,SO2,Superseded Aurora Ferry site,37-013-0006,AQS,4,.
07/15/2005,1,SO2,Superseded Aurora Ferry site,37-013-0006,AQS,1,.
07/16/2005,1,SO2,Superseded Aurora Ferry site,37-013-0006,AQS,1,.
07/17/2005,11,SO2,Superseded Aurora Ferry site,37-013-0006,AQS,11,.
07/18/2005,3,SO2,Superseded Aurora Ferry site,37-013-0006,AQS,3,.
07/19/2005,13,SO2,Superseded Aurora Ferry site,37-013-0006,AQS,13,.
07/20/2005,7,SO2,Superseded Aurora Ferry site,37-013-0006,AQS,7,.
07/21/2005,3,SO2,Superseded Aurora Ferry site,37-013-0006,AQS,3,.
07/22/2005,4,SO2,Superseded Aurora Ferry site,37-013-0006,AQS,4,.
07/23/2005,24,SO2,Superseded Aurora Ferry site,37-013-0006,AQS,24,.
07/24/2005,3,SO2,Superseded Aurora Ferry site,37-013-0006,AQS,3,.
07/25/2005,4,SO2,Superseded Aurora Ferry site,37-013-0006,AQS,4,.
07/26/2005,24,SO2,Superseded Aurora Ferry site,37-013-0006,AQS,24,.
07/27/2005,17,SO2,Superseded Aurora Ferry site,37-013-0006,AQS,17,.
07/30/2005,4,SO2,Superseded Aurora Ferry site,37-013-0006,AQS,4,.
07/31/2005,0,SO2,Superseded Aurora Ferry site,37-013-0006,AQS,0,.
08-01-2005,0,SO2,Superseded Aurora Ferry site,37-013-0006,AQS,0,.
08-02-2005,6,SO2,Superseded Aurora Ferry site,37-013-0006,AQS,6,.
08-03-2005,44,SO2,Superseded Aurora Ferry site,37-013-0006,AQS,44,.
08-04-2005,3,SO2,Superseded Aurora Ferry site,37-013-0006,AQS,3,.
08-05-2005,0,SO2,Superseded Aurora Ferry site,37-013-0006,AQS,0,.
08-06-2005,0,SO2,Superseded Aurora Ferry site,37-013-0006,AQS,0,.
08-07-2005,0,SO2,Superseded Aurora Ferry site,37-013-0006,AQS,0,.
08-08-2005,0,SO2,Superseded Aurora Ferry site,37-013-0006,AQS,0,.
08-09-2005,1,SO2,Superseded Aurora Ferry site,37-013-0006,AQS,1,.
08-10-2005,64,SO2,Superseded Aurora Ferry site,37-013-0006,AQS,64,.
