Date,Overall AQI Value,Main Pollutant,Site Name (of Overall AQI),Site ID (of Overall AQI),Source (of Overall AQI),CO,Ozone,SO2,PM10,PM25,NO2,,
01-01-1996,116,CO,Lynwood,06-037-1301,AQS,116,39,24,67,.,63,,
01-02-1996,118,CO,Lynwood,06-037-1301,AQS,118,30,19,42,.,102,,
01-03-1996,99,CO,Lynwood,06-037-1301,AQS,99,30,19,40,.,97,,
01-04-1996,75,CO,Lynwood,06-037-1301,AQS,75,28,11,56,.,73,,
01-05-1996,79,NO2,SITE IS LOCATED ONE HALF MILE EAST OF THE I-57/I-60 INTERCHANGE,06-037-0206,AQS,62,35,10,53,.,79,,
01-06-1996,173,CO,Lynwood,06-037-1301,AQS,173,29,13,57,.,103,,
01-07-1996,178,CO,Lynwood,06-037-1301,AQS,178,27,14,31,.,101,,
01-08-1996,173,CO,Lynwood,06-037-1301,AQS,173,24,36,55,.,108,,
01-09-1996,119,NO2,Los Angeles-North Main Street,06-037-1103,AQS,98,27,23,78,.,119,,
01-10-1996,128,NO2,Los Angeles-North Main Street,06-037-1103,AQS,116,31,29,95,.,128,,
01-11-1996,128,CO,Lynwood,06-037-1301,AQS,128,29,16,47,.,106,,
01-12-1996,135,CO,Lynwood,06-037-1301,AQS,135,24,19,47,.,99,,
01/13/1996,214,CO,Lynwood,06-037-1301,AQS,214,22,20,53,.,103,,
01/14/1996,105,NO2,Pasadena,06-037-2005,AQS,65,33,16,54,.,105,,
01/15/1996,110,NO2,Azusa,06-037-0002,AQS,74,33,20,68,.,110,,
01/16/1996,64,NO2,Azusa,06-037-0002,AQS,42,29,11,52,.,64,,
01/17/1996,55,NO2,Pomona,06-037-1701,AQS,36,30,9,24,.,55,,
01/18/1996,69,NO2,Glendora,06-037-0016,AQS,49,25,10,39,.,69,,
01/19/1996,57,NO2,Pomona,06-037-1701,AQS,33,32,6,21,.,57,,
01/20/1996,79,NO2,Pomona,06-037-1701,AQS,73,30,11,26,.,79,,
01/21/1996,86,CO,Lynwood,06-037-1301,AQS,86,31,11,30,.,67,,
01/22/1996,57,NO2,Pomona,06-037-1701,AQS,50,30,10,24,.,57,,
01/23/1996,68,NO2,Pomona,06-037-1701,AQS,66,31,20,33,.,68,,
01/24/1996,102,NO2,West Los Angeles,06-037-0113,AQS,92,32,13,50,.,102,,
01/25/1996,78,NO2,West Los Angeles,06-037-0113,AQS,58,31,7,44,.,78,,
01/26/1996,80,NO2,Long Beach (North),06-037-4002,AQS,73,29,17,39,.,80,,
01/27/1996,93,CO,Lynwood,06-037-1301,AQS,93,30,16,39,.,86,,
01/28/1996,57,NO2,West Los Angeles,06-037-0113,AQS,42,31,20,28,.,57,,
01/29/1996,58,NO2,West Los Angeles,06-037-0113,AQS,55,27,7,29,.,58,,
01/30/1996,101,NO2,Reseda,06-037-1201,AQS,73,18,16,41,.,101,,
01/31/1996,46,NO2,,06-037-1601,AQS,24,33,6,15,.,46,,
02-01-1996,63,NO2,,06-037-1601,AQS,35,31,6,23,.,63,,
02-02-1996,48,NO2,Azusa,06-037-0002,AQS,35,28,10,25,.,48,,
02-03-1996,48,NO2,Azusa,06-037-0002,AQS,45,15,9,31,.,48,,
02-04-1996,74,NO2,Azusa,06-037-0002,AQS,63,36,10,40,.,74,,
02-05-1996,76,NO2,,06-037-1601,AQS,56,19,14,30,.,76,,
02-06-1996,103,NO2,Pasadena,06-037-2005,AQS,70,31,33,44,.,103,,
02-07-1996,147,CO,Lynwood,06-037-1301,AQS,147,31,43,41,.,111,,
02-08-1996,151,CO,Lynwood,06-037-1301,AQS,151,32,19,33,.,100,,
02-09-1996,67,NO2,Azusa,06-037-0002,AQS,59,28,6,52,.,67,,
02-10-1996,54,NO2,Azusa,06-037-0002,AQS,31,36,11,32,.,54,,
02-11-1996,68,NO2,Azusa,06-037-0002,AQS,31,42,9,40,.,68,,
02-12-1996,68,NO2,Los Angeles-North Main Street,06-037-1103,AQS,47,30,23,51,.,68,,
02/13/1996,69,NO2,Hawthorne,06-037-5001,AQS,66,29,21,53,.,69,,
02/14/1996,106,NO2,Azusa,06-037-0002,AQS,71,35,44,51,.,106,,
02/15/1996,106,NO2,Pasadena,06-037-2005,AQS,40,25,34,66,.,106,,
02/16/1996,89,NO2,Azusa,06-037-0002,AQS,48,28,23,44,.,89,,
02/17/1996,49,NO2,Azusa,06-037-0002,AQS,32,28,20,22,.,49,,
02/18/1996,49,NO2,Azusa,06-037-0002,AQS,27,34,23,34,.,49,,
02/19/1996,42,NO2,Azusa,06-037-0002,AQS,24,27,7,28,.,42,,
02/20/1996,42,NO2,Azusa,06-037-0002,AQS,36,35,10,13,.,42,,
02/21/1996,46,NO2,,06-037-1601,AQS,17,37,6,13,.,46,,
02/22/1996,61,CO,Lynwood,06-037-1301,AQS,61,36,6,19,.,47,,
02/23/1996,58,NO2,Azusa,06-037-0002,AQS,41,36,7,23,.,58,,
02/24/1996,59,CO,Lynwood,06-037-1301,AQS,59,39,16,30,.,54,,
02/25/1996,45,NO2,Azusa,06-037-0002,AQS,20,39,10,15,.,45,,
02/26/1996,55,NO2,,06-037-1601,AQS,50,36,6,16,.,55,,
02/27/1996,52,NO2,Reseda,06-037-1201,AQS,43,28,9,21,.,52,,
02/28/1996,54,NO2,Long Beach (North),06-037-4002,AQS,42,33,30,20,.,54,,
02/29/1996,57,NO2,SITE IS LOCATED ONE HALF MILE EAST OF THE I-57/I-60 INTERCHANGE,06-037-0206,AQS,50,31,29,28,.,57,,
03-01-1996,68,NO2,Azusa,06-037-0002,AQS,64,34,7,26,.,68,,
03-02-1996,77,CO,Lynwood,06-037-1301,AQS,77,45,43,21,.,69,,
03-03-1996,82,NO2,Reseda,06-037-1201,AQS,56,32,26,31,.,82,,
03-04-1996,47,NO2,Azusa,06-037-0002,AQS,26,31,6,31,.,47,,
03-05-1996,69,NO2,Reseda,06-037-1201,AQS,26,33,7,21,.,69,,
03-06-1996,101,NO2,Reseda,06-037-1201,AQS,50,38,14,33,.,101,,
03-07-1996,74,NO2,,06-037-1601,AQS,53,39,7,31,.,74,,
03-08-1996,103,NO2,,06-037-1601,AQS,59,38,82,37,.,103,,
03-09-1996,95,NO2,,06-037-1601,AQS,63,58,30,43,.,95,,
03-10-1996,72,NO2,West Los Angeles,06-037-0113,AQS,39,54,33,30,.,72,,
03-11-1996,44,NO2,Azusa,06-037-0002,AQS,23,31,11,28,.,44,,
03-12-1996,42,NO2,Long Beach (North),06-037-4002,AQS,19,39,6,25,.,42,,
03/13/1996,54,NO2,West Los Angeles,06-037-0113,AQS,25,35,10,14,.,54,,
03/14/1996,64,NO2,Azusa,06-037-0002,AQS,43,43,43,24,.,64,,
03/15/1996,73,NO2,Azusa,06-037-0002,AQS,49,37,55,31,.,73,,
03/16/1996,74,Ozone,Hawthorne,06-037-5001,AQS,35,74,54,51,.,66,,
03/17/1996,74,Ozone,,06-037-6002,AQS,32,74,39,47,.,55,,
03/18/1996,101,Ozone,Hawthorne,06-037-5001,AQS,34,101,37,59,.,94,,
03/19/1996,107,NO2,Azusa,06-037-0002,AQS,41,90,13,60,.,107,,
03/20/1996,161,Ozone,Hawthorne,06-037-5001,AQS,51,161,47,64,.,107,,
03/21/1996,136,Ozone,West Los Angeles,06-037-0113,AQS,28,136,14,62,.,73,,
03/22/1996,58,Ozone,Hawthorne,06-037-5001,AQS,27,58,11,39,.,46,,
03/23/1996,48,NO2,,06-037-1601,AQS,30,42,17,31,.,48,,
03/24/1996,50,NO2,Lynwood,06-037-1301,AQS,31,49,6,32,.,50,,
03/25/1996,48,NO2,Lynwood,06-037-1301,AQS,26,47,7,34,.,48,,
03/26/1996,58,NO2,Hawthorne,06-037-5001,AQS,35,45,16,41,.,58,,
03/27/1996,85,NO2,Reseda,06-037-1201,AQS,43,44,14,37,.,85,,
03/28/1996,62,NO2,Reseda,06-037-1201,AQS,24,38,4,28,.,62,,
03/29/1996,56,NO2,Pasadena,06-037-2005,AQS,39,47,9,31,.,56,,
03/30/1996,78,NO2,Hawthorne,06-037-5001,AQS,55,61,29,31,.,78,,
03/31/1996,77,Ozone,Glendora,06-037-0016,AQS,53,77,27,31,.,62,,
04-01-1996,63,NO2,Hawthorne,06-037-5001,AQS,33,40,33,33,.,63,,
04-02-1996,44,NO2,Azusa,06-037-0002,AQS,28,36,40,21,.,44,,
04-03-1996,53,NO2,Lynwood,06-037-1301,AQS,32,46,27,34,.,53,,
04-04-1996,77,NO2,Long Beach (North),06-037-4002,AQS,49,47,37,40,.,77,,
04-05-1996,93,NO2,Lynwood,06-037-1301,AQS,72,54,16,38,.,93,,
04-06-1996,83,CO,Lynwood,06-037-1301,AQS,83,64,41,27,.,70,,
04-07-1996,140,Ozone,,06-037-1601,AQS,77,140,54,38,.,86,,
04-08-1996,90,NO2,Azusa,06-037-0002,AQS,35,67,17,60,.,90,,
04-09-1996,57,NO2,Lancaster-Ponderosa St.,06-037-9002,AQS,22,48,7,38,.,57,,
04-10-1996,52,PM10,Lancaster-Ponderosa St.,06-037-9002,AQS,25,44,9,52,.,47,,
04-11-1996,54,NO2,Reseda,06-037-1201,AQS,22,45,10,43,.,54,,
04-12-1996,53,NO2,West Los Angeles,06-037-0113,AQS,23,45,13,46,.,53,,
04/13/1996,80,Ozone,Glendora,06-037-0016,AQS,31,80,16,44,.,61,,
04/14/1996,115,Ozone,Hawthorne,06-037-5001,AQS,43,115,24,37,.,102,,
04/15/1996,86,NO2,West Los Angeles,06-037-0113,AQS,33,84,21,44,.,86,,
04/16/1996,64,NO2,Pomona,06-037-1701,AQS,25,40,10,33,.,64,,
04/17/1996,40,Ozone,Lancaster-Ponderosa St.,06-037-9002,AQS,22,40,11,26,.,37,,
04/18/1996,45,NO2,Pomona,06-037-1701,AQS,20,44,9,20,.,45,,
04/19/1996,62,NO2,Lancaster-Ponderosa St.,06-037-9002,AQS,36,44,9,33,.,62,,
04/20/1996,49,Ozone,Glendora,06-037-0016,AQS,33,49,9,33,.,48,,
04/21/1996,71,Ozone,Glendora,06-037-0016,AQS,22,71,11,36,.,45,,
04/22/1996,85,NO2,Lynwood,06-037-1301,AQS,44,74,51,36,.,85,,
04/23/1996,115,Ozone,Pasadena,06-037-2005,AQS,65,115,44,54,.,103,,
04/24/1996,143,Ozone,Glendora,06-037-0016,AQS,41,143,24,58,.,102,,
04/25/1996,140,Ozone,Glendora,06-037-0016,AQS,28,140,16,56,.,87,,
04/26/1996,119,Ozone,Glendora,06-037-0016,AQS,34,119,24,59,.,103,,
04/27/1996,169,Ozone,Glendora,06-037-0016,AQS,19,169,10,56,.,45,,
04/28/1996,204,Ozone,Glendora,06-037-0016,AQS,26,204,10,47,.,70,,
04/29/1996,95,NO2,Hawthorne,06-037-5001,AQS,57,90,17,47,.,95,,
04/30/1996,174,Ozone,Glendora,06-037-0016,AQS,54,174,40,56,.,102,,
05-01-1996,177,Ozone,,06-037-6002,AQS,30,177,33,58,.,96,,
05-02-1996,101,Ozone,,06-037-6002,AQS,19,101,14,55,.,64,,
05-03-1996,64,Ozone,Lancaster-Ponderosa St.,06-037-9002,AQS,25,64,10,55,.,55,,
05-04-1996,185,Ozone,Glendora,06-037-0016,AQS,25,185,13,50,.,65,,
05-05-1996,215,Ozone,Glendora,06-037-0016,AQS,26,215,19,52,.,57,,
05-06-1996,156,Ozone,Glendora,06-037-0016,AQS,24,156,20,52,.,73,,
05-07-1996,97,Ozone,Glendora,06-037-0016,AQS,19,97,11,50,.,57,,
05-08-1996,84,Ozone,Glendora,06-037-0016,AQS,23,84,11,51,.,66,,
05-09-1996,93,Ozone,Glendora,06-037-0016,AQS,22,93,11,46,.,53,,
05-10-1996,179,Ozone,Glendora,06-037-0016,AQS,30,179,30,60,.,87,,
05-11-1996,243,Ozone,Glendora,06-037-0016,AQS,44,243,21,56,.,102,,
05-12-1996,219,Ozone,Glendora,06-037-0016,AQS,34,219,33,50,.,82,,
05/13/1996,156,Ozone,,06-037-6002,AQS,24,156,9,55,.,67,,
05/14/1996,93,Ozone,Glendora,06-037-0016,AQS,19,93,7,53,.,44,,
05/15/1996,38,PM10,Azusa,06-037-0002,AQS,22,38,14,38,.,33,,
05/16/1996,33,NO2,Azusa,06-037-0002,AQS,24,30,11,26,.,33,,
05/17/1996,44,Ozone,Lancaster-Ponderosa St.,06-037-9002,AQS,23,44,11,30,.,42,,
05/18/1996,49,Ozone,Glendora,06-037-0016,AQS,20,49,10,31,.,36,,
05/19/1996,90,Ozone,Azusa,06-037-0002,AQS,18,90,7,40,.,42,,
05/20/1996,74,Ozone,Azusa,06-037-0002,AQS,19,74,11,42,.,58,,
05/21/1996,64,Ozone,Glendora,06-037-0016,AQS,22,64,17,62,.,61,,
05/22/1996,45,Ozone,Lancaster-Ponderosa St.,06-037-9002,AQS,20,45,13,44,.,40,,
05/23/1996,56,NO2,Pasadena,06-037-2005,AQS,19,54,14,46,.,56,,
05/24/1996,58,Ozone,Hawthorne,06-037-5001,AQS,20,58,13,43,.,54,,
05/25/1996,53,NO2,Hawthorne,06-037-5001,AQS,23,50,6,43,.,53,,
05/26/1996,80,Ozone,Glendora,06-037-0016,AQS,26,80,21,39,.,41,,
05/27/1996,54,Ozone,Lancaster-Ponderosa St.,06-037-9002,AQS,18,54,9,52,.,42,,
05/28/1996,74,Ozone,Lancaster-Ponderosa St.,06-037-9002,AQS,28,74,13,44,.,46,,
05/29/1996,71,Ozone,Lancaster-Ponderosa St.,06-037-9002,AQS,17,71,10,46,.,40,,
05/30/1996,74,Ozone,Lancaster-Ponderosa St.,06-037-9002,AQS,19,74,9,44,.,48,,
05/31/1996,97,Ozone,Glendora,06-037-0016,AQS,28,97,13,48,.,63,,
06-01-1996,219,Ozone,Glendora,06-037-0016,AQS,50,219,30,54,.,95,,
06-02-1996,247,Ozone,Glendora,06-037-0016,AQS,34,247,29,55,.,88,,
06-03-1996,200,Ozone,Reseda,06-037-1201,AQS,33,200,33,55,.,89,,
06-04-1996,192,Ozone,,06-037-6002,AQS,23,192,13,53,.,71,,
06-05-1996,185,Ozone,Lancaster-Ponderosa St.,06-037-9002,AQS,18,185,9,49,.,54,,
06-06-1996,185,Ozone,,06-037-6002,AQS,22,185,17,55,.,57,,
06-07-1996,169,Ozone,,06-037-6002,AQS,28,169,13,53,.,62,,
06-08-1996,228,Ozone,Glendora,06-037-0016,AQS,25,228,24,51,.,63,,
06-09-1996,215,Ozone,Pasadena,06-037-2005,AQS,24,215,17,51,.,68,,
06-10-1996,174,Ozone,,06-037-6002,AQS,24,174,14,53,.,62,,
06-11-1996,159,Ozone,Lancaster-Ponderosa St.,06-037-9002,AQS,18,159,11,50,.,44,,
06-12-1996,101,Ozone,Lancaster-Ponderosa St.,06-037-9002,AQS,18,101,13,51,.,55,,
06/13/1996,172,Ozone,Lancaster-Ponderosa St.,06-037-9002,AQS,19,172,16,53,.,54,,
06/14/1996,172,Ozone,Lancaster-Ponderosa St.,06-037-9002,AQS,20,172,14,51,.,50,,
06/15/1996,192,Ozone,,06-037-6002,AQS,19,192,16,44,.,48,,
06/16/1996,192,Ozone,Glendora,06-037-0016,AQS,19,192,19,44,.,49,,
06/17/1996,161,Ozone,Glendora,06-037-0016,AQS,22,161,14,54,.,61,,
06/18/1996,209,Ozone,Glendora,06-037-0016,AQS,31,209,40,57,.,101,,
06/19/1996,133,Ozone,Glendora,06-037-0016,AQS,22,133,27,54,.,100,,
06/20/1996,77,Ozone,,06-037-6002,AQS,18,77,17,56,.,63,,
06/21/1996,97,Ozone,Lancaster-Ponderosa St.,06-037-9002,AQS,20,97,11,51,.,35,,
06/22/1996,87,Ozone,Glendora,06-037-0016,AQS,22,87,10,45,.,45,,
06/23/1996,159,Ozone,,06-037-6002,AQS,23,159,9,43,.,46,,
06/24/1996,80,Ozone,Glendora,06-037-0016,AQS,18,80,10,44,.,42,,
06/25/1996,44,Ozone,Glendora,06-037-0016,AQS,17,44,16,39,.,43,,
06/26/1996,41,NO2,Glendora,06-037-0016,AQS,16,34,10,24,.,41,,
06/27/1996,42,NO2,Pasadena,06-037-2005,AQS,18,35,11,26,.,42,,
06/28/1996,64,Ozone,,06-037-6002,AQS,28,64,19,37,.,58,,
06/29/1996,161,Ozone,Glendora,06-037-0016,AQS,44,161,33,43,.,103,,
06/30/1996,219,Ozone,Glendora,06-037-0016,AQS,35,219,30,53,.,65,,
07-01-1996,150,Ozone,Glendora,06-037-0016,AQS,39,150,24,57,.,110,,
07-02-1996,187,Ozone,Glendora,06-037-0016,AQS,36,187,27,68,.,106,,
07-03-1996,105,NO2,Azusa,06-037-0002,AQS,35,87,29,66,.,105,,
07-04-1996,236,Ozone,Glendora,06-037-0016,AQS,33,236,29,56,.,88,,
07-05-1996,228,Ozone,Glendora,06-037-0016,AQS,30,228,29,98,.,86,,
07-06-1996,219,Ozone,Glendora,06-037-0016,AQS,30,219,31,55,.,77,,
07-07-1996,190,Ozone,Glendora,06-037-0016,AQS,20,190,41,47,.,53,,
07-08-1996,133,Ozone,,06-037-6002,AQS,26,133,50,59,.,68,,
07-09-1996,122,Ozone,Glendora,06-037-0016,AQS,20,122,20,53,.,61,,
07-10-1996,73,NO2,Pasadena,06-037-2005,AQS,27,67,51,54,.,73,,
07-11-1996,133,Ozone,Lancaster-Ponderosa St.,06-037-9002,AQS,25,133,13,47,.,56,,
07-12-1996,143,Ozone,Lancaster-Ponderosa St.,06-037-9002,AQS,18,143,30,52,.,58,,
07/13/1996,154,Ozone,Lancaster-Ponderosa St.,06-037-9002,AQS,17,154,17,38,.,54,,
07/14/1996,166,Ozone,Lancaster-Ponderosa St.,06-037-9002,AQS,17,166,13,31,.,47,,
07/15/1996,164,Ozone,Lancaster-Ponderosa St.,06-037-9002,AQS,19,164,19,52,.,54,,
07/16/1996,129,Ozone,Lancaster-Ponderosa St.,06-037-9002,AQS,16,129,13,47,.,45,,
07/17/1996,90,Ozone,Lancaster-Ponderosa St.,06-037-9002,AQS,16,90,13,43,.,48,,
07/18/1996,166,Ozone,Glendora,06-037-0016,AQS,26,166,16,55,.,72,,
07/19/1996,187,Ozone,Glendora,06-037-0016,AQS,34,187,23,60,.,100,,
07/20/1996,212,Ozone,Glendora,06-037-0016,AQS,34,212,33,60,.,104,,
07/21/1996,177,Ozone,Glendora,06-037-0016,AQS,27,177,27,43,.,91,,
07/22/1996,140,Ozone,Glendora,06-037-0016,AQS,28,140,27,58,.,99,,
07/23/1996,133,Ozone,,06-037-6002,AQS,24,133,20,60,.,66,,
07/24/1996,203,Ozone,,06-037-6002,AQS,30,203,20,59,.,89,,
07/25/1996,187,Ozone,Lancaster-Ponderosa St.,06-037-9002,AQS,24,187,20,54,.,72,,
07/26/1996,101,NO2,Burbank,06-037-1002,AQS,33,71,34,58,.,101,,
07/27/1996,147,Ozone,Glendora,06-037-0016,AQS,27,147,16,43,.,65,,
07/28/1996,166,Ozone,Glendora,06-037-0016,AQS,28,166,10,34,.,55,,
07/29/1996,115,Ozone,Glendora,06-037-0016,AQS,32,115,26,62,.,104,,
07/30/1996,151,Ozone,Glendora,06-037-0016,AQS,31,151,31,64,.,105,,
07/31/1996,219,Ozone,,06-037-6002,AQS,39,219,44,63,.,103,,
08-01-1996,212,Ozone,,06-037-6002,AQS,27,212,10,61,.,103,,
08-02-1996,202,Ozone,,06-037-6002,AQS,24,202,10,53,.,73,,
08-03-1996,108,Ozone,Lancaster-Ponderosa St.,06-037-9002,AQS,18,108,6,34,.,40,,
08-04-1996,122,Ozone,,06-037-6002,AQS,16,122,10,31,.,36,,
08-05-1996,50,Ozone,,06-037-6002,AQS,18,50,6,41,.,42,,
08-06-1996,108,Ozone,Lancaster-Ponderosa St.,06-037-9002,AQS,16,108,7,41,.,48,,
08-07-1996,164,Ozone,,06-037-6002,AQS,20,164,11,54,.,62,,
08-08-1996,203,Ozone,Reseda,06-037-1201,AQS,22,203,16,61,.,82,,
08-09-1996,218,Ozone,Glendora,06-037-0016,AQS,27,218,17,60,.,103,,
08-10-1996,242,Ozone,Glendora,06-037-0016,AQS,26,242,75,52,.,99,,
08-11-1996,229,Ozone,Glendora,06-037-0016,AQS,24,229,17,44,.,66,,
08-12-1996,215,Ozone,Glendora,06-037-0016,AQS,28,215,9,55,.,102,,
08/13/1996,221,Ozone,,06-037-6002,AQS,27,221,20,64,.,107,,
08/14/1996,225,Ozone,,06-037-6002,AQS,33,225,16,56,.,87,,
08/15/1996,122,Ozone,,06-037-6002,AQS,48,122,29,65,.,107,,
08/16/1996,147,Ozone,Lancaster-Ponderosa St.,06-037-9002,AQS,27,147,61,62,.,70,,
08/17/1996,140,Ozone,Azusa,06-037-0002,AQS,25,140,27,47,.,63,,
08/18/1996,154,Ozone,Lancaster-Ponderosa St.,06-037-9002,AQS,22,154,26,41,.,55,,
08/19/1996,115,Ozone,,06-037-6002,AQS,22,115,40,54,.,70,,
08/20/1996,115,Ozone,Glendora,06-037-0016,AQS,32,115,29,58,.,105,,
08/21/1996,166,Ozone,Glendora,06-037-0016,AQS,39,166,55,58,.,104,,
08/22/1996,203,Ozone,Glendora,06-037-0016,AQS,42,203,10,62,.,115,,
08/23/1996,187,Ozone,Glendora,06-037-0016,AQS,36,187,14,64,.,108,,
08/24/1996,187,Ozone,Glendora,06-037-0016,AQS,39,187,27,54,.,106,,
08/25/1996,202,Ozone,Glendora,06-037-0016,AQS,33,202,47,59,.,97,,
08/26/1996,93,Ozone,,06-037-6002,AQS,24,93,61,58,.,84,,
08/27/1996,143,Ozone,Reseda,06-037-1201,AQS,45,143,79,56,.,104,,
08/28/1996,207,Ozone,Pasadena,06-037-2005,AQS,58,207,55,67,.,110,,
08/29/1996,220,Ozone,Glendora,06-037-0016,AQS,39,220,14,64,.,110,,
08/30/1996,215,Ozone,,06-037-6002,AQS,34,215,17,57,.,103,,
08/31/1996,154,Ozone,,06-037-6002,AQS,28,154,11,39,.,76,,
09-01-1996,119,Ozone,,06-037-6002,AQS,19,119,17,34,.,42,,
09-02-1996,100,Ozone,,06-037-6002,AQS,19,100,10,35,.,43,,
09-03-1996,129,Ozone,Reseda,06-037-1201,AQS,22,129,13,52,.,66,,
09-04-1996,126,Ozone,Glendora,06-037-0016,AQS,25,126,7,51,.,70,,
09-05-1996,74,Ozone,West Los Angeles,06-037-0113,AQS,25,74,11,52,.,73,,
09-06-1996,101,NO2,Los Angeles-North Main Street,06-037-1103,AQS,34,54,21,52,.,101,,
09-07-1996,101,Ozone,Glendora,06-037-0016,AQS,34,101,19,43,.,99,,
09-08-1996,67,Ozone,Glendora,06-037-0016,AQS,26,67,16,31,.,66,,
09-09-1996,103,NO2,Los Angeles-North Main Street,06-037-1103,AQS,35,44,24,55,.,103,,
09-10-1996,103,NO2,,06-037-1601,AQS,39,48,16,56,.,103,,
09-11-1996,96,NO2,Pasadena,06-037-2005,AQS,40,67,17,55,.,96,,
09-12-1996,97,NO2,Los Angeles-North Main Street,06-037-1103,AQS,43,47,11,51,.,97,,
09/13/1996,40,NO2,Los Angeles-North Main Street,06-037-1103,AQS,24,37,6,28,.,40,,
09/14/1996,74,Ozone,Reseda,06-037-1201,AQS,25,74,7,29,.,45,,
09/15/1996,74,Ozone,,06-037-6002,AQS,20,74,4,29,.,41,,
09/16/1996,61,Ozone,Reseda,06-037-1201,AQS,20,61,7,35,.,55,,
09/17/1996,89,NO2,Los Angeles-North Main Street,06-037-1103,AQS,45,64,13,44,.,89,,
09/18/1996,101,Ozone,Reseda,06-037-1201,AQS,35,101,10,46,.,55,,
09/19/1996,103,NO2,Los Angeles-North Main Street,06-037-1103,AQS,36,90,14,54,.,103,,
09/20/1996,150,Ozone,Reseda,06-037-1201,AQS,27,150,23,50,.,93,,
09/21/1996,133,Ozone,,06-037-6002,AQS,25,133,7,47,.,84,,
09/22/1996,108,Ozone,Lancaster-Ponderosa St.,06-037-9002,AQS,18,108,9,37,.,41,,
09/23/1996,73,NO2,Los Angeles-North Main Street,06-037-1103,AQS,18,51,7,39,.,73,,
09/24/1996,80,Ozone,,06-037-6002,AQS,20,80,7,57,.,67,,
09/25/1996,79,NO2,Pomona,06-037-1701,AQS,19,54,4,40,.,79,,
09/26/1996,54,Ozone,,06-037-6002,AQS,22,54,7,34,.,51,,
09/27/1996,81,NO2,Pomona,06-037-1701,AQS,31,64,4,64,.,81,,
09/28/1996,119,Ozone,Glendora,06-037-0016,AQS,39,119,11,52,.,103,,
09/29/1996,169,Ozone,Glendora,06-037-0016,AQS,43,169,43,46,.,105,,
09/30/1996,126,Ozone,,06-037-6002,AQS,28,126,24,61,.,93,,
10-01-1996,55,NO2,Burbank,06-037-1002,AQS,26,49,7,.,.,55,,
10-02-1996,69,NO2,Pomona,06-037-1701,AQS,27,61,9,.,.,69,,
10-03-1996,108,Ozone,Glendora,06-037-0016,AQS,42,108,7,.,.,106,,
10-04-1996,113,NO2,Pomona,06-037-1701,AQS,56,93,16,.,.,113,,
10-05-1996,192,Ozone,Glendora,06-037-0016,AQS,44,192,23,.,.,110,,
10-06-1996,222,Ozone,Glendora,06-037-0016,AQS,32,222,16,69,.,102,,
10-07-1996,117,NO2,Pomona,06-037-1701,AQS,42,112,14,.,.,117,,
10-08-1996,111,NO2,Pasadena,06-037-2005,AQS,57,74,19,.,.,111,,
10-09-1996,113,NO2,Pomona,06-037-1701,AQS,43,105,21,.,.,113,,
10-10-1996,125,Ozone,Los Angeles-North Main Street,06-037-1103,AQS,78,125,16,.,.,122,,
10-11-1996,109,NO2,Los Angeles-North Main Street,06-037-1103,AQS,76,43,21,.,.,109,,
10-12-1996,105,NO2,Pomona,06-037-1701,AQS,43,71,23,56,.,105,,
10/13/1996,87,Ozone,Glendora,06-037-0016,AQS,39,87,14,.,.,76,,
10/14/1996,93,Ozone,Hawthorne,06-037-5001,AQS,32,93,13,.,.,90,,
10/15/1996,106,NO2,Pomona,06-037-1701,AQS,42,97,10,.,.,106,,
10/16/1996,136,Ozone,Hawthorne,06-037-5001,AQS,32,136,9,.,.,68,,
10/17/1996,126,Ozone,Hawthorne,06-037-5001,AQS,33,126,14,.,.,102,,
10/18/1996,126,Ozone,,06-037-6002,AQS,58,126,13,73,.,108,,
10/19/1996,53,NO2,Pomona,06-037-1701,AQS,24,49,6,.,.,53,,
10/20/1996,67,NO2,Pomona,06-037-1701,AQS,44,50,7,.,.,67,,
10/21/1996,82,NO2,Los Angeles-North Main Street,06-037-1103,AQS,65,36,13,.,.,82,,
10/22/1996,72,NO2,Pomona,06-037-1701,AQS,50,44,10,.,.,72,,
10/23/1996,91,NO2,,06-037-1601,AQS,67,43,14,.,.,91,,
10/24/1996,101,NO2,Pomona,06-037-1701,AQS,55,47,13,51,.,101,,
10/25/1996,46,NO2,Los Angeles-North Main Street,06-037-1103,AQS,34,40,3,.,.,46,,
10/26/1996,42,NO2,Los Angeles-North Main Street,06-037-1103,AQS,34,35,3,.,.,42,,
10/27/1996,48,NO2,Lynwood,06-037-1301,AQS,35,42,14,.,.,48,,
10/28/1996,56,NO2,Lynwood,06-037-1301,AQS,43,44,7,.,.,56,,
10/29/1996,73,NO2,Pomona,06-037-1701,AQS,40,34,7,.,.,73,,
10/30/1996,47,NO2,Hawthorne,06-037-5001,AQS,38,36,3,20,.,47,,
10/31/1996,58,NO2,Pomona,06-037-1701,AQS,53,38,10,.,.,58,,
11-01-1996,99,CO,Lynwood,06-037-1301,AQS,99,37,10,.,.,71,,
11-02-1996,185,CO,Lynwood,06-037-1301,AQS,185,47,16,.,.,106,,
11-03-1996,50,NO2,Los Angeles-North Main Street,06-037-1103,AQS,45,44,13,.,.,50,,
11-04-1996,70,NO2,Pomona,06-037-1701,AQS,47,61,9,.,.,70,,
11-05-1996,63,NO2,Los Angeles-North Main Street,06-037-1103,AQS,40,54,14,51,.,63,,
