Wens AQI,CO,Ozone,SO2,PM10,PM25,NO2
170.31,32,151,85,61,0,88
206.88,17,185,107,79,0,77
191.99,30,172,105,47,0,54
170.22,39,150,101,52,0,65
122.36,36,108,64,58,0,57
129.22,25,67,115,51,0,53
113.96,26,47,102,48,0,54
108.52,22,39,97,54,0,44
72.18,14,42,62,30,0,48
132.75,15,51,121,40,0,54
120.65,31,105,81,19,0,50
125.03,30,80,108,49,0,69
64.28,39,51,47,25,0,53
132.42,39,108,111,64,0,62
204.42,42,177,132,74,0,106
191.61,43,166,105,116,0,105
72.79,10,61,50,55,0,42
78.62,10,39,69,45,0,36
96.32,15,43,85,31,0,55
116.61,28,101,80,40,0,45
129.89,43,112,87,39,0,64
121.55,34,80,105,36,0,63
124,19,41,113,50,0,46
72.27,16,45,61,48,0,51
116.01,35,101,74,28,0,53
118.16,32,54,105,41,0,60
101.56,19,87,67,49,0,63
229.78,41,208,84,58,0,104
212.71,43,190,114,55,0,73
181.29,41,159,106,76,0,81
128,38,49,117,32,0,45
115.07,30,100,77,42,0,41
116.14,16,77,102,31,0,33
77.04,18,37,69,31,0,29
160.59,60,77,144,44,0,58
101.99,31,77,86,56,0,51
115.43,22,49,105,27,0,42
148.56,35,129,105,45,0,43
233.23,40,214,95,54,0,62
238.54,44,215,112,73,0,88
209.52,42,187,122,39,0,52
208.84,52,187,105,73,0,70
222,55,200,101,60,0,91
119.55,69,100,71,56,0,90
123.55,66,40,109,59,0,45
114.13,19,61,102,25,0,42
130.28,45,112,95,24,0,53
94.53,62,38,81,46,0,51
86.22,45,41,76,31,0,40
117.82,59,71,101,57,0,73
175.92,41,154,111,25,0,79
219.98,40,195,125,64,0,83
150.89,39,129,115,38,0,62
177.13,28,49,163,68,0,46
79.28,22,37,71,22,0,37
119.06,30,40,110,36,0,33
135.16,27,49,123,31,0,57
127.53,27,108,101,52,0,56
70.19,41,58,54,31,0,53
81.18,39,45,69,55,0,45
110.37,13,38,100,40,0,49
82.73,20,39,71,40,0,57
112.54,31,26,101,57,0,37
96.79,15,41,82,78,0,37
76.23,18,35,67,26,0,44
101.6,18,49,90,42,0,53
97.18,11,38,89,23,0,36
72.35,15,25,65,32,0,33
95.05,33,29,86,26,0,42
104.65,45,33,94,46,0,42
118.5,15,30,102,90,0,42
119.65,38,32,106,65,0,50
104.34,40,37,94,44,0,44
119.61,47,46,108,42,0,50
110.3,34,93,82,61,0,62
117.21,47,61,102,63,0,66
98.65,39,51,84,59,0,66
69.51,20,38,60,38,0,43
93.43,28,38,85,16,0,37
101.69,18,29,95,19,0,30
72.25,15,29,66,15,0,26
110.52,28,28,102,31,0,39
156.28,27,48,145,27,0,52
132.65,48,37,116,59,0,80
111.15,45,35,92,55,0,93
74.83,39,37,56,37,0,63
90.86,39,42,81,39,0,40
79.87,27,36,72,19,0,31
148.12,26,19,141,17,0,34
76.49,23,24,67,43,0,42
172.28,43,35,162,34,0,45
209.97,31,40,194,83,0,42
114.89,26,31,102,65,0,40
68.22,40,31,57,52,0,40
86.87,44,47,76,38,0,43
85.31,36,37,72,57,0,60
124.81,40,54,111,43,0,63
153.75,34,36,141,61,0,44
139.92,32,23,132,23,0,36
111.12,24,20,105,16,0,28
48.47,16,20,43,20,0,25
75.7,13,20,69,34,0,17
131.65,31,19,125,11,0,28
153.08,30,19,144,36,0,42
65.38,24,22,60,12,0,22
66.91,32,20,60,23,0,25
135.56,31,23,127,20,0,41
105.22,16,27,99,27,0,25
100.94,16,25,95,16,0,27
74.32,32,24,64,50,0,34
144.17,32,27,136,24,0,37
76.68,17,27,50,66,0,46
74.39,20,27,56,63,0,41
124.82,38,23,113,47,0,55
122.42,38,26,110,20,0,64
129,33,17,116,45,0,65
50.66,25,13,43,0,0,41
64.64,23,14,56,40,0,38
118.28,49,13,108,26,0,43
210.17,50,25,198,55,0,46
164.59,26,26,154,35,0,52
90.02,20,31,81,42,0,34
135,24,25,128,16,0,33
209.76,15,28,200,45,0,43
208.74,24,18,200,26,0,44
95.84,30,17,85,48,0,50
120.95,83,11,102,24,0,94
98.22,34,12,87,52,0,50
55.4,22,21,49,19,0,30
82.18,10,24,75,31,0,33
89.94,23,24,81,25,0,45
121.21,36,17,110,53,0,44
123.32,27,19,116,32,0,32
