Wens AQI,CO,Ozone,SO2,PM10,PM25,NO2
117.58,15,108,14,0,0,57
77.73,15,58,14,0,0,68
165.48,20,154,14,0,0,68
179.13,26,169,14,0,0,57
195.08,19,182,14,0,0,79
243.67,22,228,14,62,0,79
239.62,16,226,29,0,0,79
214.23,15,203,14,0,0,68
194.01,18,179,56,0,0,79
255.26,23,240,29,0,0,89
267.5,35,247,81,0,0,105
257.15,39,237,56,65,0,100
244.91,38,227,43,0,0,100
186.43,34,169,14,0,0,103
217.36,28,202,29,0,0,89
259.99,27,243,29,0,0,100
248.63,23,237,14,0,0,68
179.09,13,169,29,44,0,47
135.63,16,126,14,0,0,57
172.22,26,161,43,0,0,57
246.69,27,226,94,0,0,103
296.66,53,276,56,0,0,112
296.79,42,276,69,0,0,110
239.75,26,223,29,46,0,89
198.7,30,182,81,0,0,79
112.73,35,38,14,0,0,105
100.43,26,87,14,0,0,79
53.38,23,33,14,0,0,47
83.93,22,74,14,0,0,57
180.23,23,164,56,56,0,79
222.81,23,210,43,0,0,68
215.66,18,202,29,0,0,79
220.77,26,202,56,0,0,103
244.44,27,227,29,0,0,103
261.8,50,240,56,0,0,120
276.79,34,256,43,70,0,105
297.42,42,277,29,50,0,110
253.78,24,240,29,0,0,79
228.33,31,216,29,0,0,68
132.7,20,119,29,0,0,79
187.76,23,174,29,0,0,79
199.56,34,179,29,71,0,105
240.08,32,222,29,0,0,106
253.71,49,233,43,0,0,116
284.38,38,266,29,0,0,106
296.77,31,280,56,0,0,89
241.76,23,228,29,0,0,79
242.82,45,221,56,66,0,110
219.83,30,202,29,0,0,105
238.33,32,221,14,0,0,103
176.26,23,161,29,0,0,89
214.33,24,201,14,0,0,79
228.19,27,216,29,0,0,68
56.78,15,46,14,46,0,47
65.78,23,49,14,0,0,57
99.5,33,84,43,42,0,79
170.16,34,154,14,37,0,89
204.93,26,190,14,0,0,89
244.98,23,235,14,0,0,57
264.89,23,249,14,66,0,79
246.73,47,227,14,0,0,114
259.98,62,238,29,0,0,122
