"Date","Overall AQI Value","Main Pollutant","Site Name (of Overall AQI)","Site ID (of Overall AQI)","Source (of Overall AQI)","CO","Ozone","SO2","PM10","PM25","NO2"
"01/01/2001","151","PM2.5","Gary-IITRI/ 1219.5 meters east of Tennessee St.- old ammuntion bunker","18-089-0022","AQS","18","32","86","56","151","55"
"01/02/2001","98","PM2.5","MAYFAIR PUMP STATION","17-031-0052","AQS","23","26","79","25","98","60"
"01/03/2001","83","PM2.5","NORTHBROOK WATER PLANT","17-031-4201","AQS","20","24","65","28","83","42"
"01/04/2001","94","PM2.5","VILLAGE HALL","17-031-1016","AQS","20","23","71","23","94","50"
"01/05/2001","158","PM2.5","Gary-IITRI/ 1219.5 meters east of Tennessee St.- old ammuntion bunker","18-089-0022","AQS","17","29","102","65","158","49"
"01/06/2001","85","SO2","COOK COUNTY TRAILER","17-031-4002","AQS","28","23","85","20","70","49"
"01/07/2001","92","PM2.5","Gary-IITRI/ 1219.5 meters east of Tennessee St.- old ammuntion bunker","18-089-0022","AQS","27","28","65","39","92","40"
"01/08/2001","111","PM2.5","Gary-IITRI/ 1219.5 meters east of Tennessee St.- old ammuntion bunker","18-089-0022","AQS","15","31","60","53","111","47"
"01/09/2001","98","PM2.5","Gary-IITRI/ 1219.5 meters east of Tennessee St.- old ammuntion bunker","18-089-0022","AQS","20","22","96","38","98","52"
"01/10/2001","92","PM2.5","VILLAGE HALL","17-031-1016","AQS","23","20","87","29","92","50"
"01/11/2001","118","PM2.5","MAYFAIR PUMP STATION","17-031-0052","AQS","32","14","81","33","118","56"
"01/12/2001","129","PM2.5","MAYFAIR PUMP STATION","17-031-0052","AQS","30","13","61","32","129","58"
"01/13/2001","151","SO2","WATER PLANT WEST","17-197-0013","AQS","27","19","151","39","114","41"
"01/14/2001","84","PM2.5","MAYFAIR PUMP STATION","17-031-0052","AQS","25","10","29","23","84","35"
"01/15/2001","66","PM2.5","MAYFAIR PUMP STATION","17-031-0052","AQS","19","19","56","15","66","25"
"01/16/2001","92","PM2.5","MAYFAIR PUMP STATION","17-031-0052","AQS","20","24","56","14","92","41"
"01/17/2001","92","PM2.5","MAYFAIR PUMP STATION","17-031-0052","AQS","26","24","41","28","92","43"
"01/18/2001","112","PM2.5","MAYFAIR PUMP STATION","17-031-0052","AQS","24","19","75","40","112","44"
"01/19/2001","88","PM2.5","East Chicago- Franklin School/ Washington School (Ben. Franklin)","18-089-0006","AQS","18","29","69","45","88","42"
"01/20/2001","57","PM2.5","East Chicago- Franklin School/ Washington School (Ben. Franklin)","18-089-0006","AQS","22","31","47","22","57","42"
"01/21/2001","90","PM2.5","MAYFAIR PUMP STATION","17-031-0052","AQS","22","22","75","35","90","47"
"01/22/2001","155","PM2.5","VILLAGE HALL","17-031-1016","AQS","35","23","90","62","155","66"
"01/23/2001","144","PM2.5","MAYFAIR PUMP STATION","17-031-0052","AQS","20","20","94","46","144","53"
"01/24/2001","139","PM2.5","Gary-IITRI/ 1219.5 meters east of Tennessee St.- old ammuntion bunker","18-089-0022","AQS","24","29","66","72","139","46"
"01/25/2001","104","SO2","WATER PLANT WEST","17-197-0013","AQS","23","26","104","42","79","47"
"01/26/2001","112","SO2","WATER PLANT WEST","17-197-0013","AQS","22","27","112","38","90","42"
"01/27/2001","149","PM2.5","Gary-IITRI/ 1219.5 meters east of Tennessee St.- old ammuntion bunker","18-089-0022","AQS","20","31","75","58","149","42"
"01/28/2001","110","SO2","COOK COUNTY TRAILER","17-031-1601","AQS","23","25","110","28","104","43"
"01/29/2001","89","PM2.5","MAYFAIR PUMP STATION","17-031-0052","AQS","30","19","33","33","89","41"
"01/30/2001","77","PM2.5","East Chicago- Franklin School/ Washington School (Ben. Franklin)","18-089-0006","AQS","30","21","59","11","77","73"
"01/31/2001","92","SO2","","18-127-0017","AQS","19","25","92","31","91","36"
"02/01/2001","81","PM2.5","MAYFAIR PUMP STATION","17-031-0052","AQS","23","27","57","32","81","45"
"02/02/2001","100","PM2.5","VILLAGE HALL","17-031-1016","AQS","22","27","55","31","100","44"
"02/03/2001","78","PM2.5","Gary- Burr St./ pumping station near truck stop","18-089-0026","AQS","22","19","60","30","78","31"
"02/04/2001","88","PM2.5","CARY GROVE HS","17-111-0001","AQS","20","19","44","19","88","41"
"02/05/2001","105","PM2.5","MAYFAIR PUMP STATION","17-031-0052","AQS","27","22","37","32","105","42"
"02/06/2001","100","PM2.5","MAYFAIR PUMP STATION","17-031-0052","AQS","31","26","77","41","100","48"
