"Date","Overall AQI Value","Main Pollutant","Site Name (of Overall AQI)","Site ID (of Overall AQI)","Source (of Overall AQI)","CO","Ozone","SO2","PM10","PM25","NO2"
"08/18/2005","81","PM2.5","Gary-IITRI/ 1219.5 meters east of Tennessee St.- old ammuntion bunker","18-089-0022","AQS","15","47","19","42","81","50"
"08/19/2005","90","Ozone","HAMMOND CAAP- Hammond- 141st St.","18-089-2008","AQS","14","90","52","42","62","52"
"08/20/2005","77","SO2","Gary-IITRI/ 1219.5 meters east of Tennessee St.- old ammuntion bunker","18-089-0022","AQS","15","44","77","24","54","51"
"08/21/2005","52","PM2.5","Gary-IITRI/ 1219.5 meters east of Tennessee St.- old ammuntion bunker","18-089-0022","AQS","9","45","27","24","52","38"
"08/22/2005","39","NO2","CTA BUILDING","17-031-0063","AQS","10","32","34","18","22","39"
"08/23/2005","39","Ozone","Gary-IITRI/ 1219.5 meters east of Tennessee St.- old ammuntion bunker","18-089-0022","AQS","9","39","26","18","38","33"
"08/24/2005","49","PM2.5","Gary-IITRI/ 1219.5 meters east of Tennessee St.- old ammuntion bunker","18-089-0022","AQS","14","45","19","31","49","49"
"08/25/2005","84","Ozone","Gary-IITRI/ 1219.5 meters east of Tennessee St.- old ammuntion bunker","18-089-0022","AQS","16","84","60","57","64","46"
"08/26/2005","115","Ozone","CHIWAUKEE PRAIRIE STATELINE","55-059-0019","AQS","20","115","27","51","96","68"
"08/27/2005","75","PM2.5","Gary-IITRI/ 1219.5 meters east of Tennessee St.- old ammuntion bunker","18-089-0022","AQS","22","54","49","36","75","51"
"08/28/2005","75","SO2","COOK COUNTY TRAILER","17-031-1601","AQS","16","64","75","26","55","47"
"08/29/2005","80","Ozone","SEARS TOWER","17-031-0042","AQS","19","80","37","36","62","52"
"08/30/2005","90","PM10","Portage- Hwy 12","18-127-0023","AQS","15","71","37","90","67","60"
"08/31/2005","53","PM2.5","Gary-IITRI/ 1219.5 meters east of Tennessee St.- old ammuntion bunker","18-089-0022","AQS","15","43","41","31","53","43"
"09/01/2005","113","SO2","COOK COUNTY TRAILER","17-031-4002","AQS","15","44","113","44","53","54"
"09/02/2005","65","NO2","CTA BUILDING","17-031-0063","AQS","13","44","41","53","61","65"
"09/03/2005","57","PM2.5","Gary-IITRI/ 1219.5 meters east of Tennessee St.- old ammuntion bunker","18-089-0022","AQS","15","49","39","28","57","47"
"09/04/2005","87","SO2","COOK COUNTY TRAILER","17-031-4002","AQS","16","54","87","25","63","37"
"09/05/2005","105","Ozone","CHIWAUKEE PRAIRIE STATELINE","55-059-0019","AQS","15","105","86","23","62","55"
"09/06/2005","126","Ozone","HAMMOND CAAP- Hammond- 141st St.","18-089-2008","AQS","18","126","39","46","91","70"
