Overall AQI Value,CO,Ozone,SO2,PM10,PM25,NO2,Wens AQI
109,15,49,14,48,109,56,121.25
119,14,67,119,30,61,58,134
87,19,87,31,42,65,73,102.85
99,22,77,97,62,99,71,120.28
117,14,45,117,54,84,47,134.28
57,14,43,51,28,52,57,68.91
65,13,44,29,30,45,65,75.26
68,14,47,29,41,53,68,79.84
62,11,43,39,53,62,55,74.65
59,14,39,46,21,59,49,69.99
110,15,42,110,21,54,46,121.81
91,14,84,91,26,57,52,108.15
77,26,49,77,35,49,66,91.29
97,9,97,34,33,58,60,110.33
80,10,80,60,39,67,48,94.89
98,7,50,20,56,98,53,110.52
93,17,93,23,33,74,46,107.69
82,9,80,82,27,72,36,98.95
84,13,84,49,31,37,70,98.44
151,15,151,56,44,64,73,167.3
97,14,97,33,43,66,68,112.16
74,14,74,34,39,66,62,88.6
101,15,101,36,41,68,55,115.64
87,15,87,29,28,63,36,99.54
60,14,46,23,19,60,32,69.48
126,13,126,52,30,79,65,142.87
50,10,48,30,32,32,50,60.14
66,9,29,56,45,66,38,78.08
103,10,46,81,55,103,44,119.8
50,10,29,43,42,26,50,59.75
36,13,34,36,15,28,27,43.47
74,14,74,55,19,48,43,86.03
151,19,151,71,46,63,71,167.57
136,16,136,47,46,73,70,152.47
97,20,51,97,41,62,66,112.04
156,14,156,44,56,80,61,173.19
150,15,150,67,60,101,67,171.19
208,15,208,60,60,98,62,228.35
161,16,161,26,44,87,48,178.01
197,22,197,104,67,150,73,227.72
164,13,164,54,53,109,71,186.17
164,16,164,49,47,84,68,182.08
122,15,122,71,40,98,55,142.3
49,13,40,49,45,33,22,58.98
44,13,44,36,19,39,33,52.82
112,18,112,33,28,64,50,125.5
86,11,61,79,70,86,45,103.58
61,13,61,43,27,55,32,72.71
86,14,67,86,23,56,32,100.09
80,15,80,50,27,44,46,91.37
112,15,112,41,31,50,42,123.19
169,23,169,47,43,89,66,187.68
203,19,203,60,31,73,68,219.36
166,16,166,60,57,79,64,183.55
159,15,159,37,45,96,41,177.36
66,11,64,39,44,66,66,80.87
93,10,93,33,56,71,56,108.33
88,15,49,34,47,66,88,102.12
150,14,150,41,30,73,42,164.61
174,19,174,52,42,94,42,192.57
90,10,77,90,41,60,54,106.55
105,13,105,84,36,56,51,122.27
65,15,44,44,45,58,65,77.86
87,13,87,43,47,58,64,101.43
108,22,108,44,51,56,47,120.99
54,17,49,21,30,54,42,64.64
115,11,115,60,51,81,34,131.96
80,16,80,26,35,63,71,95.18
50,16,50,24,30,38,45,59.89
48,15,39,19,48,45,40,58.06
62,14,54,43,32,57,62,74.89
70,14,54,70,38,48,58,83.26
129,19,129,37,24,63,69,143.91
108,20,108,44,31,71,51,122.9
179,16,179,79,52,88,80,198.98
169,15,169,126,66,140,70,199.17
107,13,97,74,61,107,69,127.98
84,10,84,51,43,75,65,100.48
69,13,51,23,37,40,69,79.98
112,16,112,50,24,53,61,125.44
159,22,159,100,41,80,72,180.48
156,19,156,64,59,111,81,179.35
187,15,187,69,59,105,69,208.91
108,10,108,34,37,76,52,123.52
74,17,40,14,25,63,74,86.43
68,11,64,30,31,68,55,81.68
44,11,44,20,19,44,41,53.54
51,13,38,26,38,45,51,61.06
69,16,64,41,32,69,54,82.92
119,15,119,47,38,81,55,135.75
108,15,108,26,39,84,102,128.95
81,15,47,19,42,81,50,92.22
90,14,90,52,42,62,52,103.92
77,15,44,77,24,54,51,89.16
52,9,45,27,24,52,38,61.76
39,10,32,34,18,22,39,46.6
39,9,39,26,18,38,33,47.32
49,14,45,19,31,49,49,59.74
84,16,84,60,57,64,46,98.82
115,20,115,27,51,96,68,134.56
75,22,54,49,36,75,51,87.57
75,16,64,75,26,55,47,88.97
80,19,80,37,36,62,52,93.55
90,15,71,37,90,67,60,106.09
53,15,43,41,31,53,43,63.19
113,15,44,113,44,53,54,125.66
65,13,44,41,53,61,65,78.63
57,15,49,39,28,57,47,68.19
87,16,54,87,25,63,37,100.55
105,15,105,86,23,62,55,122.71
126,18,126,39,46,91,70,145.03
143,19,126,143,59,111,73,170.28
100,14,100,40,39,75,51,115.52
108,14,108,51,41,85,61,125.78
150,16,150,60,52,115,56,172.57
154,15,154,47,56,152,62,182.11
156,15,156,59,68,123,86,181.44
97,11,97,77,66,96,68,118.04
39,9,39,20,20,36,34,46.99
41,10,33,34,19,41,33,48.89
57,14,35,57,13,49,42,67.56
65,16,46,65,22,58,42,77.44
112,18,67,112,22,60,53,126.73
73,15,41,36,31,73,55,84.79
74,18,61,31,38,54,74,87.41
114,19,84,114,54,64,83,133.3
80,11,74,66,50,80,60,96.71
79,9,33,79,19,23,33,86.53
64,25,31,30,25,64,42,73.2
77,25,24,17,32,77,34,84.85
58,14,31,20,32,58,54,68.86
57,20,36,30,41,57,50,68.07
79,18,42,46,52,79,60,92.54
58,15,24,51,34,58,39,68.91
54,15,43,46,44,38,54,64.87
95,16,80,95,41,68,64,112.66
77,16,44,41,28,77,46,87.64
78,11,45,55,47,78,68,92.9
82,13,50,69,51,82,60,97.5
83,13,71,37,50,83,68,98.92
46,10,20,29,41,46,34,54.93
43,14,30,26,43,35,38,51.71
57,11,35,57,18,33,30,64.97
38,8,35,26,16,37,38,46.22
73,13,32,36,19,73,42,82.25
43,10,28,43,16,41,30,51.63
65,19,26,16,25,65,64,76.94
97,19,41,29,52,97,52,108.99
91,16,40,91,43,70,76,107.72
72,17,37,50,59,72,42,85.1
53,28,33,29,19,53,39,61.83
105,27,46,105,43,64,58,119.55
60,15,34,56,53,60,54,72.99
119,13,36,117,119,38,46,140.46
34,13,32,31,17,29,34,41.4
46,9,37,26,28,46,46,55.92
65,9,21,29,37,65,42,74.24
53,9,27,23,19,53,30,59.78
47,8,21,16,47,28,42,55.52
41,9,28,14,27,35,41,48.56
58,10,26,17,21,52,58,67.96
72,18,29,34,22,45,72,81.65
68,23,31,39,29,68,56,79.78
122,22,31,122,47,73,42,136.98
69,11,43,26,25,69,28,77.98
104,13,25,23,42,104,48,114.39
60,15,24,51,28,60,47,71.19
61,14,27,61,27,37,48,71.27
70,11,38,70,36,49,61,83.19
74,18,30,74,47,66,64,88.82
83,17,24,17,31,83,35,90.79
42,14,25,31,28,42,34,49.85
77,14,24,77,37,62,65,91.21
112,17,16,26,39,112,48,122.17
66,15,26,62,43,66,35,78.82
60,19,24,50,31,60,56,72.19
65,19,24,49,53,57,65,77.85
103,10,33,103,30,59,40,115.21
62,7,27,62,22,41,26,70.53
46,18,27,29,18,35,46,53.78
48,13,19,39,11,48,33,56.25
40,8,21,40,38,32,29,48.38
55,14,24,50,19,39,55,65.45
63,14,17,60,24,63,46,75.26
59,16,29,37,30,59,49,69.54
66,16,19,46,16,66,43,75.91
77,9,20,77,36,59,38,88.96
60,26,28,19,50,45,60,71.02
74,26,28,59,41,74,50,86.99
130,6,31,61,130,112,28,151.09
72,10,24,72,15,29,38,80.03
63,14,19,57,31,63,33,74.34
78,13,19,29,18,78,28,84.62
52,7,26,40,22,52,42,61.33
38,7,20,33,13,38,36,45.78
61,10,20,50,25,61,51,72.15
66,11,20,40,29,66,43,75.54
53,9,22,29,20,41,53,61.53
58,10,24,56,22,58,40,69.42
64,8,26,51,25,64,38,74.65
111,9,18,111,32,49,62,123.84
92,13,18,47,37,92,58,104.28
107,15,15,72,36,107,68,122.37
114,17,16,114,32,77,63,129.84
96,11,17,80,22,96,48,111.29
64,8,20,60,29,64,45,76.31
73,13,21,65,31,73,42,86.02
74,15,21,54,35,74,66,87.87
94,11,26,55,21,94,48,105.7
85,9,14,50,16,85,42,95.29
68,14,15,40,18,68,44,77.4
89,8,19,89,20,51,39,99.46
57,9,19,52,19,57,41,67.7
74,7,25,74,19,63,31,85.95
97,10,19,97,21,75,53,111.8
96,11,19,96,31,87,48,112.56
133,16,19,105,61,133,55,153.44
113,16,19,71,52,113,53,127.88
95,16,17,33,35,95,49,105.26
108,16,19,20,28,108,46,117.24
42,15,22,21,19,42,30,48.55
55,10,19,31,19,55,40,63.41
81,16,12,39,27,81,35,89.58
70,16,11,26,31,70,42,78.8
53,8,17,34,31,50,53,63.24
76,11,14,24,36,76,53,86.62
57,10,7,52,27,57,23,66.88
69,11,12,27,19,69,27,75.13
69,16,10,24,17,69,23,74.51
66,15,9,29,21,66,42,74.56
87,10,16,87,22,63,33,98.96
88,9,29,76,28,88,48,103.03
48,8,28,29,27,43,48,57.08
67,9,19,67,29,57,39,78.55
70,11,19,24,22,70,37,77.68
69,11,20,36,32,63,69,81.4
57,16,11,21,45,57,53,68.05
68,13,12,60,30,68,34,79.68
103,10,24,103,38,60,56,116.14
63,9,27,36,22,63,35,71.22
42,15,28,23,19,36,42,49.79
49,16,18,26,14,49,43,57.57
62,17,15,37,30,62,38,70.64
91,16,19,64,31,91,35,103.51
67,11,19,43,30,67,45,76.99
59,15,28,49,19,59,49,69.89
66,18,19,56,24,66,37,77.29
79,13,22,79,19,58,58,91.55
86,15,19,86,22,49,51,97.07
114,15,19,102,31,114,48,132.85
105,16,29,105,25,54,39,116.29
122,10,29,122,44,68,58,136.66
94,18,22,76,31,94,72,110.24
79,10,19,62,27,79,48,91.72
69,11,30,39,31,69,40,78.28
55,11,28,55,14,51,33,65.25
56,11,28,50,21,56,47,66.94
72,10,31,46,20,72,51,83.07
64,9,21,44,25,64,40,73.61
82,17,11,20,35,82,47,91.65
65,16,23,33,30,65,51,75.52
90,8,24,90,40,78,42,105.16
94,11,26,94,41,72,33,108.14
87,15,31,87,52,63,51,100.84
74,14,31,23,32,54,74,84.92
69,11,31,29,38,69,62,81.51
90,15,32,90,34,35,66,103.12
76,11,22,54,29,76,46,87.53
67,10,27,27,29,67,58,78.33
61,7,30,31,30,61,39,69.67
69,14,27,69,35,62,52,82.28
63,16,27,60,27,63,57,76.09
55,10,33,40,18,55,50,65.62
68,11,33,62,22,68,49,80.96
80,9,32,80,41,75,53,95.45
69,7,32,59,44,69,38,81.52
75,7,30,75,15,50,49,85.92
62,9,24,62,29,35,48,72.1
76,15,31,76,43,74,66,92.03
86,16,33,69,50,86,78,102.97
73,14,34,62,39,51,73,86.45
62,15,31,37,25,51,62,72.77
66,9,37,66,63,57,38,79.89
60,9,36,60,28,34,43,69.58
85,10,37,85,22,54,57,97.53
55,9,36,37,27,55,48,65.4
43,9,34,29,28,43,42,52.23
87,11,36,87,52,71,80,104.42
65,9,32,27,40,56,65,76.67
47,9,36,47,14,38,46,56.89
60,13,34,17,21,60,49,69.94
86,13,36,16,31,86,53,96.82
67,15,33,14,28,67,65,79.4
89,9,19,43,53,89,49,100.73
70,8,26,27,37,70,42,79.29
74,10,30,55,30,74,58,86.75
51,10,41,27,31,51,39,60.36
88,17,34,40,31,88,37,97.32
57,11,31,57,31,33,42,66.3
71,6,37,71,32,54,37,82.39
72,11,34,55,41,72,56,84.76
65,13,40,65,32,31,49,75.74
49,14,38,37,49,42,47,59.79
55,10,41,27,47,54,55,66.91
53,10,40,30,19,34,53,61.78
61,9,43,37,22,29,61,70.41
119,10,35,26,119,44,67,132.57
68,15,42,54,42,59,68,81.38
62,13,38,52,21,30,62,72.85
56,9,32,16,17,54,56,66.45
51,8,34,21,19,40,51,59.58
68,9,42,36,13,33,68,77.11
87,11,33,34,26,87,60,98.99
80,18,38,34,35,80,61,92.61
107,13,37,26,52,107,62,120.29
92,10,51,39,42,92,78,107.97
51,9,40,47,51,40,34,61.62
54,11,35,54,13,33,30,61.87
59,8,37,29,29,59,49,69.44
91,8,40,91,41,73,53,106.3
116,8,48,116,59,83,55,133.54
71,13,49,71,35,57,62,84.96
63,17,38,30,45,60,63,75.78
64,16,45,21,63,64,43,77.14
53,19,41,17,44,47,53,63.62
95,15,45,95,26,56,66,109.27
76,16,58,76,47,60,68,91.46
75,9,74,61,54,75,67,91.84
81,7,71,81,42,71,54,97.19
117,11,67,117,57,54,55,132.19
80,9,47,80,47,77,72,97.12
51,16,50,51,47,32,27,62.19
44,14,44,13,19,44,40,53.39
78,17,47,37,43,78,51,89.77
58,10,58,30,22,28,53,68.55
68,15,61,41,37,52,68,81.46
85,16,71,85,51,61,71,101.6
74,11,49,74,56,52,67,88.98
66,13,51,29,36,57,66,78.53
53,7,50,43,39,53,47,64.56
67,10,64,67,38,59,60,81.64
79,16,44,37,79,22,51,90.19
101,15,54,101,31,54,76,116.95
81,36,58,81,42,47,68,96.24
61,22,61,26,34,44,50,72.12
62,11,47,39,35,62,34,72.49
62,10,48,11,31,62,21,71.49
78,9,36,14,46,78,42,88.09
82,17,50,37,49,82,55,94.64
90,17,49,90,55,49,62,104.18
57,9,42,26,53,42,57,68.5
77,9,31,16,28,60,77,88.52
48,15,45,43,21,33,48,58.13
61,18,61,29,24,52,58,73.54
80,11,80,31,45,68,57,94.68
84,10,51,41,54,84,77,100.19
81,17,45,44,60,74,81,97.05
57,9,34,57,19,52,38,67.85
40,9,21,40,8,20,36,47.11
33,10,20,13,11,26,33,38.48
45,14,38,29,17,45,31,53.31
54,15,41,17,26,43,54,63.51
77,27,36,52,37,45,77,88.78
68,24,40,67,39,68,66,83.17
58,11,42,34,26,42,58,67.71
46,15,35,37,19,37,46,54.63
100,17,51,100,32,47,55,112.55
45,11,45,40,26,24,32,53.71
111,14,49,111,25,34,47,122.02
77,17,77,56,51,63,67,92.51
74,17,74,37,50,62,72,89.81
58,10,43,49,34,48,58,69.39
87,15,87,26,45,83,81,105.07
87,23,87,61,55,83,66,105.3
97,9,97,44,27,68,37,110.77
68,10,54,47,25,68,45,79.95
85,13,67,41,52,66,85,100.34
67,13,46,44,30,52,67,78.71
66,19,48,46,39,66,46,77.39
100,19,61,51,40,43,100,113.55
72,23,58,72,28,40,50,84.79
60,16,45,33,31,60,40,70.19
113,17,87,113,42,54,74,131.84
105,16,105,71,64,63,77,122.8
60,9,58,43,33,60,53,72.96
74,10,74,41,32,62,66,88.56
84,13,35,14,84,26,49,94.03
52,8,47,39,24,40,52,62.39
54,15,45,54,17,27,24,63.07
54,16,41,33,19,28,54,62.9
50,15,44,50,21,45,44,60.4
86,19,71,86,49,50,49,101.3
129,14,129,20,48,63,66,143.55
164,11,164,20,55,108,62,184.91
150,9,150,26,44,84,34,166.09
85,10,45,36,24,85,41,95.1
94,10,64,94,34,56,42,108.02
52,14,44,52,39,48,52,64
127,13,45,127,44,64,63,141.66
81,10,46,81,43,58,61,94.93
71,13,42,55,19,30,71,82.46
97,14,51,97,23,33,46,108.21
67,15,64,40,31,67,45,80.42
65,14,44,65,19,46,60,77.7
64,10,64,46,28,57,62,77.73
96,11,74,89,41,96,61,115.2
62,15,54,24,33,62,58,74.69
126,17,126,47,60,79,56,143.08
151,15,151,52,53,76,62,167.75
77,16,77,71,32,70,56,93.07
97,18,48,20,52,72,97,111.94
104,16,49,104,38,86,24,120.75
47,18,37,40,37,41,47,56.81
76,18,42,49,30,55,76,88.32
77,19,77,56,44,69,57,92.39
105,13,105,79,35,72,47,122.22
136,11,136,39,33,79,39,151.35
62,17,41,30,22,62,38,71.26
64,15,42,9,28,50,64,74.55
102,25,58,102,37,58,60,116.05
93,19,93,36,41,76,53,108.78
83,17,48,21,41,69,83,97.16
126,17,126,56,35,59,57,139.69
84,14,84,69,29,78,52,100.91
90,9,90,31,55,72,65,105.86
67,14,67,30,19,43,51,77.92
97,13,80,30,49,90,97,116.21
102,13,44,26,46,69,102,116.18
49,14,42,20,31,37,49,58.31
62,11,39,36,29,62,40,71.36
61,15,61,27,19,50,47,71.92
96,14,71,96,46,58,77,113.32
101,10,101,86,53,77,82,120.7
97,11,61,59,54,72,97,113.22
84,13,58,43,43,77,84,100.3
164,13,164,60,44,70,81,181.86
159,16,159,49,52,65,58,173.83
80,13,80,62,33,68,42,94.93
143,11,143,27,53,84,71,160.86
126,10,126,31,52,61,83,143.26
87,10,87,44,58,57,57,100.67
55,13,36,13,29,55,51,65.42
93,22,93,52,31,63,52,106.93
93,25,93,17,34,60,44,105.55
87,15,51,62,38,87,42,100.6
64,26,44,31,54,64,52,76.46
55,13,47,55,18,25,40,65.04
93,10,93,37,40,81,41,108.84
83,14,64,30,56,83,36,96.86
43,15,43,27,20,39,33,51.59
64,11,64,36,23,52,42,75.19
87,15,87,55,20,60,47,100.24
72,14,47,61,39,72,58,85.91
74,16,61,74,34,60,53,88.05
87,14,87,50,44,56,56,100.22
112,14,112,26,52,81,65,129.1
111,14,90,91,65,111,89,132.37
74,18,74,29,48,64,54,88.02
39,19,39,33,12,26,32,46.57
65,16,46,65,35,64,49,78.83
77,13,77,69,37,67,53,92.63
80,15,67,61,52,62,80,95.56
81,13,47,50,50,81,79,97.42
117,11,61,57,62,117,78,134.27
76,13,41,57,44,76,42,88.54
97,19,43,29,30,97,39,106.77
44,18,40,19,19,44,41,53.09
65,26,44,43,19,41,65,75.28
102,24,34,72,19,59,102,117.1
57,19,45,44,19,27,57,67.06
52,8,39,40,21,52,32,61.09
61,9,46,54,23,61,42,72.79
65,10,54,65,31,56,42,77.66
55,10,44,40,26,55,49,65.97
70,13,64,41,34,65,70,84.58
82,14,71,39,43,76,82,98.73
99,17,48,60,63,68,99,114.68
81,15,54,69,56,76,81,98.2
57,15,32,36,39,56,57,68.86
44,10,25,14,21,44,16,49.5
71,15,26,11,35,71,40,79.68
93,14,30,26,55,83,93,109.46
67,10,34,67,22,47,66,80.47
65,13,39,21,36,65,44,74.82
71,19,49,43,53,71,49,83.43
77,14,61,33,39,77,37,89.64
102,11,49,102,37,70,32,116.44
110,9,30,110,23,30,67,122.7
84,7,17,84,16,25,27,90.03
61,18,30,29,26,46,61,70.68
93,22,40,56,43,61,93,106.83
72,11,38,55,36,65,72,86.09
60,11,25,37,34,60,43,69.59
79,10,28,79,14,38,43,88.29
84,13,36,84,28,40,72,98.21
79,15,38,36,41,52,79,90.48
110,14,24,110,37,41,62,122.71
61,8,31,14,52,55,61,72.83
70,15,26,70,51,60,48,83.18
66,15,30,66,27,41,41,75.49
62,18,36,62,24,45,45,72.38
82,14,47,30,40,56,82,94.29
64,15,49,27,39,64,60,76.92
74,19,30,74,35,35,46,84.14
61,13,29,61,17,45,29,70.25
56,16,29,20,17,49,56,65.7
57,20,37,43,19,57,43,66.93
69,20,45,55,32,69,60,82.49
61,20,40,46,36,57,61,73.57
42,18,30,36,21,40,42,51
53,13,19,47,14,53,34,62.54
70,8,26,70,21,23,42,78.56
67,9,28,67,48,28,34,77.11
103,10,27,103,36,37,33,111.65
43,14,31,43,24,38,42,52.44
56,11,24,14,12,56,48,65.03
76,14,21,60,12,38,76,87.72
54,16,17,24,43,54,54,65.23
59,13,19,21,28,59,51,68.98
58,15,25,21,45,57,58,69.87
52,13,30,47,35,52,38,62.38
103,8,26,103,23,59,32,114.51
80,10,24,80,21,53,49,91.4
69,20,20,69,37,67,53,83.04
93,31,19,24,64,71,93,108.14
70,16,16,20,26,70,42,78.48
61,15,17,61,19,58,42,72.67
104,10,31,104,68,77,34,120.35
61,15,29,61,19,52,45,72.16
63,15,42,62,54,49,63,76.97
55,11,24,50,42,55,52,66.73
73,11,29,72,39,55,73,88.02
82,13,27,82,52,54,49,94.35
92,19,26,92,40,55,56,104.66
69,19,24,34,36,69,45,78.9
62,11,20,50,20,62,47,72.76
87,16,14,44,46,87,69,100.99
120,16,15,80,51,120,108,141.69
83,17,28,62,54,83,79,99.76
106,14,29,64,44,52,106,119.8
40,16,20,36,15,40,35,48.02
72,14,28,51,20,21,72,82.01
53,11,25,33,12,53,42,61.8
81,13,14,19,38,81,64,93.29
75,15,17,17,25,75,67,87.13
96,16,23,96,20,82,42,111.42
65,19,23,23,26,47,65,74.46
68,15,20,36,33,68,50,78.51
79,15,15,26,32,79,34,86.67
62,8,26,23,30,62,43,71.01
65,19,23,41,29,65,58,76.98
71,20,19,34,45,71,63,83.97
71,14,18,49,39,71,64,84.33
96,19,19,96,27,70,45,109.86
88,18,19,55,28,66,88,101.77
98,16,25,40,39,98,43,107.89
81,15,29,40,24,81,47,91.26
88,14,20,21,54,88,65,101.41
67,9,33,66,31,67,64,81.47
62,10,24,16,22,56,62,72.46
65,16,25,21,14,37,65,72.68
44,17,23,44,12,42,43,53.47
59,13,20,57,25,59,43,70.73
61,11,23,61,17,48,29,70.56
66,11,26,66,29,57,62,79.36
90,14,21,90,43,56,56,102.62
57,13,31,46,42,57,52,68.69
76,13,29,55,76,75,62,92.16
56,13,26,56,35,51,54,68
79,10,24,79,40,53,33,90.19
64,10,24,64,19,57,38,75.41
73,10,19,29,30,73,63,85.01
66,10,19,34,15,66,55,76.73
77,13,14,57,37,77,52,89.3
65,13,26,59,32,52,65,77.74
89,16,24,89,32,75,61,104.58
65,16,16,44,19,65,44,74.66
65,16,21,55,25,65,48,76.73
67,14,19,19,43,38,67,76.25
97,16,24,89,44,97,72,115.47
84,17,6,74,53,84,60,99.56
66,18,9,13,19,66,36,73.06
52,16,20,51,8,52,45,62.7
105,11,19,105,11,50,35,114.96
64,11,14,56,27,64,32,74.93
82,14,19,62,26,82,34,94.04
54,11,24,54,20,45,50,64.74
60,13,13,60,22,42,57,71.48
71,17,19,37,32,71,44,80.64
92,30,20,29,42,92,87,108.53
99,34,14,26,34,99,43,108.49
66,11,22,20,16,66,34,73.03
57,7,26,44,28,57,42,66.85
65,14,19,34,19,53,65,75.55
61,9,23,40,22,56,61,72.39
47,8,20,26,15,42,47,55.38
62,13,15,21,23,62,54,72.1
77,16,21,44,29,77,41,86.81
64,16,25,33,13,64,36,72
110,10,25,110,18,25,63,121.66
90,7,29,57,90,86,51,107.42
87,11,20,87,31,42,60,99.23
47,7,19,39,31,41,47,56.17
58,10,25,20,26,58,52,68.1
28,5,28,11,9,24,25,33.4
33,5,27,13,7,33,27,38.85
63,7,25,31,26,63,54,73.74
74,8,28,40,42,74,65,87.29
82,10,22,49,25,82,56,93.89
73,8,27,67,31,73,55,87.04
101,6,27,101,28,57,55,113.46
60,11,24,56,20,60,49,71.84
78,11,18,16,27,78,40,86.14
76,11,27,71,19,76,68,91.08
78,10,24,33,30,78,74,91.93
82,8,25,21,39,82,57,93.5
67,9,29,46,44,62,67,80.15
73,9,31,47,31,73,55,84.93
91,8,30,91,16,76,40,105.4
90,6,31,90,52,48,37,101.62
79,9,29,43,31,62,79,91.74
73,8,23,51,44,73,41,84.21
100,10,24,100,35,74,52,114.98
73,8,24,52,25,73,69,87.01
67,9,27,44,37,67,62,79.87
89,9,30,49,89,44,34,99.92
99,7,30,99,26,43,38,108.54
101,7,29,50,51,67,101,115.25
76,15,20,36,29,76,62,88.23
85,9,25,85,31,69,71,100.31
130,8,28,130,39,70,69,145.37
122,9,30,122,41,65,79,138.61
101,9,31,101,22,64,46,114.05
69,11,28,54,34,69,49,80.9
92,11,34,36,27,92,66,105.03
64,5,31,64,62,51,41,77.34
67,9,31,67,22,55,61,80.05
119,10,31,119,36,68,73,134.79
102,9,31,102,39,71,60,117.14
85,8,40,64,33,85,52,98.74
55,9,40,47,28,55,54,66.9
66,10,39,33,32,63,66,78.8
111,17,28,99,30,111,103,132.73
112,16,31,39,40,112,73,126.51
67,8,34,66,50,65,67,81.91
84,7,37,24,84,48,43,94.64
51,7,34,51,26,48,34,61.17
53,9,34,13,13,53,39,61.16
72,9,38,46,15,71,72,86.1
77,11,33,69,20,68,77,91.92
88,11,33,26,24,88,50,98.26
83,13,36,16,30,83,66,95.75
65,7,37,65,53,47,57,77.95
64,6,36,64,29,54,40,75.46
60,7,40,60,15,51,52,71.52
88,8,40,86,62,53,88,105.94
62,11,32,17,26,50,62,72.07
93,10,35,33,53,93,55,105.36
107,17,34,44,42,107,71,121.54
90,16,28,64,46,90,71,105.49
95,10,43,85,40,95,55,112.26
64,17,38,31,20,61,64,76.24
82,11,38,33,50,60,82,95.03
76,10,45,46,48,73,76,91.27
60,11,35,47,36,60,50,71.38
80,8,33,40,11,26,80,88.47
64,8,39,13,26,43,64,73.26
57,14,40,19,28,56,57,68.48
62,16,41,62,17,51,58,74.57
82,9,39,82,29,64,50,95.55
56,8,33,26,19,45,56,65.38
81,10,44,14,26,77,81,95.65
95,11,36,37,24,95,46,105.06
74,18,25,16,30,74,50,84.02
74,16,19,61,29,74,37,86.12
66,16,41,31,31,66,30,75.08
86,9,37,86,40,57,78,102.18
69,10,35,69,37,56,44,81.14
62,8,31,36,17,62,34,70.14
54,11,38,41,29,47,54,64.55
75,17,35,75,57,55,66,89.72
77,14,41,46,35,77,42,87.66
77,9,42,77,10,31,27,85.68
87,11,36,87,26,39,70,100.8
91,11,37,50,34,59,91,103.88
76,5,37,65,76,63,45,90.59
70,5,42,65,70,68,64,85.62
73,5,37,50,73,57,50,85.84
65,5,32,65,63,63,27,78.83
52,11,40,34,29,52,43,61.82
70,14,34,36,41,63,70,83.04
74,14,47,33,39,74,62,87.23
69,8,35,17,18,69,51,79.18
89,7,36,89,25,57,57,101.69
103,11,49,103,23,53,77,118.75
73,17,47,29,27,55,73,84.89
64,24,64,47,26,58,54,77.1
105,13,58,30,45,51,105,117.88
88,22,54,55,59,64,88,102.95
106,10,44,30,41,51,106,117.37
80,22,44,31,56,37,80,92.18
107,16,64,49,63,56,107,122.01
156,17,100,62,43,156,64,176.47
119,10,119,85,48,79,46,137.68
91,7,49,44,71,60,91,106.58
77,8,47,31,54,53,77,89.39
53,6,41,17,11,53,41,61.82
88,11,38,17,21,69,88,101.12
96,10,40,26,19,51,96,106.65
86,17,49,86,41,63,53,100.07
67,15,67,65,22,55,57,81.29
62,35,58,37,55,62,36,75.26
67,33,67,27,57,64,58,81.57
86,32,43,31,31,57,86,98.27
65,22,51,49,30,55,65,77.6
77,8,77,60,39,61,57,91.15
60,8,47,47,27,60,38,70.78
54,10,54,21,33,34,40,62.88
87,9,87,26,57,55,57,100.11
80,13,77,61,59,80,71,97.63
112,14,112,40,51,85,69,130.16
108,14,108,49,59,85,85,127.3
80,11,48,29,45,62,80,93.29
74,14,39,74,35,35,27,82.98
60,16,58,19,25,51,60,72.29
101,14,101,51,70,57,76,118.2
68,11,58,36,36,57,68,81.1
47,11,42,20,25,44,47,56.71
104,11,44,13,19,42,104,113.45
65,15,47,65,43,58,62,79.15
93,10,93,62,33,58,55,107.06
101,17,34,101,12,44,33,110.42
93,14,93,34,36,66,70,108.34
161,11,161,29,56,69,110,182.76
122,11,122,40,67,99,101,144.35
128,10,97,47,84,128,64,149.07
59,8,44,51,18,59,39,70.07
54,10,46,33,17,54,53,65.35
84,9,71,84,16,56,44,98.74
87,11,87,67,28,77,48,103.53
161,13,161,54,58,105,105,184.37
145,11,143,44,58,145,102,173.7
87,10,54,26,45,87,57,99.77
81,11,67,21,43,81,62,95.54
60,14,58,43,23,60,51,72.71
65,9,49,65,13,51,41,76.27
66,5,44,47,22,39,66,76.52
105,5,31,20,19,105,69,117.73
64,10,64,20,31,47,57,76.02
93,5,93,56,59,74,42,109.06
102,5,46,66,36,56,102,116.39
126,16,126,92,38,60,56,144.84
115,18,115,34,34,70,64,130.24
156,14,156,59,51,77,61,172.94
133,8,133,30,49,70,103,153.61
108,7,108,39,56,71,91,127.17
140,10,140,30,51,83,76,157.97
172,10,172,70,53,82,103,194.11
174,17,174,100,66,107,87,198.28
164,14,164,99,59,117,70,189.22
93,13,93,34,57,85,78,111.6
62,6,48,62,40,55,51,74.62
108,7,108,49,39,74,74,124.63
80,8,80,62,31,56,50,93.8
88,7,44,36,24,45,88,98.22
61,10,61,17,20,61,41,73.04
91,13,61,31,35,91,42,103.7
105,15,90,52,52,105,55,123.48
88,15,67,33,55,88,84,105.86
94,10,42,62,42,67,94,108.93
44,14,33,17,28,41,44,52.84
60,19,38,21,26,52,60,70.83
77,34,77,56,21,61,42,90.68
50,17,44,50,24,45,24,60.08
71,10,71,61,27,53,42,84.28
115,11,115,46,51,67,79,132.25
