Overall AQI Value,CO,Ozone,SO2,PM10,PM25,NO2,Wens AQI
177,33,177,87,69,0,80,196.09
200,47,190,200,71,0,87,235.21
133,27,133,110,88,0,58,155.6
136,31,136,104,45,0,57,155.97
151,30,151,95,58,0,56,169.87
130,24,126,130,0,0,36,151.18
108,35,108,87,64,0,57,126.09
140,27,140,87,37,0,60,157.33
100,28,47,100,57,0,57,112.9
69,30,45,69,31,0,43,79.12
164,20,164,113,52,0,82,186.49
179,40,179,62,30,0,81,195.65
112,24,112,71,52,0,45,126.63
110,18,47,110,48,0,39,120.69
102,28,47,102,35,0,42,112.41
119,23,119,79,31,0,62,135.03
129,33,129,84,64,0,67,146.89
69,32,47,69,52,0,51,80.93
85,14,49,85,63,0,46,98.1
57,16,45,57,21,0,30,65.99
136,34,136,103,48,0,79,157.04
192,41,192,105,52,0,98,214.51
159,33,159,105,90,0,83,181.57
151,32,151,85,61,0,88,170.31
185,17,185,107,79,0,77,206.88
172,30,172,105,47,0,54,191.99
150,39,150,101,52,0,65,170.22
108,36,108,64,58,0,57,122.36
115,25,67,115,51,0,53,129.22
102,26,47,102,48,0,54,113.96
97,22,39,97,54,0,44,108.52
62,14,42,62,30,0,48,72.18
121,15,51,121,40,0,54,132.75
105,31,105,81,19,0,50,120.65
108,30,80,108,49,0,69,125.03
53,39,51,47,25,0,53,64.28
111,39,108,111,64,0,62,132.42
177,42,177,132,74,0,106,204.42
166,43,166,105,116,0,105,191.61
61,10,61,50,55,0,42,72.79
69,10,39,69,45,0,36,78.62
85,15,43,85,31,0,55,96.32
101,28,101,80,40,0,45,116.61
112,43,112,87,39,0,64,129.89
105,34,80,105,36,0,63,121.55
113,19,41,113,50,0,46,124
61,16,45,61,48,0,51,72.27
101,35,101,74,28,0,53,116.01
105,32,54,105,41,0,60,118.16
87,19,87,67,49,0,63,101.56
208,41,208,84,58,0,104,229.78
190,43,190,114,55,0,73,212.71
159,41,159,106,76,0,81,181.29
117,38,49,117,32,0,45,128
100,30,100,77,42,0,41,115.07
102,16,77,102,31,0,33,116.14
69,18,37,69,31,0,29,77.04
144,60,77,144,44,0,58,160.59
86,31,77,86,56,0,51,101.99
105,22,49,105,27,0,42,115.43
129,35,129,105,45,0,43,148.56
214,40,214,95,54,0,62,233.23
215,44,215,112,73,0,88,238.54
187,42,187,122,39,0,52,209.52
187,52,187,105,73,0,70,208.84
200,55,200,101,60,0,91,222
100,69,100,71,56,0,90,119.55
109,66,40,109,59,0,45,123.55
102,19,61,102,25,0,42,114.13
112,45,112,95,24,0,53,130.28
81,62,38,81,46,0,51,94.53
76,45,41,76,31,0,40,86.22
101,59,71,101,57,0,73,117.82
154,41,154,111,25,0,79,175.92
195,40,195,125,64,0,83,219.98
129,39,129,115,38,0,62,150.89
163,28,49,163,68,0,46,177.13
71,22,37,71,22,0,37,79.28
110,30,40,110,36,0,33,119.06
123,27,49,123,31,0,57,135.16
108,27,108,101,52,0,56,127.53
58,41,58,54,31,0,53,70.19
69,39,45,69,55,0,45,81.18
100,13,38,100,40,0,49,110.37
71,20,39,71,40,0,57,82.73
101,31,26,101,57,0,37,112.54
82,15,41,82,78,0,37,96.79
67,18,35,67,26,0,44,76.23
90,18,49,90,42,0,53,101.6
89,11,38,89,23,0,36,97.18
65,15,25,65,32,0,33,72.35
86,33,29,86,26,0,42,95.05
94,45,33,94,46,0,42,104.65
102,15,30,102,90,0,42,118.5
106,38,32,106,65,0,50,119.65
94,40,37,94,44,0,44,104.34
108,47,46,108,42,0,50,119.61
93,34,93,82,61,0,62,110.3
102,47,61,102,63,0,66,117.21
84,39,51,84,59,0,66,98.65
60,20,38,60,38,0,43,69.51
85,28,38,85,16,0,37,93.43
95,18,29,95,19,0,30,101.69
66,15,29,66,15,0,26,72.25
102,28,28,102,31,0,39,110.52
145,27,48,145,27,0,52,156.28
116,48,37,116,59,0,80,132.65
93,45,35,92,55,0,93,111.15
63,39,37,56,37,0,63,74.83
81,39,42,81,39,0,40,90.86
72,27,36,72,19,0,31,79.87
141,26,19,141,17,0,34,148.12
67,23,24,67,43,0,42,76.49
162,43,35,162,34,0,45,172.28
194,31,40,194,83,0,42,209.97
102,26,31,102,65,0,40,114.89
57,40,31,57,52,0,40,68.22
76,44,47,76,38,0,43,86.87
72,36,37,72,57,0,60,85.31
111,40,54,111,43,0,63,124.81
141,34,36,141,61,0,44,153.75
132,32,23,132,23,0,36,139.92
105,24,20,105,16,0,28,111.12
43,16,20,43,20,0,25,48.47
69,13,20,69,34,0,17,75.7
125,31,19,125,11,0,28,131.65
144,30,19,144,36,0,42,153.08
60,24,22,60,12,0,22,65.38
60,32,20,60,23,0,25,66.91
127,31,23,127,20,0,41,135.56
99,16,27,99,27,0,25,105.22
95,16,25,95,16,0,27,100.94
64,32,24,64,50,0,34,74.32
136,32,27,136,24,0,37,144.17
66,17,27,50,66,0,46,76.68
63,20,27,56,63,0,41,74.39
113,38,23,113,47,0,55,124.82
110,38,26,110,20,0,64,122.42
116,33,17,116,45,0,65,129
43,25,13,43,0,0,41,50.66
56,23,14,56,40,0,38,64.64
108,49,13,108,26,0,43,118.28
198,50,25,198,55,0,46,210.17
154,26,26,154,35,0,52,164.59
81,20,31,81,42,0,34,90.02
128,24,25,128,16,0,33,135
200,15,28,200,45,0,43,209.76
200,24,18,200,26,0,44,208.74
85,30,17,85,48,0,50,95.84
102,83,11,102,24,0,94,120.95
87,34,12,87,52,0,50,98.22
49,22,21,49,19,0,30,55.4
75,10,24,75,31,0,33,82.18
81,23,24,81,25,0,45,89.94
110,36,17,110,53,0,44,121.21
116,27,19,116,32,0,32,123.32
66,27,28,66,14,0,32,73.02
200,34,29,200,16,0,47,209.65
197,11,24,197,18,0,36,204.18
76,15,23,76,18,0,35,83.06
57,23,28,57,37,0,31,65.12
62,18,24,62,20,0,46,70.86
59,24,25,59,38,0,41,68.03
196,22,19,196,23,0,42,204.27
110,31,19,110,41,0,50,120.55
56,34,19,56,19,0,39,64.31
59,27,16,59,44,0,35,68.21
97,44,19,97,39,0,48,107.56
103,31,15,103,27,0,38,111.09
80,38,19,80,26,0,36,88.4
60,40,16,60,34,0,36,68.8
79,55,15,79,38,0,42,90.41
69,48,26,69,61,0,35,81.77
75,11,28,75,53,0,32,85.33
72,43,20,72,31,0,39,81.42
134,32,27,134,75,0,42,148.53
74,35,26,74,71,0,42,87.97
75,54,17,75,34,0,65,88.47
102,28,10,102,44,0,35,111.11
60,18,15,60,19,0,41,67.76
87,23,11,87,15,0,30,93.17
107,26,25,107,54,0,47,118.47
102,26,19,102,27,0,41,110.4
61,40,19,61,36,0,55,72.35
119,41,23,119,45,0,42,129.13
59,33,23,59,29,0,32,66.59
100,26,20,100,31,0,29,107.02
71,20,15,41,71,0,31,79.4
46,36,22,46,30,0,41,54.99
50,38,16,50,19,0,29,57.85
69,41,18,69,41,0,25,78.06
95,34,20,61,59,95,71,110.76
103,28,22,103,50,80,63,119.93
71,28,17,44,70,71,50,85.61
75,26,12,44,42,75,37,85.08
100,25,24,100,31,72,31,113.71
76,27,21,60,33,76,66,90.31
65,26,12,52,38,65,53,76.95
72,25,14,72,29,59,46,84.37
61,27,20,55,23,61,49,72.9
66,25,20,60,21,66,52,78.72
87,24,28,87,44,83,38,103.21
60,26,17,60,20,44,33,69.34
70,28,17,29,28,70,44,79.34
71,22,20,71,20,65,44,83.99
64,28,22,57,25,64,60,77.13
78,26,18,46,24,78,54,89.58
74,32,23,31,31,74,56,85.47
96,31,21,96,32,70,55,110.72
74,25,22,37,36,74,38,82.99
68,34,21,30,30,68,67,81.16
84,32,26,84,54,54,55,96.93
76,25,27,51,48,76,43,87.7
79,24,26,31,23,79,64,91.38
62,23,25,62,31,51,49,73.45
55,24,21,36,31,55,40,64.11
41,23,30,39,41,33,35,50.09
70,25,25,61,38,70,53,83.31
64,14,28,64,19,54,46,75.48
74,14,25,64,15,74,40,86.54
43,23,24,27,11,42,43,51.7
65,23,32,65,19,60,55,78.04
68,26,27,56,39,68,53,80.63
65,19,32,59,31,65,49,77.75
79,20,33,47,78,79,72,96.1
79,26,26,62,41,79,70,94.2
94,26,28,69,46,94,72,109.99
112,25,27,61,48,112,72,127.6
110,41,18,62,56,110,65,124.97
77,41,27,27,31,77,43,86.93
52,27,31,33,29,52,40,61.12
60,23,27,20,31,46,60,69.65
74,17,30,74,55,48,67,88.53
64,24,28,54,29,55,64,76.33
62,24,25,62,55,53,42,74.48
75,23,22,47,37,75,45,85.72
78,23,32,74,54,78,46,93.59
67,27,33,67,33,41,42,76.94
67,26,25,67,41,53,55,79.49
72,22,26,29,29,72,54,82.87
55,23,22,16,19,55,45,63.88
95,17,32,95,46,81,52,111.48
