Date,Overall AQI Value,Main Pollutant,Site Name (of Overall AQI),Site ID (of Overall AQI),Source (of Overall AQI),CO,Ozone,SO2,PM10,PM25,NO2
10/24/2013,60,PM2.5,Gary-IITRI/ 1219.5 meters east of Tennessee St.- old ammuntion bunker,18-089-0022,AQS,6,27,27,34,60,38
10/25/2013,61,SO2,NIPSCO Dunes Acres,18-127-0011,AQS,6,30,61,48,43,46
10/26/2013,54,PM2.5,Gary-IITRI/ 1219.5 meters east of Tennessee St.- old ammuntion bunker,18-089-0022,AQS,6,27,27,44,54,28
10/27/2013,51,PM2.5,Gary-IITRI/ 1219.5 meters east of Tennessee St.- old ammuntion bunker,18-089-0022,AQS,7,25,13,21,51,35
10/28/2013,59,PM2.5,Gary-IITRI/ 1219.5 meters east of Tennessee St.- old ammuntion bunker,18-089-0022,AQS,11,25,14,44,59,38
10/29/2013,62,PM2.5,SPRINGFIELD PUMP STATION,17-031-0057,AQS,7,19,9,26,62,33
10/30/2013,90,PM2.5,Hammond- Purdue/ Powers Bldg. Purdue University,18-089-2004,AQS,8,22,6,33,90,34
10/31/2013,47,PM2.5,LIBERTY SCHOOL,17-031-6005,AQS,5,22,19,9,47,29
11-01-2013,50,PM2.5,COM ED TRAINING CENTER,17-197-1011,AQS,5,19,36,28,50,22
11-02-2013,75,PM2.5,Gary-IITRI/ 1219.5 meters east of Tennessee St.- old ammuntion bunker,18-089-0022,AQS,6,19,17,30,75,24
11-03-2013,53,PM2.5,COM ED MAINTENANCE BLDG,17-031-0076,AQS,6,25,13,12,53,28
11-04-2013,52,PM2.5,LIBERTY SCHOOL,17-031-6005,AQS,3,26,7,17,52,32
11-05-2013,59,PM2.5,CHIWAUKEE PRAIRIE STATELINE,55-059-0019,AQS,5,24,9,20,59,31
11-06-2013,56,PM2.5,Gary-IITRI/ 1219.5 meters east of Tennessee St.- old ammuntion bunker,18-089-0022,AQS,5,23,34,24,56,45
11-07-2013,62,PM2.5,Gary-IITRI/ 1219.5 meters east of Tennessee St.- old ammuntion bunker,18-089-0022,AQS,5,23,39,24,62,31
11-08-2013,63,PM2.5,CHIWAUKEE PRAIRIE STATELINE,55-059-0019,AQS,7,28,39,29,63,36
11-09-2013,40,PM2.5,Gary-IITRI/ 1219.5 meters east of Tennessee St.- old ammuntion bunker,18-089-0022,AQS,6,31,34,28,40,21
11-10-2013,66,PM2.5,Gary-IITRI/ 1219.5 meters east of Tennessee St.- old ammuntion bunker,18-089-0022,AQS,7,29,39,29,66,32
11-11-2013,43,PM2.5,COM ED MAINTENANCE BLDG,17-031-0076,AQS,8,24,24,27,43,32
11-12-2013,44,PM2.5,Gary-IITRI/ 1219.5 meters east of Tennessee St.- old ammuntion bunker,18-089-0022,AQS,6,27,26,29,44,30
11/13/2013,45,PM2.5,Gary-IITRI/ 1219.5 meters east of Tennessee St.- old ammuntion bunker,18-089-0022,AQS,6,23,19,38,45,32
11/14/2013,50,PM2.5,SPRINGFIELD PUMP STATION,17-031-0057,AQS,5,24,17,39,50,30
11/15/2013,186,PM2.5,Ogden Dunes- Water Treatment Plant,18-127-0024,AQS,3,23,17,44,186,39
11/16/2013,73,PM2.5,COM ED MAINTENANCE BLDG,17-031-0076,AQS,2,23,9,32,73,20
11/17/2013,55,PM2.5,COM ED MAINTENANCE BLDG,17-031-0076,AQS,1,30,41,18,55,23
11/18/2013,60,PM2.5,Gary-IITRI/ 1219.5 meters east of Tennessee St.- old ammuntion bunker,18-089-0022,AQS,0,25,47,30,60,30
11/19/2013,53,PM2.5,Gary-IITRI/ 1219.5 meters east of Tennessee St.- old ammuntion bunker,18-089-0022,AQS,.,28,14,31,53,49
11/20/2013,56,PM2.5,COM ED TRAINING CENTER,17-197-1011,AQS,1,22,7,40,56,32
11/21/2013,72,PM2.5,COM ED TRAINING CENTER,17-197-1011,AQS,0,17,6,51,72,34
11/22/2013,64,PM2.5,COM ED MAINTENANCE BLDG,17-031-0076,AQS,1,29,13,32,64,40
11/23/2013,69,PM10,Gary-IITRI/ 1219.5 meters east of Tennessee St.- old ammuntion bunker,18-089-0022,AQS,1,30,29,69,66,25
