"Date","Overall AQI Value","Main Pollutant","Site Name (of Overall AQI)","Site ID (of Overall AQI)","Source (of Overall AQI)","CO","Ozone","SO2","PM10","PM25","NO2"
"01/01/2019","37","PM2.5","VILLAGE GARAGE","17-031-0001","AQS","6","32","1","16","37","31"
"01/02/2019","52","PM2.5","Hammond- 167th St","18-089-0036","AQS","6","22","14","31","52","31"
"01/03/2019","50","PM2.5","IEPA TRAILER","17-031-3103","AQS","3","19","1","35","50","22"
"01/04/2019","52","PM2.5","PERSHING SCHOOL","17-197-1002","AQS","6","22","4","41","52","34"
"01/05/2019","56","PM2.5","COM ED MAINTENANCE BLDG","17-031-0076","AQS","7","23","17","31","56","29"
"01/06/2019","44","SO2","ArcelorMittal-Burns Harbor Site 1","18-127-0028","AQS","6","33","44","16","38","20"
"01/07/2019","54","PM2.5","CITY HALL","17-043-4002","AQS","3","28","52","17","54","17"
"01/08/2019","52","PM2.5","LIBERTY SCHOOL","17-031-6005","AQS","5","30","44","30","52","23"
"01/09/2019","60","PM10","Gary-IITRI/ 1219.5 meters east of Tennessee St.- old ammuntion bunker","18-089-0022","AQS","5","27","21","60","51","20"
"01/10/2019","45","PM2.5","Gary-IITRI/ 1219.5 meters east of Tennessee St.- old ammuntion bunker","18-089-0022","AQS","7","28","9","43","45","42"
"01/11/2019","65","PM2.5","NORTHBROOK WATER PLANT","17-031-4201","AQS","6","30","3","41","65","43"
"01/12/2019","67","PM2.5","WASHINGTON HS","17-031-0022","AQS","7","30","43","31","67","25"
"01/13/2019","39","PM2.5","Ogden Dunes- Water Treatment Plant","18-127-0024","AQS","3","37","19","13","39","35"
"01/14/2019","55","PM2.5","Hammond- 167th St","18-089-0036","AQS","6","36","10","32","55","39"
"01/15/2019","53","PM2.5","GRAVES ES","17-031-3301","AQS","3","30","4","25","53","25"
"01/16/2019","43","PM2.5","PERSHING SCHOOL","17-197-1002","AQS","5","35","33","17","43","21"
"01/17/2019","62","PM2.5","CITY HALL","17-043-4002","AQS","7","30","29","30","62","31"
"01/18/2019","59","PM2.5","COM ED TRAINING CENTER","17-197-1011","AQS","6","36","9","21","59","21"
"01/19/2019","36","Ozone","CARY GROVE HS","17-111-0001","AirNow","10","36","3","18","34","23"
"01/20/2019","36","Ozone","CARY GROVE HS","17-111-0001","AirNow","10","36","29","28","30","34"
"01/21/2019","64","PM2.5","MAYFAIR PUMP STATION","17-031-0052","AQS","5","37","16","28","64","42"
"01/22/2019","74","SO2","ArcelorMittal-Burns Harbor Site 1","18-127-0028","AQS","3","30","74","23","47","29"
"01/23/2019","54","PM2.5","Hammond- 167th St","18-089-0036","AQS","7","24","4","18","54","33"
"01/24/2019","71","PM2.5","WASHINGTON HS","17-031-0022","AQS","6","30","30","37","71","43"
"01/25/2019","40","NO2","IEPA TRAILER","17-031-3103","AQS","5","32","33","33","38","40"
"01/26/2019","65","PM2.5","GRAVES ES","17-031-3301","AQS","7","26","11","31","65","54"
"01/27/2019","68","PM2.5","Gary-IITRI/ 1219.5 meters east of Tennessee St.- old ammuntion bunker","18-089-0022","AQS","7","31","23","30","68","38"
"01/28/2019","55","PM2.5","COM ED TRAINING CENTER","17-197-1011","AQS","6","31","24","26","55","38"
"01/29/2019","34","SO2","NIPSCO Dunes Acres","18-127-0011","AQS","3","33","34","21","30","29"
"01/30/2019","38","PM2.5","IEPA TRAILER","17-031-3103","AQS","3","29","24","20","38","20"
"01/31/2019","42","NO2","IEPA TRAILER","17-031-3103","AQS","5","30","13","30","40","42"
"02/01/2019","69","NO2","COOK COUNTY TRAILER","17-031-4002","AQS","14","29","13","31","68","69"
"02/02/2019","87","PM2.5","REGIONAL OFFICE BUILDING","17-031-4007","AQS","6","31","7","34","87","47"
"02/03/2019","60","PM2.5","REGIONAL OFFICE BUILDING","17-031-4007","AQS","3","26","6","19","60","36"
"02/04/2019","53","PM2.5","LIBERTY SCHOOL","17-031-6005","AQS","6","24","23","15","53","25"
"02/05/2019","52","PM2.5","MAYFAIR PUMP STATION","17-031-0052","AQS","6","30","7","18","52","22"
"02/06/2019","52","PM2.5","PERSHING SCHOOL","17-197-1002","AQS","8","26","1","16","52","25"
"02/07/2019","42","PM2.5","Hammond- 167th St","18-089-0036","AQS","8","34","14","20","42","25"
"02/08/2019","54","PM10","WASHINGTON HS","17-031-0022","AQS","5","36","20","54","25","19"
"02/09/2019","69","SO2","ArcelorMittal-Burns Harbor Site 1","18-127-0028","AQS","6","33","69","23","48","34"
"02/10/2019","60","PM2.5","CITY HALL","17-043-4002","AQS","5","23","26","26","60","27"
"02/11/2019","77","PM2.5","Hammond- 167th St","18-089-0036","AQS","5","27","19","24","77","26"
"02/12/2019","40","Ozone","COM ED TRAINING CENTER","17-197-1011","AirNow","9","40","26","18","37","33"
"02/13/2019","50","PM2.5","Hammond- 167th St","18-089-0036","AirNow","5","40","31","34","50","38"
"02/14/2019","43","PM2.5","LIBERTY SCHOOL","17-031-6005","AQS","5","35","11","20","43","39"
"02/15/2019","53","PM2.5","Hammond- 167th St","18-089-0036","AQS","7","36","29","35","53","27"
"02/16/2019","40","PM2.5","PERSHING SCHOOL","17-197-1002","AQS","6","40","6","22","40","33"
"02/17/2019","49","PM2.5","COM ED TRAINING CENTER","17-197-1011","AQS","5","39","3","19","49","24"
"02/18/2019","45","PM2.5","PERSHING SCHOOL","17-197-1002","AQS","5","42","1","18","45","45"
"02/19/2019","76","NO2","IEPA TRAILER","17-031-3103","AQS","14","38","17","37","59","76"
