"Date","Overall AQI Value","Main Pollutant","Site Name (of Overall AQI)","Site ID (of Overall AQI)","Source (of Overall AQI)","CO","Ozone","SO2","PM10","PM25","NO2"
"01/01/2012","55","PM2.5","COM ED MAINTENANCE BLDG","17-031-0076","AQS","8","29","30","26","55","19"
"01/02/2012","94","PM10","Gary-IITRI/ 1219.5 meters east of Tennessee St.- old ammuntion bunker","18-089-0022","AQS","9","30","50","94","85","25"
"01/03/2012","49","PM2.5","Gary-IITRI/ 1219.5 meters east of Tennessee St.- old ammuntion bunker","18-089-0022","AQS","8","27","29","28","49","37"
"01/04/2012","97","SO2","COOK COUNTY TRAILER","17-031-1601","AQS","8","17","97","35","68","38"
"01/05/2012","58","PM2.5","WASHINGTON HS","17-031-0022","AQS","7","19","30","30","58","37"
"01/06/2012","64","SO2","Gary-IITRI/ 1219.5 meters east of Tennessee St.- old ammuntion bunker","18-089-0022","AQS","9","23","64","39","58","47"
"01/07/2012","59","PM2.5","Gary-IITRI/ 1219.5 meters east of Tennessee St.- old ammuntion bunker","18-089-0022","AQS","10","24","37","42","59","53"
"01/08/2012","70","PM2.5","WASHINGTON HS","17-031-0022","AQS","14","23","13","20","70","48"
"01/09/2012","102","SO2","COOK COUNTY TRAILER","17-031-1601","AQS","11","27","102","42","65","42"
"01/10/2012","72","NO2","CTA BUILDING","17-031-0063","AQS","13","20","29","40","62","72"
"01/11/2012","85","PM2.5","Ogden Dunes- Water Treatment Plant","18-127-0024","AQS","20","19","30","65","85","61"
"01/12/2012","82","SO2","COOK COUNTY TRAILER","17-031-1601","AQS","16","23","82","19","74","52"
"01/13/2012","54","SO2","COOK COUNTY TRAILER","17-031-1601","AQS","7","28","54","24","49","37"
"01/14/2012","57","PM2.5","CARY GROVE HS","17-111-0001","AQS","9","27","34","23","57","44"
"01/15/2012","67","PM2.5","Ogden Dunes- Water Treatment Plant","18-127-0024","AQS","9","26","17","23","67","42"
"01/16/2012","61","PM2.5","SPRINGFIELD PUMP STATION","17-031-0057","AQS","15","24","19","29","61","53"
"01/17/2012","92","PM2.5","Gary-IITRI/ 1219.5 meters east of Tennessee St.- old ammuntion bunker","18-089-0022","AQS","15","27","59","52","92","52"
"01/18/2012","48","PM2.5","Ogden Dunes- Water Treatment Plant","18-127-0024","AQS","8","24","37","24","48","42"
"01/19/2012","54","PM2.5","Gary-IITRI/ 1219.5 meters east of Tennessee St.- old ammuntion bunker","18-089-0022","AQS","10","29","24","38","54","37"
"01/20/2012","58","PM2.5","Ogden Dunes- Water Treatment Plant","18-127-0024","AQS","11","30","26","24","58","50"
"01/21/2012","56","PM2.5","Ogden Dunes- Water Treatment Plant","18-127-0024","AQS","14","31","37","16","56","44"
"01/22/2012","68","PM2.5","Hammond- Purdue/ Powers Bldg. Purdue University","18-089-2004","AQS","9","23","17","22","68","25"
"01/23/2012","62","PM2.5","Ogden Dunes- Water Treatment Plant","18-127-0024","AQS","9","24","44","20","62","27"
"01/24/2012","70","PM2.5","Ogden Dunes- Water Treatment Plant","18-127-0024","AQS","14","25","57","31","70","51"
"01/25/2012","92","PM2.5","Gary- Burr St./ pumping station near truck stop","18-089-0026","AQS","20","16","23","20","92","78"
"01/26/2012","99","PM2.5","Hammond- Purdue/ Powers Bldg. Purdue University","18-089-2004","AQS","15","20","19","17","99","40"
"01/27/2012","70","PM2.5","Gary-IITRI/ 1219.5 meters east of Tennessee St.- old ammuntion bunker","18-089-0022","AQS","13","31","31","28","70","45"
"01/28/2012","45","PM2.5","Ogden Dunes- Water Treatment Plant","18-127-0024","AQS","8","33","41","12","45","29"
"01/29/2012","60","SO2","COOK COUNTY TRAILER","17-031-1601","AQS","8","33","60","18","46","38"
"01/30/2012","55","PM2.5","Ogden Dunes- Water Treatment Plant","18-127-0024","AQS","8","30","11","14","55","47"
"01/31/2012","65","PM2.5","Ogden Dunes- Water Treatment Plant","18-127-0024","AQS","7","34","20","19","65","39"
"02/01/2012","75","PM2.5","Ogden Dunes- Water Treatment Plant","18-127-0024","AQS","11","19","65","15","75","40"
"02/02/2012","92","PM2.5","Ogden Dunes- Water Treatment Plant","18-127-0024","AQS","14","15","55","21","92","37"
"02/03/2012","137","PM2.5","SPRINGFIELD PUMP STATION","17-031-0057","AQS","11","29","40","44","137","38"
"02/04/2012","83","PM2.5","Ogden Dunes- Water Treatment Plant","18-127-0024","AQS","8","32","16","13","83","43"
"02/05/2012","63","PM2.5","COM ED MAINTENANCE BLDG","17-031-0076","AQS","16","34","6","17","63","52"
"02/06/2012","71","PM2.5","WASHINGTON HS","17-031-0022","AQS","13","23","43","10","71","43"
"02/07/2012","59","PM2.5","Gary-IITRI/ 1219.5 meters east of Tennessee St.- old ammuntion bunker","18-089-0022","AQS","13","34","37","17","59","38"
"02/08/2012","119","SO2","COOK COUNTY TRAILER","17-031-1601","AQS","13","31","119","17","40","36"
"02/09/2012","91","SO2","COOK COUNTY TRAILER","17-031-1601","AQS","11","29","91","26","65","36"
"02/10/2012","53","PM2.5","NORTHBROOK WATER PLANT","17-031-4201","AQS","7","31","24","25","53","31"
"02/11/2012","87","PM2.5","Gary-IITRI/ 1219.5 meters east of Tennessee St.- old ammuntion bunker","18-089-0022","AQS","8","32","81","70","87","36"
"02/12/2012","108","SO2","COOK COUNTY TRAILER","17-031-1601","AQS","8","33","108","19","32","31"
"02/13/2012","79","SO2","COOK COUNTY TRAILER","17-031-1601","AQS","10","27","79","26","43","45"
"02/14/2012","58","PM2.5","Ogden Dunes- Water Treatment Plant","18-127-0024","AQS","9","25","11","19","58","39"
"02/15/2012","66","PM2.5","SPRINGFIELD PUMP STATION","17-031-0057","AQS","10","21","7","19","66","31"
"02/16/2012","69","PM2.5","Ogden Dunes- Water Treatment Plant","18-127-0024","AQS","11","32","24","24","69","47"
"02/17/2012","52","PM2.5","Ogden Dunes- Water Treatment Plant","18-127-0024","AQS","11","34","21","28","52","45"
"02/18/2012","52","NO2","IEPA TRAILER","17-031-3103","AQS","11","38","11","44","51","52"
"02/19/2012","57","NO2","IEPA TRAILER","17-031-3103","AQS","14","40","21","14","42","57"
"02/20/2012","72","NO2","IEPA TRAILER","17-031-3103","AQS","16","35","11","16","54","72"
"02/21/2012","52","PM2.5","Ogden Dunes- Water Treatment Plant","18-127-0024","AQS","10","26","26","14","52","38"
"02/22/2012","52","PM2.5","SPRINGFIELD PUMP STATION","17-031-0057","AQS","13","30","33","14","52","42"
"02/23/2012","77","PM2.5","Ogden Dunes- Water Treatment Plant","18-127-0024","AQS","18","34","23","18","77","54"
"02/24/2012","61","PM2.5","Gary-IITRI/ 1219.5 meters east of Tennessee St.- old ammuntion bunker","18-089-0022","AQS","10","33","41","23","61","38"
"02/25/2012","49","PM2.5","Gary-IITRI/ 1219.5 meters east of Tennessee St.- old ammuntion bunker","18-089-0022","AQS","10","33","31","14","49","48"
"02/26/2012","52","PM2.5","NORTHBROOK WATER PLANT","17-031-4201","AQS","10","34","33","17","52","52"
"02/27/2012","106","SO2","COOK COUNTY TRAILER","17-031-1601","AQS","10","31","106","33","54","40"
"02/28/2012","74","PM2.5","Ogden Dunes- Water Treatment Plant","18-127-0024","AQS","13","28","14","26","74","54"
"02/29/2012","67","SO2","COOK COUNTY TRAILER","17-031-1601","AQS","9","38","67","47","58","42"
"03/01/2012","104","SO2","COOK COUNTY TRAILER","17-031-1601","AQS","10","31","104","24","55","43"
"03/02/2012","70","PM2.5","Ogden Dunes- Water Treatment Plant","18-127-0024","AQS","10","33","55","14","70","39"
"03/03/2012","74","SO2","COOK COUNTY TRAILER","17-031-1601","AQS","8","34","74","18","51","23"
"03/04/2012","53","PM2.5","Ogden Dunes- Water Treatment Plant","18-127-0024","AQS","7","34","24","21","53","38"
"03/05/2012","56","PM2.5","4TH DISTRICT COURT","17-031-6006","AQS","7","36","26","20","56","43"
"03/06/2012","58","PM2.5","Ogden Dunes- Water Treatment Plant","18-127-0024","AQS","7","48","10","58","58","29"
"03/07/2012","62","PM2.5","Ogden Dunes- Water Treatment Plant","18-127-0024","AQS","6","42","9","46","62","22"
"03/08/2012","115","SO2","COOK COUNTY TRAILER","17-031-1601","AQS","6","37","115","27","62","47"
"03/09/2012","66","SO2","COOK COUNTY TRAILER","17-031-1601","AQS","7","38","66","48","58","42"
"03/10/2012","47","PM2.5","Ogden Dunes- Water Treatment Plant","18-127-0024","AQS","7","38","16","20","47","41"
"03/11/2012","58","PM2.5","Ogden Dunes- Water Treatment Plant","18-127-0024","AQS","8","44","17","15","58","27"
"03/12/2012","122","SO2","COOK COUNTY TRAILER","17-031-1601","AQS","7","35","122","23","68","33"
"03/13/2012","159","SO2","COOK COUNTY TRAILER","17-031-1601","AQS","14","44","159","44","62","62"
"03/14/2012","74","PM2.5","Ogden Dunes- Water Treatment Plant","18-127-0024","AQS","14","40","14","39","74","52"
"03/15/2012","64","PM2.5","WASHINGTON HS","17-031-0022","AQS","19","44","24","51","64","44"
"03/16/2012","72","PM2.5","Ogden Dunes- Water Treatment Plant","18-127-0024","AQS","19","45","11","53","72","55"
"03/17/2012","77","PM2.5","Ogden Dunes- Water Treatment Plant","18-127-0024","AQS","10","47","14","19","77","27"
"03/18/2012","77","PM2.5","Ogden Dunes- Water Treatment Plant","18-127-0024","AQS","9","44","9","16","77","23"
"03/19/2012","75","PM2.5","Ogden Dunes- Water Treatment Plant","18-127-0024","AQS","9","33","11","27","75","30"
"03/20/2012","80","PM2.5","Ogden Dunes- Water Treatment Plant","18-127-0024","AQS","9","45","9","45","80","42"
"03/21/2012","92","PM2.5","Ogden Dunes- Water Treatment Plant","18-127-0024","AQS","11","77","10","46","92","65"
"03/22/2012","85","PM2.5","Ogden Dunes- Water Treatment Plant","18-127-0024","AQS","13","47","16","57","85","61"
