"Date","Overall AQI Value","Main Pollutant","Site Name (of Overall AQI)","Site ID (of Overall AQI)","Source (of Overall AQI)","CO","Ozone","SO2","PM10","PM25","NO2"
"01/01/2010","63","PM2.5","Gary-IITRI/ 1219.5 meters east of Tennessee St.- old ammuntion bunker","18-089-0022","AQS","5","28","39","33","63","38"
"01/02/2010","77","PM2.5","PERSHING SCHOOL","17-197-1002","AQS","7","31","29","43","77","42"
"01/03/2010","86","PM2.5","Gary-IITRI/ 1219.5 meters east of Tennessee St.- old ammuntion bunker","18-089-0022","AQS","7","31","55","53","86","42"
"01/04/2010","85","PM2.5","Gary-IITRI/ 1219.5 meters east of Tennessee St.- old ammuntion bunker","18-089-0022","AQS","7","32","69","51","85","53"
"01/05/2010","66","PM2.5","IEPA TRAILER","17-031-3103","AQS","8","31","43","19","66","56"
"01/06/2010","84","NO2","CTA BUILDING","17-031-0063","AQS","9","29","47","26","81","84"
"01/07/2010","89","PM2.5","WASHINGTON HS","17-031-0022","AQS","13","31","75","27","89","67"
"01/08/2010","61","PM2.5","Gary-IITRI/ 1219.5 meters east of Tennessee St.- old ammuntion bunker","18-089-0022","AQS","8","35","44","31","61","57"
"01/09/2010","72","PM2.5","Gary-IITRI/ 1219.5 meters east of Tennessee St.- old ammuntion bunker","18-089-0022","AQS","9","31","49","35","72","49"
"01/10/2010","75","PM2.5","WASHINGTON HS","17-031-0022","AQS","9","31","55","23","75","44"
"01/11/2010","75","PM2.5","Gary-IITRI/ 1219.5 meters east of Tennessee St.- old ammuntion bunker","18-089-0022","AQS","9","29","56","40","75","66"
"01/12/2010","56","NO2","CTA BUILDING","17-031-0063","AQS","9","29","41","17","53","56"
"01/13/2010","76","PM2.5","MAYFAIR PUMP STATION","17-031-0052","AQS","8","30","19","29","76","53"
"01/14/2010","80","PM2.5","IEPA TRAILER","17-031-3103","AQS","8","26","43","28","80","55"
"01/15/2010","97","PM2.5","SPRINGFIELD PUMP STATION","17-031-0057","AQS","10","24","20","26","97","58"
"01/16/2010","94","PM2.5","MAYFAIR PUMP STATION","17-031-0052","AQS","9","21","40","30","94","34"
"01/17/2010","99","PM2.5","Gary-IITRI/ 1219.5 meters east of Tennessee St.- old ammuntion bunker","18-089-0022","AQS","10","20","84","35","99","45"
"01/18/2010","79","PM2.5","MAYFAIR PUMP STATION","17-031-0052","AQS","8","24","36","22","79","52"
"01/19/2010","74","PM2.5","COM ED MAINTENANCE BLDG","17-031-0076","AQS","11","31","39","23","74","58"
"01/20/2010","65","PM2.5","Gary- Burr St./ pumping station near truck stop","18-089-0026","AQS","11","28","14","22","65","45"
"01/21/2010","54","PM2.5","COM ED MAINTENANCE BLDG","17-031-0076","AQS","9","23","31","13","54","30"
"01/22/2010","80","PM2.5","COM ED MAINTENANCE BLDG","17-031-0076","AQS","9","20","17","20","80","33"
"01/23/2010","88","PM2.5","COM ED MAINTENANCE BLDG","17-031-0076","AQS","10","19","17","21","88","31"
"01/24/2010","52","PM2.5","COM ED MAINTENANCE BLDG","17-031-0076","AQS","7","22","47","9","52","25"
"01/25/2010","48","PM2.5","COM ED MAINTENANCE BLDG","17-031-0076","AQS","9","29","31","14","48","35"
"01/26/2010","55","PM2.5","WASHINGTON HS","17-031-0022","AQS","7","32","40","33","55","38"
"01/27/2010","52","PM2.5","WASHINGTON HS","17-031-0022","AQS","8","33","33","36","52","52"
"01/28/2010","56","NO2","CTA BUILDING","17-031-0063","AQS","7","33","34","41","54","56"
"01/29/2010","99","SO2","Gary-IITRI/ 1219.5 meters east of Tennessee St.- old ammuntion bunker","18-089-0022","AQS","13","34","99","31","62","54"
"01/30/2010","58","PM2.5","CITY HALL","17-043-4002","AQS","10","34","24","23","58","43"
"01/31/2010","84","PM2.5","MAYFAIR PUMP STATION","17-031-0052","AQS","11","33","69","37","84","45"
"02/01/2010","116","PM2.5","WASHINGTON HS","17-031-0022","AQS","14","25","24","64","116","69"
"02/02/2010","131","PM2.5","MAYFAIR PUMP STATION","17-031-0052","AQS","14","28","33","38","131","57"
"02/03/2010","123","PM2.5","COM ED MAINTENANCE BLDG","17-031-0076","AQS","11","31","50","39","123","49"
"02/04/2010","132","PM2.5","MAYFAIR PUMP STATION","17-031-0052","AQS","13","23","16","44","132","44"
"02/05/2010","93","PM2.5","SPRINGFIELD PUMP STATION","17-031-0057","AQS","9","39","66","25","93","37"
"02/06/2010","39","Ozone","NORTHBROOK WATER PLANT","17-031-4201","AQS","23","39","17","13","31","22"
"02/07/2010","44","SO2","NIPSCO Wheatfield","18-073-0002","AQS","9","38","44","18","43","42"
"02/08/2010","68","PM2.5","MAYFAIR PUMP STATION","17-031-0052","AQS","10","36","26","23","68","42"
"02/09/2010","52","PM2.5","CITY HALL","17-043-4002","AQS","10","35","19","15","52","44"
"02/10/2010","63","PM2.5","Gary-IITRI/ 1219.5 meters east of Tennessee St.- old ammuntion bunker","18-089-0022","AQS","7","41","50","41","63","51"
"02/11/2010","78","NO2","COOK COUNTY TRAILER","17-031-4002","AQS","11","40","60","31","72","78"
"02/12/2010","87","PM2.5","Ogden Dunes- Water Treatment Plant","18-127-0024","AQS","13","40","54","43","87","62"
"02/13/2010","89","SO2","COOK COUNTY TRAILER","17-031-1601","AQS","13","44","89","37","81","60"
"02/14/2010","107","SO2","COOK COUNTY TRAILER","17-031-1601","AQS","8","44","107","27","90","55"
"02/15/2010","80","PM2.5","Gary-IITRI/ 1219.5 meters east of Tennessee St.- old ammuntion bunker","18-089-0022","AQS","11","38","51","32","80","61"
"02/16/2010","86","SO2","Gary-IITRI/ 1219.5 meters east of Tennessee St.- old ammuntion bunker","18-089-0022","AQS","8","43","86","55","84","42"
"02/17/2010","70","SO2","COOK COUNTY TRAILER","17-031-1601","AQS","8","38","70","31","52","43"
"02/18/2010","68","PM2.5","Gary-IITRI/ 1219.5 meters east of Tennessee St.- old ammuntion bunker","18-089-0022","AQS","9","41","57","20","68","54"
