"Date","Overall AQI Value","Main Pollutant","Site Name (of Overall AQI)","Site ID (of Overall AQI)","Source (of Overall AQI)","CO","Ozone","SO2","PM10","PM25","NO2"
"01/01/2007","57","PM2.5","Gary-IITRI/ 1219.5 meters east of Tennessee St.- old ammuntion bunker","18-089-0022","AQS","7","26","44","28","57","42"
"01/02/2007","65","NO2","CTA BUILDING","17-031-0063","AQS","14","19","34","19","53","65"
"01/03/2007","61","NO2","CTA BUILDING","17-031-0063","AQS","9","23","40","22","56","61"
"01/04/2007","47","NO2","CTA BUILDING","17-031-0063","AQS","8","20","26","15","42","47"
"01/05/2007","62","PM2.5","MAYFAIR PUMP STATION","17-031-0052","AQS","13","15","21","23","62","54"
"01/06/2007","77","PM2.5","SPRINGFIELD PUMP STATION","17-031-0057","AQS","16","21","44","29","77","41"
"01/07/2007","64","PM2.5","MAYFAIR PUMP STATION","17-031-0052","AQS","16","25","33","13","64","36"
"01/08/2007","110","SO2","COOK COUNTY TRAILER","17-031-1601","AQS","10","25","110","18","25","63"
"01/09/2007","90","PM10","Gary-IITRI/ 1219.5 meters east of Tennessee St.- old ammuntion bunker","18-089-0022","AQS","7","29","57","90","86","51"
"01/10/2007","87","SO2","WATER PLANT WEST","17-197-0013","AQS","11","20","87","31","42","60"
"01/11/2007","47","NO2","CTA BUILDING","17-031-0063","AQS","7","19","39","31","41","47"
"01/12/2007","58","PM2.5","CITY HALL","17-043-4002","AQS","10","25","20","26","58","52"
"01/13/2007","28","Ozone","WATER PLANT","17-031-7002","AQS","5","28","11","9","24","25"
"01/14/2007","33","PM2.5","VILLAGE GARAGE","17-031-0001","AQS","5","27","13","7","33","27"
"01/15/2007","63","PM2.5","Gary-IITRI/ 1219.5 meters east of Tennessee St.- old ammuntion bunker","18-089-0022","AQS","7","25","31","26","63","54"
"01/16/2007","74","PM2.5","Gary-IITRI/ 1219.5 meters east of Tennessee St.- old ammuntion bunker","18-089-0022","AQS","8","28","40","42","74","65"
"01/17/2007","82","PM2.5","MAYFAIR PUMP STATION","17-031-0052","AQS","10","22","49","25","82","56"
"01/18/2007","73","PM2.5","MAYFAIR PUMP STATION","17-031-0052","AQS","8","27","67","31","73","55"
"01/19/2007","101","SO2","COOK COUNTY TRAILER","17-031-1601","AQS","6","27","101","28","57","55"
"01/20/2007","60","PM2.5","MAYFAIR PUMP STATION","17-031-0052","AQS","11","24","56","20","60","49"
"01/21/2007","78","PM2.5","MAYFAIR PUMP STATION","17-031-0052","AQS","11","18","16","27","78","40"
"01/22/2007","76","PM2.5","MAYFAIR PUMP STATION","17-031-0052","AQS","11","27","71","19","76","68"
"01/23/2007","78","PM2.5","MAYFAIR PUMP STATION","17-031-0052","AQS","10","24","33","30","78","74"
"01/24/2007","82","PM2.5","Gary-IITRI/ 1219.5 meters east of Tennessee St.- old ammuntion bunker","18-089-0022","AQS","8","25","21","39","82","57"
"01/25/2007","67","NO2","CTA BUILDING","17-031-0063","AQS","9","29","46","44","62","67"
"01/26/2007","73","PM2.5","MAYFAIR PUMP STATION","17-031-0052","AQS","9","31","47","31","73","55"
"01/27/2007","91","SO2","COOK COUNTY TRAILER","17-031-1601","AQS","8","30","91","16","76","40"
"01/28/2007","90","SO2","COOK COUNTY TRAILER","17-031-1601","AQS","6","31","90","52","48","37"
"01/29/2007","79","NO2","CTA BUILDING","17-031-0063","AQS","9","29","43","31","62","79"
"01/30/2007","73","PM2.5","MAYFAIR PUMP STATION","17-031-0052","AQS","8","23","51","44","73","41"
"01/31/2007","100","SO2","COOK COUNTY TRAILER","17-031-1601","AQS","10","24","100","35","74","52"
"02/01/2007","73","PM2.5","WASHINGTON HS","17-031-0022","AQS","8","24","52","25","73","69"
"02/02/2007","67","PM2.5","MAYFAIR PUMP STATION","17-031-0052","AQS","9","27","44","37","67","62"
"02/03/2007","89","PM10","VILLAGE HALL","17-031-1016","AQS","9","30","49","89","44","34"
"02/04/2007","99","SO2","COOK COUNTY TRAILER","17-031-1601","AQS","7","30","99","26","43","38"
"02/05/2007","101","NO2","CTA BUILDING","17-031-0063","AQS","7","29","50","51","67","101"
"02/06/2007","76","PM2.5","MAYFAIR PUMP STATION","17-031-0052","AQS","15","20","36","29","76","62"
