"Date","Overall AQI Value","Main Pollutant","Site Name (of Overall AQI)","Site ID (of Overall AQI)","Source (of Overall AQI)","CO","Ozone","SO2","PM10","PM25","NO2"
"01/01/2009","78","PM2.5","IEPA TRAILER","17-031-3103","AQS","13","21","24","34","78","42"
"01/02/2009","67","SO2","COOK COUNTY TRAILER","17-031-1601","AQS","18","25","67","32","54","61"
"01/03/2009","67","PM2.5","WASHINGTON HS","17-031-0022","AQS","22","28","19","28","67","42"
"01/04/2009","78","PM2.5","Gary-IITRI/ 1219.5 meters east of Tennessee St.- old ammuntion bunker","18-089-0022","AQS","15","28","62","32","78","32"
"01/05/2009","106","SO2","COOK COUNTY TRAILER","17-031-1601","AQS","17","24","106","27","40","79"
"01/06/2009","70","PM2.5","VILLAGE HALL","17-031-1016","AQS","18","19","20","23","70","46"
"01/07/2009","93","PM2.5","CHIWAUKEE PRAIRIE STATELINE","55-059-0019","AQS","18","19","50","30","93","41"
"01/08/2009","102","SO2","COOK COUNTY TRAILER","17-031-1601","AQS","16","20","102","30","74","80"
"01/09/2009","76","PM2.5","VILLAGE HALL","17-031-1016","AQS","20","19","17","28","76","53"
"01/10/2009","57","PM2.5","Gary- Burr St./ pumping station near truck stop","18-089-0026","AQS","18","27","34","14","57","35"
"01/11/2009","62","PM2.5","CARY GROVE HS","17-111-0001","AQS","16","28","34","15","62","44"
"01/12/2009","92","PM2.5","MAYFAIR PUMP STATION","17-031-0052","AQS","25","24","20","26","92","78"
"01/13/2009","76","PM2.5","Gary-IITRI/ 1219.5 meters east of Tennessee St.- old ammuntion bunker","18-089-0022","AQS","17","31","44","34","76","55"
"01/14/2009","62","SO2","Gary-IITRI/ 1219.5 meters east of Tennessee St.- old ammuntion bunker","18-089-0022","AQS","22","27","62","30","57","56"
"01/15/2009","118","SO2","COOK COUNTY TRAILER","17-031-1601","AQS","15","25","118","19","56","74"
"01/16/2009","107","SO2","COOK COUNTY TRAILER","17-031-1601","AQS","16","27","107","25","86","69"
"01/17/2009","80","SO2","COOK COUNTY TRAILER","17-031-1601","AQS","9","22","80","21","54","36"
"01/18/2009","71","PM2.5","Ogden Dunes- Water Treatment Plant","18-127-0024","AQS","6","27","56","27","71","41"
"01/19/2009","107","NO2","NORTHBROOK WATER PLANT","17-031-4201","AQS","15","28","20","43","96","107"
"01/20/2009","96","SO2","COOK COUNTY TRAILER","17-031-1601","AQS","16","27","96","21","56","68"
