"Date","Overall AQI Value","Main Pollutant","Site Name (of Overall AQI)","Site ID (of Overall AQI)","Source (of Overall AQI)","CO","Ozone","SO2","PM10","PM25","NO2"
"01/01/2006","69","PM2.5","MAYFAIR PUMP STATION","17-031-0052","AQS","11","12","27","19","69","27"
"01/02/2006","69","PM2.5","READY ELDON ELEMENTARY ON THE ROOF","18-089-0027","AQS","16","10","24","17","69","23"
"01/03/2006","66","PM2.5","MAYFAIR PUMP STATION","17-031-0052","AQS","15","9","29","21","66","42"
"01/04/2006","87","SO2","Gary-IITRI/ 1219.5 meters east of Tennessee St.- old ammuntion bunker","18-089-0022","AQS","10","16","87","22","63","33"
"01/05/2006","88","PM2.5","KANE COUNTY HEALTH DEPT","17-089-0007","AQS","9","29","76","28","88","48"
"01/06/2006","48","NO2","CTA BUILDING","17-031-0063","AQS","8","28","29","27","43","48"
"01/07/2006","67","SO2","COOK COUNTY TRAILER","17-031-1601","AQS","9","19","67","29","57","39"
"01/08/2006","70","PM2.5","VILLAGE HALL","17-031-1016","AQS","11","19","24","22","70","37"
"01/09/2006","69","NO2","CTA BUILDING","17-031-0063","AQS","11","20","36","32","63","69"
"01/10/2006","57","PM2.5","Gary-IITRI/ 1219.5 meters east of Tennessee St.- old ammuntion bunker","18-089-0022","AQS","16","11","21","45","57","53"
"01/11/2006","68","PM2.5","LIBERTY SCHOOL","17-031-6005","AQS","13","12","60","30","68","34"
"01/12/2006","103","SO2","COOK COUNTY TRAILER","17-031-4002","AQS","10","24","103","38","60","56"
"01/13/2006","63","PM2.5","MAYFAIR PUMP STATION","17-031-0052","AQS","9","27","36","22","63","35"
"01/14/2006","42","NO2","COM ED MAINTENANCE BLDG","17-031-0076","AQS","15","28","23","19","36","42"
"01/15/2006","49","PM2.5","MAYFAIR PUMP STATION","17-031-0052","AQS","16","18","26","14","49","43"
"01/16/2006","62","PM2.5","MAYFAIR PUMP STATION","17-031-0052","AQS","17","15","37","30","62","38"
