"Date","Overall AQI Value","Main Pollutant","Site Name (of Overall AQI)","Site ID (of Overall AQI)","Source (of Overall AQI)","CO","Ozone","SO2","PM10","PM25","NO2"
"01/01/2008","93","PM2.5","Gary-IITRI/ 1219.5 meters east of Tennessee St.- old ammuntion bunker","18-089-0022","AQS","5","24","57","33","93","39"
"01/02/2008","56","NO2","CTA BUILDING","17-031-0063","AQS","10","27","44","21","54","56"
"01/03/2008","76","SO2","WATER PLANT WEST","17-197-0013","AQS","10","21","76","30","70","66"
"01/04/2008","70","SO2","WATER PLANT WEST","17-197-0013","AQS","7","19","70","28","68","57"
"01/05/2008","89","PM2.5","LIBERTY SCHOOL","17-031-6005","AQS","6","20","21","19","89","33"
"01/06/2008","72","SO2","WATER PLANT WEST","17-197-0013","AQS","6","21","72","15","59","25"
"01/07/2008","59","PM2.5","SPRINGFIELD PUMP STATION","17-031-0057","AQS","5","30","27","22","59","51"
"01/08/2008","51","SO2","Gary-IITRI/ 1219.5 meters east of Tennessee St.- old ammuntion bunker","18-089-0022","AQS","7","28","51","17","38","42"
"01/09/2008","104","SO2","NIPSCO Dunes Acres","18-127-0011","AQS","10","19","104","30","63","58"
"01/10/2008","73","PM2.5","Gary- Burr St./ pumping station near truck stop","18-089-0026","AQS","10","17","31","21","73","39"
"01/11/2008","69","PM2.5","IEPA TRAILER","17-031-3103","AQS","8","19","56","19","69","54"
"01/12/2008","77","PM2.5","MAYFAIR PUMP STATION","17-031-0052","AQS","9","17","29","22","77","41"
"01/13/2008","92","PM2.5","CITY HALL","17-043-4002","AQS","7","20","90","26","92","32"
"01/14/2008","81","NO2","CTA BUILDING","17-031-0063","AQS","7","23","31","26","70","81"
"01/15/2008","76","SO2","COOK COUNTY TRAILER","17-031-1601","AQS","11","19","76","34","55","65"
"01/16/2008","64","NO2","IEPA TRAILER","17-031-3103","AQS","8","14","36","30","63","64"
"01/17/2008","58","NO2","IEPA TRAILER","17-031-3103","AQS","7","19","44","15","54","58"
"01/18/2008","76","NO2","CTA BUILDING","17-031-0063","AQS","8","20","36","31","51","76"
"01/19/2008","52","PM2.5","Ogden Dunes- Water Treatment Plant","18-127-0024","AQS","7","29","44","31","52","28"
"01/20/2008","90","SO2","Gary-IITRI/ 1219.5 meters east of Tennessee St.- old ammuntion bunker","18-089-0022","AQS","8","28","90","20","39","38"
"01/21/2008","66","NO2","CTA BUILDING","17-031-0063","AQS","8","22","39","31","46","66"
"01/22/2008","78","NO2","CTA BUILDING","17-031-0063","AQS","10","27","65","16","71","78"
"01/23/2008","95","SO2","COOK COUNTY TRAILER","17-031-1601","AQS","10","22","95","24","59","71"
"01/24/2008","104","SO2","COOK COUNTY TRAILER","17-031-1601","AQS","11","28","104","41","66","69"
"01/25/2008","92","PM2.5","IEPA TRAILER","17-031-3103","AQS","11","18","47","52","92","60"
"01/26/2008","75","PM2.5","COM ED MAINTENANCE BLDG","17-031-0076","AQS","9","28","33","20","75","44"
"01/27/2008","93","PM2.5","Ogden Dunes- Water Treatment Plant","18-127-0024","AQS","14","31","62","45","93","70"
"01/28/2008","94","SO2","WATER PLANT WEST","17-197-0013","AQS","14","29","94","18","81","58"
"01/29/2008","64","PM2.5","WASHINGTON HS","17-031-0022","AQS","8","25","46","31","64","25"
"01/30/2008","49","SO2","NIPSCO Dunes Acres","18-127-0011","AQS","9","26","49","27","40","44"
"01/31/2008","74","PM2.5","Gary-IITRI/ 1219.5 meters east of Tennessee St.- old ammuntion bunker","18-089-0022","AQS","14","31","31","27","74","47"
"02/01/2008","65","NO2","CTA BUILDING","17-031-0063","AQS","9","26","29","17","54","65"
"02/02/2008","73","PM2.5","SPRINGFIELD PUMP STATION","17-031-0057","AQS","13","25","44","18","73","43"
"02/03/2008","87","PM2.5","COM ED MAINTENANCE BLDG","17-031-0076","AQS","11","21","37","22","87","36"
"02/04/2008","78","NO2","CTA BUILDING","17-031-0063","AQS","19","18","40","44","74","78"
"02/05/2008","61","NO2","CTA BUILDING","17-031-0063","AQS","16","29","46","14","55","61"
"02/06/2008","55","NO2","CTA BUILDING","17-031-0063","AQS","9","28","34","15","32","55"
"02/07/2008","73","NO2","CTA BUILDING","17-031-0063","AQS","11","24","26","19","58","73"
"02/08/2008","74","NO2","CTA BUILDING","17-031-0063","AQS","10","28","55","20","65","74"
"02/09/2008","85","PM2.5","CHIWAUKEE PRAIRIE STATELINE","55-059-0019","AQS","8","31","59","19","85","40"
"02/10/2008","51","PM10","Gary-IITRI/ 1219.5 meters east of Tennessee St.- old ammuntion bunker","18-089-0022","AQS","5","34","39","51","50","32"
"02/11/2008","65","NO2","CTA BUILDING","17-031-0063","AQS","14","27","44","32","59","65"
"02/12/2008","76","PM2.5","REGIONAL OFFICE BUILDING","17-031-4007","AQS","11","29","24","25","76","68"
"02/13/2008","99","NO2","CTA BUILDING","17-031-0063","AQS","11","29","51","38","77","99"
"02/14/2008","74","PM2.5","SPRINGFIELD PUMP STATION","17-031-0057","AQS","11","27","51","33","74","64"
"02/15/2008","101","SO2","COOK COUNTY TRAILER","17-031-1601","AQS","9","32","101","34","68","78"
"02/16/2008","69","NO2","CTA BUILDING","17-031-0063","AQS","11","31","49","34","68","69"
"02/17/2008","67","PM2.5","COM ED MAINTENANCE BLDG","17-031-0076","AQS","11","33","36","14","67","35"
"02/18/2008","80","SO2","COOK COUNTY TRAILER","17-031-1601","AQS","6","29","80","31","53","46"
"02/19/2008","71","NO2","CTA BUILDING","17-031-0063","AQS","7","29","21","29","42","71"
"02/20/2008","101","NO2","CTA BUILDING","17-031-0063","AQS","8","34","19","39","54","101"
"02/21/2008","78","NO2","CTA BUILDING","17-031-0063","AQS","13","31","34","25","63","78"
"02/22/2008","77","NO2","CTA BUILDING","17-031-0063","AQS","13","26","67","26","68","77"
"02/23/2008","97","PM2.5","LIBERTY SCHOOL","17-031-6005","AQS","10","43","64","42","97","65"
"02/24/2008","106","PM2.5","CITY HALL","17-043-4002","AQS","15","41","50","37","106","66"
"02/25/2008","102","NO2","CTA BUILDING","17-031-0063","AQS","16","27","16","23","77","102"
"02/26/2008","91","NO2","CTA BUILDING","17-031-0063","AQS","15","37","26","25","55","91"
"02/27/2008","88","NO2","CTA BUILDING","17-031-0063","AQS","8","37","43","41","62","88"
"02/28/2008","91","SO2","COOK COUNTY TRAILER","17-031-1601","AQS","13","40","91","28","67","86"
"02/29/2008","70","PM2.5","WASHINGTON HS","17-031-0022","AQS","15","38","69","22","70","58"
"03/01/2008","87","PM2.5","Gary-IITRI/ 1219.5 meters east of Tennessee St.- old ammuntion bunker","18-089-0022","AQS","15","32","74","27","87","50"
"03/02/2008","61","PM2.5","4TH DISTRICT COURT","17-031-6006","AQS","15","38","36","16","61","45"
"03/03/2008","72","NO2","CTA BUILDING","17-031-0063","AQS","14","31","24","19","51","72"
"03/04/2008","70","NO2","CTA BUILDING","17-031-0063","AQS","16","37","62","21","63","70"
"03/05/2008","95","NO2","CTA BUILDING","17-031-0063","AQS","16","31","34","29","55","95"
"03/06/2008","102","NO2","CTA BUILDING","17-031-0063","AQS","10","35","23","31","76","102"
"03/07/2008","95","NO2","CTA BUILDING","17-031-0063","AQS","18","37","31","52","59","95"
"03/08/2008","48","NO2","CTA BUILDING","17-031-0063","AQS","13","35","20","36","36","48"
"03/09/2008","59","PM2.5","SPRINGFIELD PUMP STATION","17-031-0057","AQS","10","32","33","21","59","46"
"03/10/2008","104","NO2","CTA BUILDING","17-031-0063","AQS","11","38","47","22","70","104"
"03/11/2008","87","PM2.5","SPRINGFIELD PUMP STATION","17-031-0057","AQS","9","36","47","46","87","74"
"03/12/2008","96","NO2","CTA BUILDING","17-031-0063","AQS","17","40","29","33","78","96"
"03/13/2008","82","NO2","CTA BUILDING","17-031-0063","AQS","10","40","56","28","59","82"
"03/14/2008","74","NO2","CTA BUILDING","17-031-0063","AQS","15","42","39","54","59","74"
"03/15/2008","41","PM2.5","VILLAGE GARAGE","17-031-0001","AQS","18","34","39","36","41","35"
"03/16/2008","37","Ozone","COOK COUNTY TRAILER","17-031-1601","AQS","15","37","27","26","33","32"
"03/17/2008","63","PM2.5","MAYFAIR PUMP STATION","17-031-0052","AQS","11","30","14","20","63","42"
"03/18/2008","72","PM2.5","4TH DISTRICT COURT","17-031-6006","AQS","14","26","17","22","72","72"
"03/19/2008","104","NO2","CTA BUILDING","17-031-0063","AQS","16","37","47","34","69","104"
"03/20/2008","70","NO2","CTA BUILDING","17-031-0063","AQS","16","40","44","50","49","70"
"03/21/2008","48","PM2.5","VILLAGE GARAGE","17-031-0001","AQS","11","37","16","13","48","32"
"03/22/2008","43","Ozone","JARDINE WATER PLANT","17-031-0072","AQS","13","43","24","8","26","42"
"03/23/2008","55","NO2","CTA BUILDING","17-031-0063","AQS","11","47","27","28","45","55"
"03/24/2008","91","NO2","CTA BUILDING","17-031-0063","AQS","11","40","82","38","45","91"
