"Date","Overall AQI Value","Main Pollutant","Site Name (of Overall AQI)","Site ID (of Overall AQI)","Source (of Overall AQI)","CO","Ozone","SO2","PM10","PM25","NO2"
"01/01/2016","43","PM2.5","East Chicago- Franklin School/ Washington School (Ben. Franklin)","18-089-0006","AQS","2","34","31","15","43","27"
"01/02/2016","34","Ozone","LARSEN JUNIOR HIGH","17-089-0005","AQS","2","34","16","13","30","32"
"01/03/2016","47","PM2.5","Gary-IITRI/ 1219.5 meters east of Tennessee St.- old ammuntion bunker","18-089-0022","AQS","2","33","37","25","47","26"
"01/04/2016","34","Ozone","CAMP LOGAN TRAILER","17-097-1007","AQS","2","34","9","25","22","34"
"01/05/2016","39","PM2.5","Gary-IITRI/ 1219.5 meters east of Tennessee St.- old ammuntion bunker","18-089-0022","AQS","3","23","4","20","39","39"
"01/06/2016","48","PM2.5","NORTHBROOK WATER PLANT","17-031-4201","AQS","3","20","4","31","48","39"
"01/07/2016","61","PM2.5","MAYFAIR PUMP STATION","17-031-0052","AQS","5","21","4","32","61","39"
"01/08/2016","58","PM2.5","SPRINGFIELD PUMP STATION","17-031-0057","AQS","5","20","1","21","58","38"
"01/09/2016","47","PM2.5","VILLAGE GARAGE","17-031-0001","AQS","5","26","1","10","47","23"
"01/10/2016","37","SO2","Gary-IITRI/ 1219.5 meters east of Tennessee St.- old ammuntion bunker","18-089-0022","AQS","2","33","37","17","35","17"
"01/11/2016","40","PM2.5","NORTHBROOK WATER PLANT","17-031-4201","AQS","3","30","11","19","40","37"
"01/12/2016","67","PM2.5","Gary-IITRI/ 1219.5 meters east of Tennessee St.- old ammuntion bunker","18-089-0022","AQS","3","30","39","31","67","28"
"01/13/2016","58","NO2","COM ED MAINTENANCE BLDG","17-031-0076","AQS","3","24","9","20","52","58"
"01/14/2016","57","PM2.5","CHIWAUKEE PRAIRIE STATELINE","55-059-0019","AQS","5","37","4","21","57","42"
"01/15/2016","61","PM2.5","VILLAGE GARAGE","17-031-0001","AQS","3","35","13","19","61","35"
"01/16/2016","57","PM2.5","REGIONAL OFFICE BUILDING","17-031-4007","AQS","2","33","16","10","57","30"
"01/17/2016","42","NO2","IEPA TRAILER","17-031-3103","AQS","2","31","11","20","39","42"
"01/18/2016","51","NO2","IEPA TRAILER","17-031-3103","AQS","2","31","23","17","35","51"
"01/19/2016","63","NO2","IEPA TRAILER","17-031-3103","AQS","3","27","4","22","58","63"
"01/20/2016","61","PM2.5","Gary-IITRI/ 1219.5 meters east of Tennessee St.- old ammuntion bunker","18-089-0022","AQS","5","25","9","20","61","39"
"01/21/2016","77","PM2.5","Gary-IITRI/ 1219.5 meters east of Tennessee St.- old ammuntion bunker","18-089-0022","AQS","6","29","36","40","77","46"
"01/22/2016","65","PM2.5","PERSHING SCHOOL","17-197-1002","AQS","6","29","6","17","65","47"
"01/23/2016","52","PM2.5","VILLAGE GARAGE","17-031-0001","AQS","3","31","3","16","52","38"
"01/24/2016","65","PM2.5","NORTHBROOK WATER PLANT","17-031-4201","AQS","3","29","7","25","65","36"
"01/25/2016","62","PM2.5","Gary- Burr St./ pumping station near truck stop","18-089-0026","AQS","3","27","6","25","62","34"
"01/26/2016","37","PM2.5","Gary-IITRI/ 1219.5 meters east of Tennessee St.- old ammuntion bunker","18-089-0022","AQS","2","32","19","11","37","24"
"01/27/2016","36","NO2","CTA BUILDING","17-031-0063","AQS","2","33","11","24","32","36"
"01/28/2016","39","NO2","CTA BUILDING","17-031-0063","AQS","2","31","24","16","36","39"
"01/29/2016","48","NO2","COM ED MAINTENANCE BLDG","17-031-0076","AQS","2","28","11","17","25","48"
"01/30/2016","46","PM2.5","VILLAGE GARAGE","17-031-0001","AQS","5","22","7","19","46","29"
"01/31/2016","67","PM2.5","CHIWAUKEE PRAIRIE STATELINE","55-059-0019","AQS","5","25","31","21","67","30"
"02/01/2016","68","PM2.5","Gary-IITRI/ 1219.5 meters east of Tennessee St.- old ammuntion bunker","18-089-0022","AQS","8","26","16","32","68","42"
"02/02/2016","69","PM2.5","VILLAGE GARAGE","17-031-0001","AQS","9","28","6","27","69","35"
"02/03/2016","35","NO2","CTA BUILDING","17-031-0063","AQS","5","31","16","9","31","35"
"02/04/2016","37","NO2","CTA BUILDING","17-031-0063","AQS","2","33","10","20","33","37"
"02/05/2016","56","PM2.5","Gary-IITRI/ 1219.5 meters east of Tennessee St.- old ammuntion bunker","18-089-0022","AQS","3","30","4","26","56","42"
"02/06/2016","62","PM2.5","VILLAGE HALL","17-031-1016","AQS","5","32","11","23","62","40"
"02/07/2016","40","PM2.5","Gary-IITRI/ 1219.5 meters east of Tennessee St.- old ammuntion bunker","18-089-0022","AQS","5","32","24","17","40","33"
"02/08/2016","40","PM2.5","Gary-IITRI/ 1219.5 meters east of Tennessee St.- old ammuntion bunker","18-089-0022","AQS","2","28","10","17","40","30"
"02/09/2016","61","PM2.5","Gary-IITRI/ 1219.5 meters east of Tennessee St.- old ammuntion bunker","18-089-0022","AQS","2","32","23","31","61","37"
"02/10/2016","55","PM2.5","Gary-IITRI/ 1219.5 meters east of Tennessee St.- old ammuntion bunker","18-089-0022","AQS","3","33","41","46","55","54"
"02/11/2016","73","NO2","IEPA TRAILER","17-031-3103","AQS","6","36","3","27","42","73"
"02/12/2016","69","PM10","Gary-IITRI/ 1219.5 meters east of Tennessee St.- old ammuntion bunker","18-089-0022","AQS","6","40","29","69","54","58"
"02/13/2016","68","NO2","IEPA TRAILER","17-031-3103","AQS","3","37","14","19","41","68"
"02/14/2016","41","NO2","IEPA TRAILER","17-031-3103","AQS","5","34","3","11","36","41"
"02/15/2016","86","PM2.5","Gary-IITRI/ 1219.5 meters east of Tennessee St.- old ammuntion bunker","18-089-0022","AQS","3","27","1","23","86","39"
"02/16/2016","71","PM2.5","VILLAGE GARAGE","17-031-0001","AQS","5","27","4","24","71","43"
"02/17/2016","59","PM2.5","VILLAGE GARAGE","17-031-0001","AQS","5","35","4","19","59","42"
"02/18/2016","58","PM2.5","VILLAGE HALL","17-031-1016","AQS","5","31","7","25","58","41"
"02/19/2016","57","PM10","WASHINGTON HS","17-031-0022","AQS","3","41","31","57","41","21"
"02/20/2016","33","PM2.5","SPRINGFIELD PUMP STATION","17-031-0057","AQS","3","30","24","19","33","33"
"02/21/2016","40","PM2.5","East Chicago- Franklin School/ Washington School (Ben. Franklin)","18-089-0006","AQS","3","30","1","14","40","19"
"02/22/2016","53","NO2","COM ED MAINTENANCE BLDG","17-031-0076","AQS","3","31","23","26","47","53"
"02/23/2016","69","PM2.5","SPRINGFIELD PUMP STATION","17-031-0057","AQS","13","35","19","23","69","40"
"02/24/2016","62","PM2.5","Gary- Madison St./ Gary Water/ IN American Water Co.","18-089-0031","AQS","6","35","1","62","62","28"
"02/25/2016","39","NO2","CTA BUILDING","17-031-0063","AQS","2","35","1","10","28","39"
"02/26/2016","41","NO2","CTA BUILDING","17-031-0063","AQS","2","34","4","14","34","41"
"02/27/2016","64","PM2.5","SPRINGFIELD PUMP STATION","17-031-0057","AQS","2","35","11","21","64","26"
"02/28/2016","66","PM2.5","SPRINGFIELD PUMP STATION","17-031-0057","AQS","2","45","10","18","66","22"
"02/29/2016","39","Ozone","NORTHBROOK WATER PLANT","17-031-4201","AQS","2","39","16","16","25","32"
"03/01/2016","37","Ozone","LARSEN JUNIOR HIGH","17-089-0005","AQS","3","37","19","15","32","37"
"03/02/2016","75","PM2.5","SPRINGFIELD PUMP STATION","17-031-0057","AQS","3","38","39","35","75","46"
"03/03/2016","59","PM2.5","SPRINGFIELD PUMP STATION","17-031-0057","AQS","3","36","6","14","59","32"
"03/04/2016","78","PM2.5","SPRINGFIELD PUMP STATION","17-031-0057","AQS","3","42","7","24","78","48"
"03/05/2016","71","PM2.5","VILLAGE GARAGE","17-031-0001","AQS","3","34","7","22","71","36"
"03/06/2016","68","PM2.5","SPRINGFIELD PUMP STATION","17-031-0057","AQS","3","31","4","18","68","23"
"03/07/2016","75","PM2.5","SPRINGFIELD PUMP STATION","17-031-0057","AQS","3","38","4","28","75","35"
"03/08/2016","87","PM2.5","SPRINGFIELD PUMP STATION","17-031-0057","AQS","3","44","3","35","87","25"
"03/09/2016","54","PM2.5","SPRINGFIELD PUMP STATION","17-031-0057","AQS","2","29","6","19","54","36"
"03/10/2016","59","PM2.5","East Chicago- Franklin School/ Washington School (Ben. Franklin)","18-089-0006","AQS","7","24","1","25","59","21"
"03/11/2016","40","PM2.5","COM ED TRAINING CENTER","17-197-1011","AQS","9","31","23","28","40","38"
"03/12/2016","81","PM2.5","VILLAGE GARAGE","17-031-0001","AQS","7","32","6","35","81","38"
"03/13/2016","70","PM2.5","VILLAGE GARAGE","17-031-0001","AQS","5","44","9","17","70","40"
"03/14/2016","70","PM2.5","VILLAGE GARAGE","17-031-0001","AQS","3","35","7","21","70","40"
"03/15/2016","76","PM2.5","VILLAGE GARAGE","17-031-0001","AQS","7","38","11","33","76","37"
"03/16/2016","41","Ozone","COOK COUNTY TRAILER","17-031-4002","AQS","2","41","23","31","31","25"
"03/17/2016","40","Ozone","COOK COUNTY TRAILER","17-031-4002","AQS","3","40","27","28","23","29"
"03/18/2016","35","Ozone","CAMP LOGAN TRAILER","17-097-1007","AQS","3","35","29","15","29","25"
"03/19/2016","43","PM2.5","COM ED TRAINING CENTER","17-197-1011","AQS","3","37","11","22","43","20"
"03/20/2016","43","NO2","COM ED MAINTENANCE BLDG","17-031-0076","AQS","3","42","4","14","30","43"
"03/21/2016","48","NO2","COM ED MAINTENANCE BLDG","17-031-0076","AQS","5","40","9","25","37","48"
"03/22/2016","78","PM2.5","Ogden Dunes- Water Treatment Plant","18-127-0024","AQS","3","43","3","50","78","46"
"03/23/2016","68","PM2.5","VILLAGE GARAGE","17-031-0001","AQS","5","32","29","23","68","25"
"03/24/2016","47","PM2.5","COM ED TRAINING CENTER","17-197-1011","AQS","6","36","3","14","47","42"
"03/25/2016","42","Ozone","NORTHBROOK WATER PLANT","17-031-4201","AQS","5","42","21","16","41","42"
"03/26/2016","60","PM2.5","VILLAGE GARAGE","17-031-0001","AQS","5","39","3","22","60","45"
"03/27/2016","54","PM2.5","Gary-IITRI/ 1219.5 meters east of Tennessee St.- old ammuntion bunker","18-089-0022","AQS","5","40","19","21","54","40"
"03/28/2016","46","PM2.5","Gary-IITRI/ 1219.5 meters east of Tennessee St.- old ammuntion bunker","18-089-0022","AQS","6","39","39","22","46","42"
"03/29/2016","57","PM2.5","SPRINGFIELD PUMP STATION","17-031-0057","AQS","10","42","7","41","57","49"
"03/30/2016","37","NO2","CTA BUILDING","17-031-0063","AQS","3","36","3","31","36","37"
"03/31/2016","45","PM2.5","CARY GROVE HS","17-111-0001","AQS","2","38","19","11","45","29"
"04/01/2016","36","Ozone","COOK COUNTY TRAILER","17-031-4002","AQS","3","36","10","10","22","33"
"04/02/2016","40","Ozone","COOK COUNTY TRAILER","17-031-4002","AQS","2","40","26","36","30","32"
"04/03/2016","48","Ozone","COOK COUNTY TRAILER","17-031-4002","AQS","3","48","10","38","34","40"
"04/04/2016","42","Ozone","CHIWAUKEE PRAIRIE STATELINE","55-059-0019","AQS","3","42","1","35","38","25"
"04/05/2016","44","Ozone","CHIWAUKEE PRAIRIE STATELINE","55-059-0019","AQS","5","44","11","21","31","42"
"04/06/2016","62","PM2.5","KANE COUNTY HEALTH DEPT","17-089-0007","AQS","2","29","10","26","62","34"
"04/07/2016","44","NO2","CTA BUILDING","17-031-0063","AQS","3","38","24","14","34","44"
"04/08/2016","41","NO2","CTA BUILDING","17-031-0063","AQS","3","39","24","18","40","41"
"04/09/2016","41","Ozone","CHIWAUKEE PRAIRIE STATELINE","55-059-0019","AQS","5","41","7","18","23","26"
"04/10/2016","45","PM2.5","NORTHBROOK WATER PLANT","17-031-4201","AQS","3","35","3","19","45","29"
"04/11/2016","43","PM2.5","VILLAGE GARAGE","17-031-0001","AQS","2","41","9","25","43","28"
"04/12/2016","58","NO2","COM ED MAINTENANCE BLDG","17-031-0076","AQS","2","41","10","17","33","58"
"04/13/2016","46","NO2","COM ED MAINTENANCE BLDG","17-031-0076","AQS","3","45","29","40","41","46"
"04/14/2016","49","Ozone","COM ED TRAINING CENTER","17-197-1011","AQS","3","49","30","40","48","42"
"04/15/2016","69","PM2.5","Gary- Madison St./ Gary Water/ IN American Water Co.","18-089-0031","AQS","7","67","29","48","69","42"
"04/16/2016","108","Ozone","SOUTH WATER FILTRATION PLANT","17-031-0032","AQS","15","108","27","50","59","52"
"04/17/2016","119","Ozone","SOUTH WATER FILTRATION PLANT","17-031-0032","AQS","3","119","47","41","59","49"
"04/18/2016","126","Ozone","CHIWAUKEE PRAIRIE STATELINE","55-059-0019","AQS","7","126","20","66","71","79"
"04/19/2016","57","PM2.5","COM ED TRAINING CENTER","17-197-1011","AQS","3","41","17","38","57","28"
"04/20/2016","217","PM2.5","Gary-IITRI/ 1219.5 meters east of Tennessee St.- old ammuntion bunker","18-089-0022","AQS","3","80","37","78","217","96"
"04/21/2016","64","PM2.5","Gary-IITRI/ 1219.5 meters east of Tennessee St.- old ammuntion bunker","18-089-0022","AQS","2","47","9","28","64","42"
"04/22/2016","52","PM2.5","COM ED TRAINING CENTER","17-197-1011","AQS","2","33","1","21","52","43"
"04/23/2016","54","PM2.5","COM ED TRAINING CENTER","17-197-1011","AQS","3","41","30","14","54","28"
"04/24/2016","61","Ozone","NORTHBROOK WATER PLANT","17-031-4201","AQS","3","61","4","24","58","36"
"04/25/2016","77","Ozone","NORTHBROOK WATER PLANT","17-031-4201","AQS","2","77","3","56","54","32"
"04/26/2016","50","PM2.5","CARY GROVE HS","17-111-0001","AQS","6","40","11","23","50","16"
"04/27/2016","57","PM2.5","COM ED TRAINING CENTER","17-197-1011","AQS","3","42","16","18","57","24"
"04/28/2016","61","PM2.5","VILLAGE GARAGE","17-031-0001","AQS","5","41","7","24","61","35"
"04/29/2016","59","PM2.5","VILLAGE GARAGE","17-031-0001","AQS","6","44","7","24","59","28"
"04/30/2016","57","PM2.5","NORTHBROOK WATER PLANT","17-031-4201","AQS","5","41","9","19","57","20"
"05/01/2016","49","PM2.5","VILLAGE GARAGE","17-031-0001","AQS","9","41","4","14","49","25"
"05/02/2016","42","NO2","CTA BUILDING","17-031-0063","AQS","8","41","3","16","31","42"
"05/03/2016","61","PM2.5","CHIWAUKEE PRAIRIE STATELINE","55-059-0019","AQS","7","45","29","33","61","38"
