"Date","Overall AQI Value","Main Pollutant","Site Name (of Overall AQI)","Site ID (of Overall AQI)","Source (of Overall AQI)","CO","Ozone","SO2","PM10","PM25","NO2"
"01/01/2004","84","PM2.5","Gary- Burr St./ pumping station near truck stop","18-089-0026","AQS","22","15","27","19","84","37"
"01/02/2004","64","PM2.5","MAYFAIR PUMP STATION","17-031-0052","AQS","18","12","17","25","64","37"
"01/03/2004","97","SO2","Gary-IITRI/ 1219.5 meters east of Tennessee St.- old ammuntion bunker","18-089-0022","AQS","14","22","97","23","55","34"
"01/04/2004","53","PM2.5","CITY HALL","17-043-4002","AQS","11","27","44","10","53","18"
"01/05/2004","68","PM2.5","Gary-IITRI/ 1219.5 meters east of Tennessee St.- old ammuntion bunker","18-089-0022","AQS","13","21","54","35","68","38"
"01/06/2004","62","PM2.5","MAYFAIR PUMP STATION","17-031-0052","AQS","19","27","56","26","62","51"
"01/07/2004","80","PM2.5","MAYFAIR PUMP STATION","17-031-0052","AQS","18","19","50","26","80","55"
"01/08/2004","64","NO2","CTA BUILDING","17-031-0063","AQS","22","29","27","34","48","64"
"01/09/2004","63","NO2","CTA BUILDING","17-031-0063","AQS","14","29","44","17","55","63"
"01/10/2004","81","SO2","COOK COUNTY TRAILER","17-031-4002","AQS","17","19","81","28","72","41"
"01/11/2004","51","SO2","COOK COUNTY TRAILER","17-031-1601","AQS","15","18","51","16","44","33"
"01/12/2004","63","PM2.5","MAYFAIR PUMP STATION","17-031-0052","AQS","19","18","60","33","63","36"
"01/13/2004","85","SO2","Gary-IITRI/ 1219.5 meters east of Tennessee St.- old ammuntion bunker","18-089-0022","AQS","22","25","85","55","74","44"
"01/14/2004","91","SO2","FIRESTATION","17-031-1018","AQS","22","28","91","57","62","46"
"01/15/2004","71","SO2","FIRESTATION","17-031-1018","AQS","20","32","71","39","56","69"
"01/16/2004","94","PM2.5","Gary- Burr St./ pumping station near truck stop","18-089-0026","AQS","23","18","31","36","94","45"
"01/17/2004","67","PM2.5","MAYFAIR PUMP STATION","17-031-0052","AQS","20","19","40","33","67","37"
"01/18/2004","109","PM2.5","Gary-IITRI/ 1219.5 meters east of Tennessee St.- old ammuntion bunker","18-089-0022","AQS","14","25","95","73","109","33"
"01/19/2004","114","PM2.5","Gary-IITRI/ 1219.5 meters east of Tennessee St.- old ammuntion bunker","18-089-0022","AQS","14","27","67","65","114","61"
"01/20/2004","75","PM2.5","Gary-IITRI/ 1219.5 meters east of Tennessee St.- old ammuntion bunker","18-089-0022","AQS","24","26","54","52","75","68"
"01/21/2004","68","PM2.5","MAYFAIR PUMP STATION","17-031-0052","AQS","24","26","64","25","68","52"
"01/22/2004","113","SO2","FIRESTATION","17-031-1018","AQS","16","30","113","101","108","40"
"01/23/2004","55","SO2","FIRESTATION","17-031-1018","AQS","14","19","55","33","52","50"
"01/24/2004","54","PM2.5","Gary-IITRI/ 1219.5 meters east of Tennessee St.- old ammuntion bunker","18-089-0022","AQS","15","31","41","20","54","47"
"01/25/2004","56","PM2.5","Gary- Burr St./ pumping station near truck stop","18-089-0026","AQS","15","33","33","33","56","42"
"01/26/2004","57","PM2.5","MAYFAIR PUMP STATION","17-031-0052","AQS","11","30","24","32","57","43"
"01/27/2004","91","SO2","FIRESTATION","17-031-1018","AQS","13","27","91","44","83","48"
"01/28/2004","85","SO2","COOK COUNTY TRAILER","17-031-1601","AQS","24","24","85","31","66","41"
"01/29/2004","80","PM2.5","Gary-IITRI/ 1219.5 meters east of Tennessee St.- old ammuntion bunker","18-089-0022","AQS","18","19","55","40","80","77"
"01/30/2004","71","SO2","COM ED MAINTENANCE BLDG","17-031-0076","AQS","18","24","71","30","64","65"
"01/31/2004","103","SO2","CTA BUILDING","17-031-0063","AQS","28","20","103","46","95","52"
"02/01/2004","75","SO2","NORTHBROOK WATER PLANT","17-031-4201","AQS","30","31","75","42","73","50"
"02/02/2004","99","SO2","NORTHBROOK WATER PLANT","17-031-4201","AQS","34","16","99","45","65","62"
"02/03/2004","100","PM2.5","LIBERTY SCHOOL","17-031-6005","AQS","30","27","56","44","100","52"
"02/04/2004","74","NO2","CTA BUILDING","17-031-0063","AQS","26","36","55","51","72","74"
"02/05/2004","46","SO2","NORTHBROOK WATER PLANT","17-031-4201","AQS","18","30","46","22","40","38"
"02/06/2004","89","PM2.5","Gary-IITRI/ 1219.5 meters east of Tennessee St.- old ammuntion bunker","18-089-0022","AQS","16","30","49","35","89","62"
"02/07/2004","98","PM2.5","Gary-IITRI/ 1219.5 meters east of Tennessee St.- old ammuntion bunker","18-089-0022","AQS","11","35","46","52","98","48"
"02/08/2004","73","PM2.5","MAYFAIR PUMP STATION","17-031-0052","AQS","22","32","69","19","73","51"
"02/09/2004","76","PM2.5","MAYFAIR PUMP STATION","17-031-0052","AQS","18","33","49","31","76","60"
"02/10/2004","86","PM2.5","MAYFAIR PUMP STATION","17-031-0052","AQS","18","33","55","29","86","51"
"02/11/2004","91","SO2","NORTHBROOK WATER PLANT","17-031-4201","AQS","20","27","91","33","64","74"
"02/12/2004","118","PM2.5","LIBERTY SCHOOL","17-031-6005","AQS","16","29","71","30","118","62"
