"Date","Overall AQI Value","Main Pollutant","Site Name (of Overall AQI)","Site ID (of Overall AQI)","Source (of Overall AQI)","CO","Ozone","SO2","PM10","PM25","NO2"
"01/01/2018","47","PM2.5","Ogden Dunes- Water Treatment Plant","18-127-0024","AQS","6","30","20","18","47","38"
"01/02/2018","59","PM2.5","East Chicago- Franklin School/ Washington School (Ben. Franklin)","18-089-0006","AQS","5","31","3","31","59","36"
"01/03/2018","59","PM2.5","Gary-IITRI/ 1219.5 meters east of Tennessee St.- old ammuntion bunker","18-089-0022","AQS","7","31","36","28","59","31"
"01/04/2018","53","PM2.5","Gary-IITRI/ 1219.5 meters east of Tennessee St.- old ammuntion bunker","18-089-0022","AQS","7","33","14","33","53","42"
"01/05/2018","63","NO2","COM ED MAINTENANCE BLDG","17-031-0076","AQS","8","32","20","35","61","63"
"01/06/2018","65","PM2.5","Gary-IITRI/ 1219.5 meters east of Tennessee St.- old ammuntion bunker","18-089-0022","AQS","7","31","39","37","65","43"
"01/07/2018","58","PM2.5","REGIONAL OFFICE BUILDING","17-031-4007","AQS","5","28","3","23","58","31"
"01/08/2018","74","PM2.5","COM ED TRAINING CENTER","17-197-1011","AQS","5","27","3","20","74","24"
"01/09/2018","89","PM2.5","MAYFAIR PUMP STATION","17-031-0052","AQS","6","16","1","27","89","30"
"01/10/2018","53","PM2.5","REGIONAL OFFICE BUILDING","17-031-4007","AQS","6","27","1","13","53","27"
"01/11/2018","32","PM2.5","PERSHING SCHOOL","17-197-1002","AQS","5","24","4","6","32","30"
"01/12/2018","58","PM10","Portage- Hwy 12","18-127-0023","AQS","6","38","1","58","30","18"
"01/13/2018","36","PM2.5","PERSHING SCHOOL","17-197-1002","AQS","7","31","3","19","36","34"
"01/14/2018","61","PM2.5","Gary- Burr St./ pumping station near truck stop","18-089-0026","AQS","9","29","4","19","61","44"
"01/15/2018","56","PM2.5","NORTHBROOK WATER PLANT","17-031-4201","AQS","3","29","3","16","56","30"
"01/16/2018","61","NO2","IEPA TRAILER","17-031-3103","AQS","9","32","10","19","55","61"
"01/17/2018","62","PM2.5","IEPA TRAILER","17-031-3103","AQS","10","29","13","35","62","42"
"01/18/2018","61","PM2.5","REGIONAL OFFICE BUILDING","17-031-4007","AQS","3","28","4","40","61","29"
"01/19/2018","55","PM2.5","COM ED TRAINING CENTER","17-197-1011","AQS","3","31","4","32","55","27"
"01/20/2018","60","PM2.5","IEPA TRAILER","17-031-3103","AQS","3","25","4","21","60","35"
"01/21/2018","68","PM2.5","REGIONAL OFFICE BUILDING","17-031-4007","AQS","5","22","4","20","68","28"
"01/22/2018","38","PM2.5","LIBERTY SCHOOL","17-031-6005","AQS","3","31","7","8","38","33"
"01/23/2018","53","PM2.5","CARY GROVE HS","17-111-0001","AQS","7","32","3","13","53","23"
"01/24/2018","41","PM2.5","Ogden Dunes- Water Treatment Plant","18-127-0024","AQS","7","29","3","14","41","31"
"01/25/2018","59","PM2.5","REGIONAL OFFICE BUILDING","17-031-4007","AQS","6","24","4","21","59","32"
"01/26/2018","40","PM2.5","REGIONAL OFFICE BUILDING","17-031-4007","AQS","6","38","4","26","40","30"
"01/27/2018","49","PM2.5","PERSHING SCHOOL","17-197-1002","AQS","6","33","13","21","49","33"
"01/28/2018","52","PM2.5","SPRINGFIELD PUMP STATION","17-031-0057","AQS","7","32","6","17","52","44"
"01/29/2018","31","Ozone","CARY GROVE HS","17-111-0001","AQS","6","31","3","25","25","27"
"01/30/2018","40","NO2","COM ED MAINTENANCE BLDG","17-031-0076","AQS","6","32","17","32","39","40"
"01/31/2018","48","PM2.5","REGIONAL OFFICE BUILDING","17-031-4007","AQS","3","24","7","37","48","24"
"02/01/2018","44","PM10","Gary-IITRI/ 1219.5 meters east of Tennessee St.- old ammuntion bunker","18-089-0022","AQS","5","32","13","44","40","23"
"02/02/2018","32","Ozone","CARY GROVE HS","17-111-0001","AQS","6","32","9","24","27","24"
"02/03/2018","52","PM2.5","CHIWAUKEE PRAIRIE STATELINE","55-059-0019","AQS","3","28","4","27","52","19"
"02/04/2018","61","NO2","IEPA TRAILER","17-031-3103","AQS","7","39","4","25","39","61"
"02/05/2018","45","PM2.5","REGIONAL OFFICE BUILDING","17-031-4007","AQS","7","36","6","18","45","35"
"02/06/2018","66","PM2.5","PERSHING SCHOOL","17-197-1002","AQS","7","35","6","28","66","53"
"02/07/2018","71","PM2.5","COM ED TRAINING CENTER","17-197-1011","AQS","7","39","4","24","71","47"
"02/08/2018","80","PM2.5","Gary- Burr St./ pumping station near truck stop","18-089-0026","AQS","5","41","9","35","80","43"
"02/09/2018","69","PM2.5","Gary- Burr St./ pumping station near truck stop","18-089-0026","AQS","7","40","4","21","69","54"
"02/10/2018","53","PM2.5","Gary- Burr St./ pumping station near truck stop","18-089-0026","AQS","7","38","3","13","53","38"
"02/11/2018","52","PM2.5","PERSHING SCHOOL","17-197-1002","AQS","7","44","11","13","52","44"
