"Date","Overall AQI Value","Main Pollutant","Site Name (of Overall AQI)","Site ID (of Overall AQI)","Source (of Overall AQI)","CO","Ozone","SO2","PM10","PM25","NO2"
"01/01/2014","60","PM2.5","Gary-IITRI/ 1219.5 meters east of Tennessee St.- old ammuntion bunker","18-089-0022","AQS","6","36","36","33","60","38"
"01/02/2014","62","SO2","Gary-IITRI/ 1219.5 meters east of Tennessee St.- old ammuntion bunker","18-089-0022","AQS","8","32","62","25","55","43"
"01/03/2014","63","PM2.5","Gary-IITRI/ 1219.5 meters east of Tennessee St.- old ammuntion bunker","18-089-0022","AQS","10","31","20","31","63","58"
"01/04/2014","53","PM2.5","CHIWAUKEE PRAIRIE STATELINE","55-059-0019","AQS","8","29","11","31","53","37"
"01/05/2014","66","PM2.5","Gary-IITRI/ 1219.5 meters east of Tennessee St.- old ammuntion bunker","18-089-0022","AQS","10","34","55","47","66","32"
"01/06/2014","50","PM2.5","Gary-IITRI/ 1219.5 meters east of Tennessee St.- old ammuntion bunker","18-089-0022","AQS","7","31","24","14","50","22"
"01/07/2014","54","PM2.5","Gary-IITRI/ 1219.5 meters east of Tennessee St.- old ammuntion bunker","18-089-0022","AQS","6","31","17","21","54","54"
"01/08/2014","102","NO2","IEPA TRAILER","17-031-3103","AQS","13","28","23","31","97","102"
"01/09/2014","110","PM2.5","Hammond- Purdue/ Powers Bldg. Purdue University","18-089-2004","AQS","17","21","11","40","110","91"
"01/10/2014","72","PM2.5","CHIWAUKEE PRAIRIE STATELINE","55-059-0019","AQS","6","20","7","20","72","33"
"01/11/2014","60","PM2.5","Gary-IITRI/ 1219.5 meters east of Tennessee St.- old ammuntion bunker","18-089-0022","AQS","5","31","19","18","60","24"
"01/12/2014","54","PM2.5","Gary-IITRI/ 1219.5 meters east of Tennessee St.- old ammuntion bunker","18-089-0022","AQS","5","31","10","13","54","23"
"01/13/2014","40","PM2.5","Gary-IITRI/ 1219.5 meters east of Tennessee St.- old ammuntion bunker","18-089-0022","AQS","5","26","26","13","40","38"
"01/14/2014","57","PM2.5","Gary-IITRI/ 1219.5 meters east of Tennessee St.- old ammuntion bunker","18-089-0022","AQS","5","31","24","19","57","34"
"01/15/2014","63","PM2.5","Gary-IITRI/ 1219.5 meters east of Tennessee St.- old ammuntion bunker","18-089-0022","AQS","3","31","24","34","63","37"
"01/16/2014","52","PM2.5","CHIWAUKEE PRAIRIE STATELINE","55-059-0019","AQS","5","31","21","22","52","34"
"01/17/2014","54","PM2.5","CHIWAUKEE PRAIRIE STATELINE","55-059-0019","AQS","5","28","16","32","54","30"
"01/18/2014","60","PM2.5","CHIWAUKEE PRAIRIE STATELINE","55-059-0019","AQS","10","24","20","29","60","46"
"01/19/2014","64","PM2.5","Gary-IITRI/ 1219.5 meters east of Tennessee St.- old ammuntion bunker","18-089-0022","AQS","11","31","31","27","64","40"
"01/20/2014","62","PM2.5","Gary-IITRI/ 1219.5 meters east of Tennessee St.- old ammuntion bunker","18-089-0022","AQS","9","38","55","52","62","42"
"01/21/2014","52","PM2.5","Gary-IITRI/ 1219.5 meters east of Tennessee St.- old ammuntion bunker","18-089-0022","AQS","8","36","23","31","52","47"
"01/22/2014","69","PM2.5","Gary-IITRI/ 1219.5 meters east of Tennessee St.- old ammuntion bunker","18-089-0022","AQS","8","31","44","37","69","42"
"01/23/2014","65","PM2.5","Gary-IITRI/ 1219.5 meters east of Tennessee St.- old ammuntion bunker","18-089-0022","AQS","7","33","41","33","65","36"
"01/24/2014","55","PM10","WASHINGTON HS","17-031-0022","AQS","7","29","16","55","46","36"
"01/25/2014","72","SO2","Gary-IITRI/ 1219.5 meters east of Tennessee St.- old ammuntion bunker","18-089-0022","AQS","6","39","72","32","61","36"
"01/26/2014","44","PM2.5","Gary-IITRI/ 1219.5 meters east of Tennessee St.- old ammuntion bunker","18-089-0022","AQS","6","36","16","28","44","29"
"01/27/2014","35","PM2.5","CHIWAUKEE PRAIRIE STATELINE","55-059-0019","AQS","6","35","19","26","35","31"
"01/28/2014","53","NO2","COM ED MAINTENANCE BLDG","17-031-0076","AQS","7","31","10","39","40","53"
"01/29/2014","56","PM10","VILLAGE HALL","17-031-1016","AQS","7","30","14","56","43","44"
"01/30/2014","55","PM2.5","Gary-IITRI/ 1219.5 meters east of Tennessee St.- old ammuntion bunker","18-089-0022","AQS","7","31","7","48","55","32"
"01/31/2014","66","PM2.5","Gary-IITRI/ 1219.5 meters east of Tennessee St.- old ammuntion bunker","18-089-0022","AQS","10","31","34","45","66","51"
"02/01/2014","86","PM2.5","Gary-IITRI/ 1219.5 meters east of Tennessee St.- old ammuntion bunker","18-089-0022","AQS","10","26","9","35","86","46"
"02/02/2014","78","PM2.5","Gary-IITRI/ 1219.5 meters east of Tennessee St.- old ammuntion bunker","18-089-0022","AQS","9","38","11","39","78","58"
"02/03/2014","102","PM2.5","Gary-IITRI/ 1219.5 meters east of Tennessee St.- old ammuntion bunker","18-089-0022","AQS","16","31","24","52","102","71"
"02/04/2014","87","PM2.5","Gary- Burr St./ pumping station near truck stop","18-089-0026","AQS","16","35","13","47","87","71"
"02/05/2014","55","PM2.5","Gary-IITRI/ 1219.5 meters east of Tennessee St.- old ammuntion bunker","18-089-0022","AQS","10","37","4","21","55","48"
"02/06/2014","68","PM2.5","Gary-IITRI/ 1219.5 meters east of Tennessee St.- old ammuntion bunker","18-089-0022","AQS","9","31","14","36","68","47"
"02/07/2014","66","PM2.5","Gary-IITRI/ 1219.5 meters east of Tennessee St.- old ammuntion bunker","18-089-0022","AQS","9","33","9","52","66","47"
"02/08/2014","81","PM2.5","Gary-IITRI/ 1219.5 meters east of Tennessee St.- old ammuntion bunker","18-089-0022","AQS","10","33","16","36","81","47"
"02/09/2014","91","PM2.5","CHIWAUKEE PRAIRIE STATELINE","55-059-0019","AQS","10","41","24","37","91","45"
"02/10/2014","80","PM2.5","Gary-IITRI/ 1219.5 meters east of Tennessee St.- old ammuntion bunker","18-089-0022","AQS","11","32","11","44","80","49"
"02/11/2014","75","PM2.5","Ogden Dunes- Water Treatment Plant","18-127-0024","AQS","17","31","26","55","75","72"
"02/12/2014","102","PM2.5","Gary-IITRI/ 1219.5 meters east of Tennessee St.- old ammuntion bunker","18-089-0022","AQS","13","29","39","64","102","66"
"02/13/2014","133","PM2.5","Gary- Burr St./ pumping station near truck stop","18-089-0026","AQS","13","44","21","61","133","80"
"02/14/2014","89","PM2.5","Gary-IITRI/ 1219.5 meters east of Tennessee St.- old ammuntion bunker","18-089-0022","AQS","11","35","21","53","89","52"
"02/15/2014","89","PM2.5","Gary-IITRI/ 1219.5 meters east of Tennessee St.- old ammuntion bunker","18-089-0022","AQS","13","38","24","42","89","47"
"02/16/2014","77","PM2.5","Gary-IITRI/ 1219.5 meters east of Tennessee St.- old ammuntion bunker","18-089-0022","AQS","10","46","7","32","77","32"
"02/17/2014","94","PM2.5","Gary-IITRI/ 1219.5 meters east of Tennessee St.- old ammuntion bunker","18-089-0022","AQS","11","40","33","38","94","56"
"02/18/2014","75","PM2.5","Gary-IITRI/ 1219.5 meters east of Tennessee St.- old ammuntion bunker","18-089-0022","AQS","13","42","61","36","75","60"
"02/19/2014","77","PM2.5","Gary-IITRI/ 1219.5 meters east of Tennessee St.- old ammuntion bunker","18-089-0022","AQS","10","43","31","33","77","56"
"02/20/2014","74","PM2.5","Hammond- Purdue/ Powers Bldg. Purdue University","18-089-2004","AQS","11","36","14","24","74","45"
"02/21/2014","43","PM2.5","CHIWAUKEE PRAIRIE STATELINE","55-059-0019","AQS","9","40","6","19","43","35"
"02/22/2014","42","PM2.5","Gary-IITRI/ 1219.5 meters east of Tennessee St.- old ammuntion bunker","18-089-0022","AQS","9","42","20","19","42","32"
"02/23/2014","52","PM2.5","Gary-IITRI/ 1219.5 meters east of Tennessee St.- old ammuntion bunker","18-089-0022","AQS","9","42","14","14","52","36"
"02/24/2014","49","PM2.5","Gary-IITRI/ 1219.5 meters east of Tennessee St.- old ammuntion bunker","18-089-0022","AQS","10","39","19","19","49","35"
"02/25/2014","56","PM2.5","Gary-IITRI/ 1219.5 meters east of Tennessee St.- old ammuntion bunker","18-089-0022","AQS","10","36","16","23","56","33"
"02/26/2014","66","PM2.5","Gary-IITRI/ 1219.5 meters east of Tennessee St.- old ammuntion bunker","18-089-0022","AQS","10","37","30","53","66","35"
"02/27/2014","92","PM10","Gary-IITRI/ 1219.5 meters east of Tennessee St.- old ammuntion bunker","18-089-0022","AQS","14","38","20","92","65","43"
"02/28/2014","61","PM2.5","COM ED MAINTENANCE BLDG","17-031-0076","AQS","13","30","10","35","61","53"
"03/01/2014","70","PM2.5","Gary-IITRI/ 1219.5 meters east of Tennessee St.- old ammuntion bunker","18-089-0022","AQS","14","38","14","33","70","41"
