"Date","Overall AQI Value","Main Pollutant","Site Name (of Overall AQI)","Site ID (of Overall AQI)","Source (of Overall AQI)","CO","Ozone","SO2","PM10","PM25","NO2"
"01/01/2002","71","PM2.5","Gary-IITRI/ 1219.5 meters east of Tennessee St.- old ammuntion bunker","18-089-0022","AQS","20","22","69","49","71","44"
"01/02/2002","95","PM2.5","MAYFAIR PUMP STATION","17-031-0052","AQS","34","20","61","59","95","71"
"01/03/2002","103","SO2","Gary-IITRI/ 1219.5 meters east of Tennessee St.- old ammuntion bunker","18-089-0022","AQS","28","22","103","50","80","63"
"01/04/2002","71","PM2.5","MAYFAIR PUMP STATION","17-031-0052","AQS","28","17","44","70","71","50"
"01/05/2002","75","PM2.5","VILLAGE HALL","17-031-1016","AQS","26","12","44","42","75","37"
"01/06/2002","100","SO2","Gary-IITRI/ 1219.5 meters east of Tennessee St.- old ammuntion bunker","18-089-0022","AQS","25","24","100","31","72","31"
"01/07/2002","76","PM2.5","Gary-IITRI/ 1219.5 meters east of Tennessee St.- old ammuntion bunker","18-089-0022","AQS","27","21","60","33","76","66"
"01/08/2002","65","PM2.5","VILLAGE HALL","17-031-1016","AQS","26","12","52","38","65","53"
"01/09/2002","72","SO2","COOK COUNTY TRAILER","17-031-1601","AQS","25","14","72","29","59","46"
"01/10/2002","61","PM2.5","Gary-IITRI/ 1219.5 meters east of Tennessee St.- old ammuntion bunker","18-089-0022","AQS","27","20","55","23","61","49"
"01/11/2002","66","PM2.5","VILLAGE HALL","17-031-1016","AQS","25","20","60","21","66","52"
"01/12/2002","87","SO2","Gary-IITRI/ 1219.5 meters east of Tennessee St.- old ammuntion bunker","18-089-0022","AQS","24","28","87","44","83","38"
"01/13/2002","60","SO2","COOK COUNTY TRAILER","17-031-4002","AQS","26","17","60","20","44","33"
"01/14/2002","70","PM2.5","MAYFAIR PUMP STATION","17-031-0052","AQS","28","17","29","28","70","44"
"01/15/2002","71","SO2","","18-127-0017","AQS","22","20","71","20","65","44"
"01/16/2002","64","PM2.5","MAYFAIR PUMP STATION","17-031-0052","AQS","28","22","57","25","64","60"
"01/17/2002","78","PM2.5","MAYFAIR PUMP STATION","17-031-0052","AQS","26","18","46","24","78","54"
"01/18/2002","74","PM2.5","MAYFAIR PUMP STATION","17-031-0052","AQS","32","23","31","31","74","56"
"01/19/2002","96","SO2","CTA BUILDING","17-031-0063","AQS","31","21","96","32","70","55"
"01/20/2002","74","PM2.5","FARR HALL","17-031-0014","AQS","25","22","37","36","74","38"
"01/21/2002","68","PM2.5","MAYFAIR PUMP STATION","17-031-0052","AQS","34","21","30","30","68","67"
"01/22/2002","84","SO2","WATER PLANT WEST","17-197-0013","AQS","32","26","84","54","54","55"
"01/23/2002","76","PM2.5","Ogden Dunes- Water Treatment Plant","18-127-0024","AQS","25","27","51","48","76","43"
"01/24/2002","79","PM2.5","PERSHING SCHOOL","17-197-1002","AQS","24","26","31","23","79","64"
"01/25/2002","62","SO2","CTA BUILDING","17-031-0063","AQS","23","25","62","31","51","49"
"01/26/2002","55","PM2.5","LIBERTY SCHOOL","17-031-6005","AQS","24","21","36","31","55","40"
