Date,Overall AQI Value,Main Pollutant,Site Name (of Overall AQI),Site ID (of Overall AQI),Source (of Overall AQI),CO,Ozone,SO2,PM10,PM25,NO2
07/25/2017,64,Ozone,CARY GROVE HS,17-111-0001,AQS,2,64,9,24,43,26
07/26/2017,119,Ozone,CHIWAUKEE PRAIRIE STATELINE,55-059-0019,AQS,2,119,6,45,58,30
07/27/2017,71,Ozone,VILLAGE GARAGE,17-031-0001,AQS,5,71,3,28,59,24
07/28/2017,64,PM10,Portage- Hwy 12,18-127-0023,AQS,7,42,3,64,36,12
07/29/2017,37,Ozone,COM ED TRAINING CENTER,17-197-1011,AQS,6,37,6,18,29,16
07/30/2017,58,PM2.5,SPRINGFIELD PUMP STATION,17-031-0057,AQS,10,50,10,38,58,29
07/31/2017,105,Ozone,COM ED MAINTENANCE BLDG,17-031-0076,AQS,6,105,10,34,55,57
08-01-2017,133,Ozone,CHIWAUKEE PRAIRIE STATELINE,55-059-0019,AQS,5,133,4,50,62,46
08-02-2017,93,Ozone,COM ED MAINTENANCE BLDG,17-031-0076,AQS,3,93,19,34,60,41
08-03-2017,51,PM2.5,LIBERTY SCHOOL,17-031-6005,AQS,3,48,6,31,51,27
08-04-2017,28,PM2.5,VILLAGE GARAGE,17-031-0001,AQS,2,28,26,15,28,28
08-05-2017,42,Ozone,WATER PLANT,17-031-7002,AQS,2,42,31,20,39,33
08-06-2017,49,PM2.5,NORTHBROOK WATER PLANT,17-031-4201,AQS,3,39,4,19,49,32
08-07-2017,44,PM2.5,LIBERTY SCHOOL,17-031-6005,AQS,5,43,4,25,44,33
08-08-2017,55,PM2.5,Gary- Burr St./ pumping station near truck stop,18-089-0026,AQS,5,54,19,27,55,42
08-09-2017,54,PM2.5,COM ED MAINTENANCE BLDG,17-031-0076,AQS,3,50,11,43,54,41
08-10-2017,67,Ozone,WATER PLANT,17-031-7002,AQS,2,67,4,47,54,42
08-11-2017,44,Ozone,VILLAGE GARAGE,17-031-0001,AQS,7,44,17,31,36,26
08-12-2017,41,Ozone,COM ED TRAINING CENTER,17-197-1011,AQS,3,41,3,18,40,20
08/13/2017,52,PM2.5,VILLAGE GARAGE,17-031-0001,AQS,6,49,14,21,52,28
08/14/2017,93,Ozone,WATER PLANT,17-031-7002,AQS,5,93,7,46,53,42
08/15/2017,71,Ozone,VILLAGE GARAGE,17-031-0001,AQS,9,71,7,26,52,33
08/16/2017,80,Ozone,REGIONAL OFFICE BUILDING,17-031-4007,AQS,5,80,6,31,54,34
08/17/2017,36,Ozone,VILLAGE GARAGE,17-031-0001,AQS,2,36,14,23,34,27
08/18/2017,45,Ozone,SOUTH WATER FILTRATION PLANT,17-031-0032,AQS,3,45,24,24,36,32
08/19/2017,90,Ozone,COOK COUNTY TRAILER,17-031-1601,AQS,6,90,16,31,56,33
08/20/2017,93,Ozone,KENOSHA - WATER TOWER,55-059-0025,AQS,6,93,9,30,63,31
08/21/2017,51,PM2.5,CARY GROVE HS,17-111-0001,AQS,3,51,10,34,51,29
08/22/2017,42,Ozone,Ogden Dunes- Water Treatment Plant,18-127-0024,AQS,2,42,16,21,40,28
08/23/2017,42,PM2.5,Gary-IITRI/ 1219.5 meters east of Tennessee St.- old ammuntion bunker,18-089-0022,AQS,3,40,17,26,42,32
08/24/2017,38,PM2.5,COM ED MAINTENANCE BLDG,17-031-0076,AQS,3,37,11,27,38,33
08/25/2017,46,Ozone,VILLAGE GARAGE,17-031-0001,AQS,5,46,16,24,41,32
08/26/2017,67,Ozone,CHIWAUKEE PRAIRIE STATELINE,55-059-0019,AQS,5,67,4,23,59,34
08/27/2017,55,PM2.5,NORTHBROOK WATER PLANT,17-031-4201,AQS,3,50,4,19,55,22
08/28/2017,80,Ozone,CHIWAUKEE PRAIRIE STATELINE,55-059-0019,AQS,5,80,4,35,58,44
08/29/2017,61,PM2.5,COM ED MAINTENANCE BLDG,17-031-0076,AQS,7,51,7,40,61,42
08/30/2017,64,Ozone,VILLAGE GARAGE,17-031-0001,AQS,5,64,6,45,63,45
08/31/2017,64,PM2.5,CARY GROVE HS,17-111-0001,AQS,5,38,4,53,64,16
09-01-2017,38,PM2.5,PERSHING SCHOOL,17-197-1002,AQS,5,38,4,24,38,30
09-02-2017,50,PM2.5,COM ED MAINTENANCE BLDG,17-031-0076,AQS,6,46,14,19,50,33
