"Date","Overall AQI Value","Main Pollutant","Site Name (of Overall AQI)","Site ID (of Overall AQI)","Source (of Overall AQI)","CO","Ozone","SO2","PM10","PM25","NO2"
"01/01/2015","37","PM2.5","Gary-IITRI/ 1219.5 meters east of Tennessee St.- old ammuntion bunker","18-089-0022","AQS","5","26","17","19","37","22"
"01/02/2015","55","PM2.5","Gary-IITRI/ 1219.5 meters east of Tennessee St.- old ammuntion bunker","18-089-0022","AQS","9","26","20","19","55","47"
"01/03/2015","67","PM2.5","MAYFAIR PUMP STATION","17-031-0052","AQS","9","10","3","25","67","31"
"01/04/2015","68","PM2.5","Gary-IITRI/ 1219.5 meters east of Tennessee St.- old ammuntion bunker","18-089-0022","AQS","8","31","20","19","68","43"
"01/05/2015","41","NO2","IEPA TRAILER","17-031-3103","AQS","6","28","16","25","40","41"
"01/06/2015","58","PM2.5","IEPA TRAILER","17-031-3103","AQS","7","31","36","20","58","53"
"01/07/2015","64","NO2","IEPA TRAILER","17-031-3103","AQS","6","31","46","24","63","64"
"01/08/2015","44","NO2","IEPA TRAILER","17-031-3103","AQS","7","30","11","35","40","44"
"01/09/2015","70","PM2.5","COM ED TRAINING CENTER","17-197-1011","AQS","7","32","31","23","70","41"
"01/10/2015","47","PM2.5","NORTHBROOK WATER PLANT","17-031-4201","AQS","7","29","27","28","47","34"
"01/11/2015","46","PM2.5","CHIWAUKEE PRAIRIE STATELINE","55-059-0019","AQS","7","24","4","26","46","29"
"01/12/2015","59","PM2.5","CITY HALL","17-043-4002","AQS","9","35","6","26","59","27"
"01/13/2015","56","PM2.5","Gary-IITRI/ 1219.5 meters east of Tennessee St.- old ammuntion bunker","18-089-0022","AQS","18","34","36","23","56","53"
"01/14/2015","87","PM2.5","Gary-IITRI/ 1219.5 meters east of Tennessee St.- old ammuntion bunker","18-089-0022","AQS","10","27","29","66","87","57"
"01/15/2015","92","PM2.5","REGIONAL OFFICE BUILDING","17-031-4007","AQS","7","27","43","55","92","47"
"01/16/2015","72","PM2.5","GRAVES ES","17-031-3301","AQS","9","35","17","35","72","53"
"01/17/2015","63","PM2.5","Gary-IITRI/ 1219.5 meters east of Tennessee St.- old ammuntion bunker","18-089-0022","AQS","8","31","6","45","63","32"
