Overall AQI Value,Ozone,PM25,NO2
54,43,38,54
95,80,68,64
77,44,77,46
78,45,78,68
82,50,82,60
83,71,83,68
46,20,46,34
43,30,35,38
57,35,33,30
38,35,37,38
73,32,73,42
43,28,41,30
65,26,65,64
97,41,97,52
91,40,70,76
72,37,72,42
53,33,53,39
105,46,64,58
60,34,60,54
119,36,38,46
34,32,29,34
46,37,46,46
65,21,65,42
53,27,53,30
47,21,28,42
41,28,35,41
58,26,52,58
72,29,45,72
68,31,68,56
122,31,73,42
69,43,69,28
104,25,104,48
60,24,60,47
61,27,37,48
70,38,49,61
74,30,66,64
83,24,83,35
42,25,42,34
77,24,62,65
112,16,112,48
66,26,66,35
60,24,60,56
65,24,57,65
103,33,59,40
62,27,41,26
46,27,35,46
48,19,48,33
40,21,32,29
55,24,39,55
63,17,63,46
59,29,59,49
66,19,66,43
77,20,59,38
60,28,45,60
74,28,74,50
130,31,112,28
72,24,29,38
63,19,63,33
78,19,78,28
52,26,52,42
38,20,38,36
61,20,61,51
66,20,66,43
53,22,41,53
58,24,58,40
64,26,64,38
111,18,49,62
92,18,92,58
107,15,107,68
114,16,77,63
96,17,96,48
64,20,64,45
73,21,73,42
74,21,74,66
94,26,94,48
85,14,85,42
68,15,68,44
89,19,51,39
57,19,57,41
74,25,63,31
97,19,75,53
96,19,87,48
133,19,133,55
113,19,113,53
95,17,95,49
108,19,108,46
42,22,42,30
55,19,55,40
81,12,81,35
70,11,70,42
53,17,50,53
76,14,76,53
57,7,57,23
69,12,69,27
69,10,69,23
66,9,66,42
87,16,63,33
88,29,88,48
48,28,43,48
67,19,57,39
70,19,70,37
69,20,63,69
57,11,57,53
68,12,68,34
103,24,60,56
63,27,63,35
42,28,36,42
49,18,49,43
62,15,62,38
91,19,91,35
67,19,67,45
59,28,59,49
66,19,66,37
79,22,58,58
86,19,49,51
114,19,114,48
105,29,54,39
122,29,68,58
94,22,94,72
79,19,79,48
69,30,69,40
55,28,51,33
56,28,56,47
72,31,72,51
64,21,64,40
82,11,82,47
65,23,65,51
90,24,78,42
94,26,72,33
87,31,63,51
74,31,54,74
69,31,69,62
90,32,35,66
76,22,76,46
67,27,67,58
61,30,61,39
69,27,62,52
63,27,63,57
55,33,55,50
68,33,68,49
80,32,75,53
69,32,69,38
75,30,50,49
62,24,35,48
76,31,74,66
86,33,86,78
73,34,51,73
62,31,51,62
66,37,57,38
60,36,34,43
85,37,54,57
55,36,55,48
43,34,43,42
87,36,71,80
65,32,56,65
47,36,38,46
60,34,60,49
86,36,86,53
67,33,67,65
89,19,89,49
70,26,70,42
74,30,74,58
51,41,51,39
88,34,88,37
57,31,33,42
71,37,54,37
72,34,72,56
65,40,31,49
49,38,42,47
55,41,54,55
53,40,34,53
61,43,29,61
119,35,44,67
68,42,59,68
62,38,30,62
56,32,54,56
51,34,40,51
68,42,33,68
87,33,87,60
80,38,80,61
107,37,107,62
92,51,92,78
51,40,40,34
54,35,33,30
59,37,59,49
91,40,73,53
116,48,83,55
71,49,57,62
63,38,60,63
64,45,64,43
53,41,47,53
95,45,56,66
76,58,60,68
75,74,75,67
81,71,71,54
117,67,54,55
80,47,77,72
51,50,32,27
44,44,44,40
78,47,78,51
58,58,28,53
68,61,52,68
85,71,61,71
74,49,52,67
66,51,57,66
53,50,53,47
67,64,59,60
79,44,22,51
101,54,54,76
81,58,47,68
61,61,44,50
62,47,62,34
62,48,62,21
78,36,78,42
82,50,82,55
90,49,49,62
57,42,42,57
77,31,60,77
48,45,33,48
61,61,52,58
80,80,68,57
84,51,84,77
81,45,74,81
57,34,52,38
40,21,20,36
33,20,26,33
45,38,45,31
54,41,43,54
77,36,45,77
68,40,68,66
58,42,42,58
46,35,37,46
100,51,47,55
45,45,24,32
111,49,34,47
77,77,63,67
74,74,62,72
58,43,48,58
87,87,83,81
87,87,83,66
97,97,68,37
68,54,68,45
85,67,66,85
67,46,52,67
66,48,66,46
100,61,43,100
72,58,40,50
60,45,60,40
113,87,54,74
105,105,63,77
60,58,60,53
74,74,62,66
84,35,26,49
52,47,40,52
54,45,27,24
54,41,28,54
50,44,45,44
86,71,50,49
129,129,63,66
164,164,108,62
150,150,84,34
85,45,85,41
94,64,56,42
52,44,48,52
127,45,64,63
81,46,58,61
71,42,30,71
97,51,33,46
67,64,67,45
65,44,46,60
64,64,57,62
96,74,96,61
62,54,62,58
126,126,79,56
151,151,76,62
77,77,70,56
97,48,72,97
104,49,86,24
47,37,41,47
76,42,55,76
77,77,69,57
105,105,72,47
136,136,79,39
62,41,62,38
64,42,50,64
102,58,58,60
93,93,76,53
83,48,69,83
126,126,59,57
84,84,78,52
90,90,72,65
67,67,43,51
97,80,90,97
102,44,69,102
49,42,37,49
62,39,62,40
61,61,50,47
96,71,58,77
101,101,77,82
97,61,72,97
84,58,77,84
164,164,70,81
159,159,65,58
80,80,68,42
143,143,84,71
126,126,61,83
87,87,57,57
55,36,55,51
93,93,63,52
93,93,60,44
87,51,87,42
64,44,64,52
55,47,25,40
93,93,81,41
83,64,83,36
43,43,39,33
64,64,52,42
87,87,60,47
72,47,72,58
74,61,60,53
87,87,56,56
112,112,81,65
111,90,111,89
74,74,64,54
39,39,26,32
65,46,64,49
77,77,67,53
80,67,62,80
81,47,81,79
117,61,117,78
76,41,76,42
97,43,97,39
44,40,44,41
65,44,41,65
102,34,59,102
57,45,27,57
52,39,52,32
61,46,61,42
65,54,56,42
55,44,55,49
70,64,65,70
82,71,76,82
99,48,68,99
81,54,76,81
57,32,56,57
44,25,44,16
71,26,71,40
93,30,83,93
67,34,47,66
65,39,65,44
71,49,71,49
77,61,77,37
102,49,70,32
110,30,30,67
84,17,25,27
61,30,46,61
93,40,61,93
72,38,65,72
60,25,60,43
79,28,38,43
84,36,40,72
79,38,52,79
110,24,41,62
61,31,55,61
70,26,60,48
66,30,41,41
62,36,45,45
82,47,56,82
64,49,64,60
74,30,35,46
61,29,45,29
56,29,49,56
57,37,57,43
69,45,69,60
61,40,57,61
42,30,40,42
53,19,53,34
70,26,23,42
67,28,28,34
103,27,37,33
43,31,38,42
56,24,56,48
76,21,38,76
54,17,54,54
59,19,59,51
58,25,57,58
52,30,52,38
103,26,59,32
80,24,53,49
69,20,67,53
93,19,71,93
70,16,70,42
61,17,58,42
104,31,77,34
61,29,52,45
63,42,49,63
55,24,55,52
73,29,55,73
82,27,54,49
92,26,55,56
69,24,69,45
62,20,62,47
87,14,87,69
120,15,120,108
83,28,83,79
106,29,52,106
40,20,40,35
72,28,21,72
53,25,53,42
81,14,81,64
75,17,75,67
96,23,82,42
65,23,47,65
68,20,68,50
79,15,79,34
62,26,62,43
65,23,65,58
71,19,71,63
71,18,71,64
96,19,70,45
88,19,66,88
98,25,98,43
81,29,81,47
88,20,88,65
67,33,67,64
62,24,56,62
65,25,37,65
44,23,42,43
59,20,59,43
61,23,48,29
66,26,57,62
90,21,56,56
57,31,57,52
76,29,75,62
56,26,51,54
79,24,53,33
64,24,57,38
73,19,73,63
66,19,66,55
77,14,77,52
65,26,52,65
89,24,75,61
65,16,65,44
65,21,65,48
67,19,38,67
97,24,97,72
84,6,84,60
66,9,66,36
52,20,52,45
105,19,50,35
64,14,64,32
82,19,82,34
54,24,45,50
60,13,42,57
71,19,71,44
92,20,92,87
99,14,99,43
66,22,66,34
57,26,57,42
65,19,53,65
61,23,56,61
47,20,42,47
62,15,62,54
77,21,77,41
64,25,64,36
110,25,25,63
90,29,86,51
87,20,42,60
47,19,41,47
58,25,58,52
28,28,24,25
33,27,33,27
63,25,63,54
74,28,74,65
82,22,82,56
73,27,73,55
101,27,57,55
60,24,60,49
78,18,78,40
76,27,76,68
78,24,78,74
82,25,82,57
67,29,62,67
73,31,73,55
91,30,76,40
90,31,48,37
79,29,62,79
73,23,73,41
100,24,74,52
73,24,73,69
67,27,67,62
89,30,44,34
99,30,43,38
101,29,67,101
76,20,76,62
85,25,69,71
130,28,70,69
122,30,65,79
101,31,64,46
69,28,69,49
92,34,92,66
64,31,51,41
67,31,55,61
119,31,68,73
102,31,71,60
85,40,85,52
55,40,55,54
66,39,63,66
111,28,111,103
112,31,112,73
67,34,65,67
84,37,48,43
51,34,48,34
53,34,53,39
72,38,71,72
77,33,68,77
88,33,88,50
83,36,83,66
65,37,47,57
64,36,54,40
60,40,51,52
88,40,53,88
62,32,50,62
93,35,93,55
107,34,107,71
90,28,90,71
95,43,95,55
64,38,61,64
82,38,60,82
76,45,73,76
60,35,60,50
80,33,26,80
64,39,43,64
57,40,56,57
62,41,51,58
82,39,64,50
56,33,45,56
81,44,77,81
95,36,95,46
74,25,74,50
74,19,74,37
66,41,66,30
86,37,57,78
69,35,56,44
62,31,62,34
54,38,47,54
75,35,55,66
77,41,77,42
77,42,31,27
87,36,39,70
91,37,59,91
76,37,63,45
70,42,68,64
73,37,57,50
65,32,63,27
52,40,52,43
70,34,63,70
74,47,74,62
69,35,69,51
89,36,57,57
103,49,53,77
73,47,55,73
64,64,58,54
105,58,51,105
88,54,64,88
106,44,51,106
80,44,37,80
107,64,56,107
156,100,156,64
119,119,79,46
91,49,60,91
77,47,53,77
53,41,53,41
88,38,69,88
96,40,51,96
86,49,63,53
67,67,55,57
62,58,62,36
67,67,64,58
86,43,57,86
65,51,55,65
77,77,61,57
60,47,60,38
54,54,34,40
87,87,55,57
80,77,80,71
112,112,85,69
108,108,85,85
80,48,62,80
74,39,35,27
60,58,51,60
101,101,57,76
68,58,57,68
47,42,44,47
104,44,42,104
65,47,58,62
93,93,58,55
101,34,44,33
93,93,66,70
161,161,69,110
122,122,99,101
128,97,128,64
59,44,59,39
54,46,54,53
84,71,56,44
87,87,77,48
161,161,105,105
145,143,145,102
87,54,87,57
81,67,81,62
60,58,60,51
65,49,51,41
66,44,39,66
105,31,105,69
64,64,47,57
93,93,74,42
102,46,56,102
126,126,60,56
115,115,70,64
156,156,77,61
133,133,70,103
108,108,71,91
140,140,83,76
172,172,82,103
174,174,107,87
164,164,117,70
93,93,85,78
62,48,55,51
108,108,74,74
80,80,56,50
88,44,45,88
61,61,61,41
91,61,91,42
105,90,105,55
88,67,88,84
94,42,67,94
44,33,41,44
60,38,52,60
77,77,61,42
50,44,45,24
71,71,53,42
115,115,67,79
130,87,130,51
151,71,151,79
84,84,60,49
101,101,61,55
100,100,67,47
93,93,69,82
65,48,60,65
90,44,54,55
116,44,48,44
71,44,42,52
51,49,51,42
51,48,36,36
72,47,57,72
82,50,57,82
82,54,57,82
58,46,58,47
46,31,37,46
49,49,34,27
67,67,55,54
112,112,72,58
93,93,75,67
122,122,76,79
95,67,95,68
100,100,84,35
72,67,72,18
86,48,56,35
67,67,62,44
190,190,75,65
203,203,102,69
147,147,97,63
126,126,54,36
87,87,62,51
100,100,67,44
78,64,78,51
73,61,54,73
80,61,55,80
69,67,60,51
87,87,65,46
74,74,65,53
115,115,52,31
50,49,43,50
74,61,61,74
74,48,74,56
78,40,70,78
85,51,52,85
47,32,41,47
62,34,62,34
67,26,59,67
66,36,66,56
73,67,70,73
71,43,38,71
71,40,49,37
53,42,53,47
58,58,51,41
57,46,57,44
108,108,82,49
70,54,70,67
42,37,39,42
47,46,47,43
90,90,61,54
93,93,64,63
119,119,76,61
150,150,98,94
136,136,99,102
90,49,90,67
64,41,64,51
44,39,44,25
64,44,64,27
50,31,30,50
89,34,54,39
58,30,40,58
99,54,49,99
71,31,61,50
64,31,51,64
54,45,35,42
100,54,59,100
115,115,80,97
133,133,74,102
95,71,56,95
147,147,111,76
49,38,47,38
61,61,55,48
87,54,68,87
82,40,56,82
62,31,31,52
87,37,87,78
87,41,45,61
77,77,51,58
97,97,71,56
72,33,59,33
62,44,62,34
67,34,55,49
95,74,71,65
72,37,72,55
68,67,68,42
77,77,70,54
76,44,69,41
120,32,110,31
77,18,77,21
79,29,30,79
66,29,57,66
61,22,61,44
56,27,56,38
91,48,72,91
66,25,63,66
88,35,56,88
64,41,49,64
55,22,38,45
75,40,30,38
64,64,40,27
58,31,52,58
76,28,52,76
53,29,42,49
69,31,24,42
95,23,61,95
112,30,68,112
141,33,55,46
83,33,49,83
77,35,67,77
75,30,66,69
84,28,68,84
87,24,78,87
73,31,55,73
52,29,52,43
121,28,63,44
64,25,64,62
103,25,47,103
77,19,61,77
74,21,74,58
68,24,68,48
85,19,85,31
94,26,80,94
102,22,60,102
104,23,56,56
78,27,78,48
54,19,54,45
71,26,71,34
84,27,84,33
93,16,93,41
110,19,110,30
48,23,48,21
94,29,94,30
57,21,57,48
61,19,61,34
65,22,65,36
87,13,87,56
86,26,53,86
82,19,45,82
89,21,60,89
67,28,52,67
47,25,45,47
69,21,69,38
55,21,47,55
74,34,53,74
71,31,52,71
74,23,74,73
68,17,68,50
87,26,87,45
60,34,60,41
92,23,92,89
75,22,75,58
76,27,64,76
68,28,68,62
73,28,66,73
67,29,62,40
69,32,63,33
126,23,126,58
76,21,76,67
140,19,140,79
139,19,139,49
122,6,122,54
76,23,76,32
70,20,70,22
50,19,48,50
62,22,54,40
75,25,72,65
63,22,58,63
96,20,96,38
66,23,66,35
71,19,71,34
93,13,93,49
93,24,93,39
56,27,54,56
76,21,70,66
70,19,68,57
89,20,89,33
72,21,59,25
59,30,59,51
51,28,38,42
104,19,63,58
73,17,73,39
69,19,69,54
77,17,77,41
92,20,92,32
81,23,70,81
76,19,55,65
64,14,63,64
58,19,54,58
76,20,51,76
52,29,52,28
90,28,39,38
66,22,46,66
78,27,71,78
95,22,59,71
104,28,66,69
92,18,92,60
75,28,75,44
93,31,93,70
94,29,81,58
64,25,64,25
49,26,40,44
74,31,74,47
65,26,54,65
73,25,73,43
87,21,87,36
78,18,74,78
61,29,55,61
55,28,32,55
73,24,58,73
74,28,65,74
85,31,85,40
51,34,50,32
65,27,59,65
76,29,76,68
99,29,77,99
74,27,74,64
101,32,68,78
69,31,68,69
67,33,67,35
80,29,53,46
71,29,42,71
101,34,54,101
78,31,63,78
77,26,68,77
97,43,97,65
106,41,106,66
102,27,77,102
91,37,55,91
88,37,62,88
91,40,67,86
70,38,70,58
87,32,87,50
61,38,61,45
72,31,51,72
70,37,63,70
95,31,55,95
102,35,76,102
95,37,59,95
48,35,36,48
59,32,59,46
104,38,70,104
87,36,87,74
96,40,78,96
82,40,59,82
74,42,59,74
41,34,41,35
37,37,33,32
63,30,63,42
72,26,72,72
104,37,69,104
70,40,49,70
48,37,48,32
43,43,26,42
55,47,45,55
91,40,45,91
71,41,63,37
94,39,54,94
84,38,51,66
47,37,40,47
47,39,45,47
67,31,67,36
66,31,66,65
79,39,49,79
90,44,62,90
86,43,63,86
111,49,62,111
81,51,81,50
87,87,77,45
72,35,72,60
72,30,72,68
51,35,51,42
66,34,66,35
54,37,53,48
66,38,22,66
44,44,30,28
89,44,28,89
80,45,56,80
86,64,59,86
113,64,77,113
78,74,74,78
85,48,76,85
93,46,93,58
113,64,113,106
106,84,96,106
108,71,74,108
102,67,87,102
86,71,86,62
62,58,62,60
55,51,55,48
80,47,52,80
52,47,45,52
73,61,73,70
103,58,86,103
72,47,72,57
76,36,48,51
66,64,48,62
101,71,65,101
97,97,74,86
108,50,54,108
86,44,23,86
100,44,42,100
61,46,53,61
51,46,51,23
46,43,45,46
103,64,49,103
74,39,55,74
90,44,47,90
85,71,55,85
92,50,56,36
46,37,33,46
93,43,48,93
133,40,53,69
107,41,55,107
80,30,25,80
83,32,24,83
51,45,51,37
67,67,60,44
107,48,55,36
88,35,54,88
105,43,40,105
117,58,68,117
83,44,83,69
77,54,48,46
84,84,41,53
108,108,66,107
104,58,85,104
105,47,99,105
65,47,65,40
70,40,61,34
59,41,59,24
52,41,52,28
81,39,43,81
68,54,40,68
93,71,59,93
105,105,66,69
60,43,48,60
74,67,74,47
50,49,48,45
53,45,53,42
85,44,63,57
47,46,44,47
105,105,56,70
97,84,66,97
62,50,62,45
68,46,68,40
48,43,48,42
60,51,60,60
62,51,62,57
87,87,67,78
63,44,63,51
43,42,43,29
47,36,47,22
74,40,55,74
97,97,48,85
80,80,68,57
58,32,58,53
75,45,75,31
101,101,97,51
97,97,80,53
70,45,68,70
115,48,48,56
84,44,48,56
72,46,54,72
80,80,76,60
61,45,49,39
110,36,41,27
106,61,59,53
80,80,60,79
94,90,66,94
108,108,89,63
115,115,89,100
77,47,77,39
90,90,62,37
103,48,60,103
56,35,54,56
64,38,42,64
97,51,58,55
84,84,66,83
75,50,75,33
102,58,102,39
140,140,82,97
126,126,77,74
100,100,53,50
111,47,58,68
133,105,66,69
49,49,49,26
74,74,53,35
73,40,73,54
84,84,72,50
134,43,58,71
102,42,45,50
44,38,41,41
59,42,45,36
71,34,25,24
36,36,35,36
62,48,55,55
60,54,60,57
62,44,54,62
51,37,51,43
67,49,54,33
106,45,55,32
144,47,62,102
70,50,70,44
74,74,63,41
76,71,74,76
80,39,80,54
69,44,69,42
42,42,36,30
42,42,38,39
54,49,48,53
91,71,56,68
93,54,93,93
76,50,76,54
93,93,68,53
100,100,71,49
100,100,70,62
101,101,85,60
79,27,54,54
54,31,54,35
66,29,54,66
96,35,59,35
71,36,47,40
50,29,46,50
56,31,56,40
54,47,54,49
94,50,69,94
78,28,78,48
52,22,52,30
52,27,36,27
100,25,47,100
65,31,43,65
84,44,44,84
52,39,52,42
63,44,63,61
90,90,80,61
111,87,111,50
92,67,92,58
87,87,81,60
113,105,113,74
117,84,117,108
95,61,86,95
95,93,79,63
69,46,69,63
77,32,61,77
69,22,69,43
67,25,60,67
65,29,41,65
47,37,40,36
56,37,56,47
59,42,59,41
101,43,101,42
63,31,63,42
71,24,51,71
101,31,54,101
58,39,58,49
72,50,72,65
71,71,71,54
104,33,59,104
96,30,37,43
54,17,54,54
97,31,40,97
63,31,40,63
55,36,55,42
55,35,55,37
78,27,53,78
60,31,33,60
41,34,39,41
50,31,50,40
76,31,51,76
40,26,40,26
59,31,32,23
53,22,53,40
100,24,50,48
106,26,51,91
87,37,55,87
90,50,90,84
95,28,95,40
83,44,83,44
106,47,83,106
106,44,77,106
88,44,70,88
82,31,82,54
36,15,29,36
41,15,37,19
47,28,33,23
102,25,56,60
86,17,86,67
90,12,90,72
62,20,62,55
73,19,70,73
60,19,42,29
46,25,44,30
82,26,74,57
65,30,55,65
58,22,49,58
106,29,69,81
99,25,54,68
53,19,53,38
75,23,75,31
71,21,71,51
79,22,59,57
76,21,76,69
134,20,84,66
119,24,43,45
71,22,71,43
67,26,67,30
56,25,52,45
54,23,54,45
60,19,50,60
73,20,48,73
103,24,53,66
62,26,55,30
56,27,36,37
76,19,76,52
64,25,48,64
70,23,40,70
68,19,68,56
56,24,54,56
62,23,54,32
58,25,58,17
45,25,45,44
60,20,60,48
112,22,112,62
113,22,113,72
55,28,55,43
55,28,55,41
52,34,52,19
71,27,55,66
62,19,62,46
53,27,53,36
95,31,74,45
80,19,80,34
45,24,45,34
57,29,57,43
61,28,44,47
81,31,42,81
82,30,46,82
78,21,78,42
67,25,54,61
67,28,67,42
78,28,78,32
106,24,40,79
70,19,70,46
93,19,93,41
102,20,74,80
76,19,76,53
57,27,57,35
62,28,62,44
92,24,92,78
76,31,76,55
62,27,57,56
118,25,56,74
107,27,86,69
80,22,54,36
71,27,71,41
107,28,96,107
96,27,56,68
90,26,90,63
114,29,114,90
96,31,81,47
108,33,45,39
83,34,83,44
89,31,72,89
80,25,80,70
75,36,75,74
64,36,64,63
89,36,59,69
103,32,85,50
134,33,39,43
55,36,47,50
83,35,83,65
67,31,60,67
88,31,88,69
99,36,99,70
86,32,86,28
105,31,105,52
116,29,116,46
63,31,50,63
55,26,55,40
104,31,55,61
63,27,63,43
67,31,67,43
62,31,62,41
60,33,60,53
74,25,74,50
67,31,67,48
64,32,64,42
58,27,58,44
66,32,66,37
57,36,57,42
55,33,55,54
81,28,81,50
78,37,78,52
98,22,98,51
45,34,45,37
44,33,32,30
62,34,37,30
102,38,68,40
49,37,49,44
65,30,65,42
83,47,83,44
86,42,86,78
91,39,91,42
53,39,53,34
60,40,60,42
77,31,77,43
53,34,53,44
52,35,52,47
70,38,64,70
95,43,95,61
104,45,104,68
82,47,82,70
76,67,76,63
82,43,67,82
48,41,39,48
63,40,63,46
71,49,71,56
85,51,85,54
76,41,76,30
62,47,62,46
46,28,46,39
57,42,54,57
59,36,59,43
46,34,46,15
52,35,52,32
55,41,44,55
62,36,62,43
54,45,54,43
62,49,58,62
53,46,50,53
100,40,35,48
39,39,29,13
48,47,37,48
61,46,56,45
61,51,55,52
93,50,62,93
67,45,43,33
44,44,29,31
48,48,45,47
48,41,48,31
52,47,52,35
57,48,43,57
61,54,60,61
83,80,71,83
89,80,89,72
97,49,97,56
35,35,33,34
52,38,52,42
60,48,53,42
51,51,45,46
71,71,63,51
57,39,57,28
49,49,49,37
56,48,56,48
37,37,35,25
74,30,74,24
65,31,65,45
68,39,68,47
112,67,53,57
127,97,64,67
74,74,65,55
77,77,66,60
80,50,80,70
61,47,61,49
106,45,60,106
41,35,37,32
42,41,42,29
106,42,43,54
54,51,50,48
57,37,57,29
71,37,40,42
55,44,55,45
53,42,53,40
47,44,36,47
48,48,37,46
90,90,52,37
112,112,62,40
115,115,57,54
111,61,57,41
123,97,77,41
97,64,97,34
50,44,50,34
63,41,63,56
62,32,61,62
53,31,53,38
50,48,50,46
61,61,61,52
64,64,58,50
61,51,56,61
56,47,54,42
82,41,47,39
55,50,33,55
67,67,58,57
80,80,62,53
71,71,70,49
77,45,77,41
52,38,52,29
111,45,55,57
66,39,66,42
64,47,54,49
54,54,54,49
80,71,53,50
100,100,60,47
87,87,76,40
101,101,89,50
87,87,81,69
53,42,53,34
80,80,61,57
83,80,83,44
119,119,62,85
169,169,89,62
136,136,78,74
202,202,69,57
87,87,62,46
122,122,54,38
109,43,59,32
131,34,59,45
38,22,38,35
35,14,35,35
47,31,47,37
60,39,60,31
112,40,112,36
114,71,114,47
71,71,69,54
53,38,53,42
43,34,43,37
67,67,60,47
84,44,84,51
66,50,66,43
63,45,63,42
46,44,46,41
51,49,51,42
63,44,63,33
56,38,55,30
43,29,43,32
47,29,47,23
61,39,61,33
60,54,60,39
74,74,69,52
75,71,75,43
101,67,101,58
60,49,60,42
50,39,50,22
44,43,44,30
49,44,49,35
64,64,52,52
52,44,43,52
60,46,60,50
52,44,52,42
52,41,52,34
41,41,37,22
55,49,55,40
72,64,72,53
47,44,47,35
54,46,54,42
56,43,56,42
80,42,80,40
77,44,77,24
64,64,54,51
55,40,55,43
58,43,58,31
77,74,77,57
100,100,81,56
115,115,83,43
73,44,73,32
57,47,54,57
58,58,51,40
48,46,48,38
39,39,38,35
37,28,37,35
30,26,30,22
44,31,30,25
52,44,52,35
69,46,69,31
69,32,69,32
58,32,58,17
72,40,72,47
55,24,55,23
51,31,51,24
52,35,52,34
55,48,55,53
90,90,68,46
87,87,73,44
105,105,82,56
119,119,94,46
97,87,97,36
87,71,87,31
90,47,75,42
87,48,87,33
83,61,83,38
84,84,72,37
78,51,78,48
73,50,73,48
90,84,72,60
69,45,69,55
64,34,64,23
55,42,55,40
59,43,59,53
52,44,52,34
57,50,57,35
71,35,71,43
67,30,67,44
65,42,65,42
71,39,71,42
53,26,53,30
63,30,63,40
54,40,54,29
49,24,45,18
55,30,55,30
36,33,30,36
53,35,53,46
46,22,46,26
65,14,38,20
37,19,37,20
40,25,40,30
60,25,43,57
42,25,36,42
48,21,48,46
43,21,43,37
49,23,43,30
41,28,41,29
61,27,61,37
47,28,47,24
38,27,38,26
45,29,45,25
52,31,52,31
55,30,45,55
55,29,55,29
60,35,60,47
61,34,61,43
61,37,61,39
61,19,61,41
48,18,48,23
45,27,45,31
43,31,43,37
50,17,50,39
58,24,58,24
77,26,77,40
77,31,77,36
47,25,47,35
35,26,35,32
58,29,58,39
74,28,63,44
91,21,55,34
52,26,52,49
69,30,61,54
73,35,62,73
75,42,75,62
105,41,105,56
74,36,74,47
47,34,42,47
65,31,65,54
61,30,61,57
56,25,56,52
73,32,73,51
50,34,50,24
46,32,46,30
58,32,58,30
56,19,56,41
52,9,52,40
64,25,64,62
82,27,82,51
90,32,90,42
115,27,115,43
94,16,94,64
46,19,46,36
79,25,77,22
59,24,59,47
75,20,66,47
83,20,83,47
49,26,48,49
54,25,54,46
59,19,59,44
47,21,47,40
54,25,54,49
52,24,52,41
59,20,59,34
80,21,80,49
73,19,73,40
45,26,45,42
51,26,48,51
62,25,62,60
58,21,58,43
58,14,58,48
70,25,70,33
61,30,61,31
64,24,61,44
71,10,71,45
88,11,88,41
74,23,74,30
62,22,62,33
81,19,81,35
83,28,83,38
59,32,59,35
59,31,59,37
39,30,39,23
38,30,38,31
60,27,60,34
61,32,60,50
71,27,60,71
76,29,76,47
66,31,66,47
63,28,63,38
77,31,77,42
86,31,86,42
85,32,85,53
66,31,66,56
84,29,81,84
89,31,89,67
61,35,61,57
72,31,72,49
75,31,75,44
75,29,75,66
56,29,53,56
76,30,76,53
80,26,80,55
97,24,97,58
94,21,94,34
99,20,99,45
79,24,79,52
74,31,74,58
65,28,65,45
54,23,54,30
80,20,80,33
88,19,88,31
52,22,52,25
48,29,48,35
55,32,55,38
52,33,52,52
56,33,54,56
99,34,62,54
58,34,58,43
84,33,84,45
116,25,116,69
131,28,131,57
123,31,123,49
132,23,132,44
93,39,93,37
39,39,31,22
44,38,43,42
68,36,68,42
52,35,52,44
63,41,63,51
78,40,72,78
87,40,87,62
89,44,81,60
107,44,90,55
80,38,80,61
86,43,84,42
70,38,52,43
68,41,68,54
92,41,92,67
112,35,112,47
108,39,108,44
58,39,58,42
67,41,64,67
80,38,80,67
52,35,43,52
78,43,78,52
56,41,56,41
40,40,40,25
50,42,50,47
54,36,54,42
53,39,53,49
58,42,54,58
57,41,57,49
88,41,88,77
86,27,86,55
134,37,134,58
108,39,108,60
84,31,84,49
64,31,64,42
85,31,62,43
58,44,58,21
47,47,35,20
58,45,44,52
73,45,48,73
80,45,59,80
72,44,70,49
57,50,57,54
40,40,31,13
54,41,54,20
45,45,32,32
56,44,51,56
61,42,61,60
54,43,32,45
65,43,33,42
59,41,59,43
55,44,55,33
44,40,42,44
66,46,66,50
84,84,62,38
67,67,62,43
63,58,63,34
50,44,50,32
50,50,41,48
70,50,58,43
67,48,67,48
58,46,57,58
77,34,60,44
47,46,43,47
97,97,67,50
70,64,70,44
74,74,55,42
61,61,55,36
115,115,84,78
90,90,83,66
90,44,51,43
48,48,30,36
38,38,30,32
64,47,36,64
71,71,65,62
69,51,64,62
71,71,55,51
71,61,71,44
89,42,89,30
53,44,53,19
50,49,50,34
46,46,34,41
65,58,49,63
77,77,64,39
77,71,77,30
63,48,63,40
84,84,64,37
71,54,56,71
67,67,57,48
62,51,59,50
75,42,62,30
60,42,60,39
77,35,77,27
65,49,48,42
48,48,44,45
60,42,60,47
63,37,63,25
71,43,71,36
61,44,61,53
61,42,61,37
54,49,54,30
60,46,60,42
58,58,54,51
77,77,57,55
67,67,64,55
66,45,66,41
78,67,78,49
93,93,75,33
126,126,84,47
126,126,82,53
133,133,93,67
77,77,63,29
61,61,54,41
101,101,89,54
159,159,88,53
85,54,85,56
112,112,83,43
56,50,56,53
47,47,34,34
87,48,76,42
56,44,52,45
43,43,36,19
45,45,39,28
62,44,62,38
85,49,55,42
90,90,55,48
63,54,63,44
57,43,57,48
62,39,62,41
68,44,68,53
56,37,56,46
113,49,43,34
80,80,53,42
61,58,61,42
46,46,38,32
52,49,52,38
46,45,46,41
74,74,53,42
55,44,55,47
80,80,54,48
97,97,67,42
122,122,61,35
62,49,54,34
69,41,38,37
43,43,37,41
127,47,45,42
49,45,49,34
97,97,54,48
151,151,71,41
86,48,86,25
74,74,74,18
66,49,66,41
84,84,63,49
84,67,84,45
90,58,90,49
83,54,83,48
76,64,76,40
108,108,69,43
