"Date","Overall AQI Value","Main Pollutant","Site Name (of Overall AQI)","Site ID (of Overall AQI)","Source (of Overall AQI)","CO","Ozone","SO2","PM10","PM25","NO2"
"01/01/2013","59","PM2.5","Gary-IITRI/ 1219.5 meters east of Tennessee St.- old ammuntion bunker","18-089-0022","AQS","7","31","49","41","59","32"
"01/02/2013","54","PM2.5","Ogden Dunes- Water Treatment Plant","18-127-0024","AQS","8","25","30","45","54","45"
"01/03/2013","68","PM2.5","CHIWAUKEE PRAIRIE STATELINE","55-059-0019","AQS","7","26","27","52","68","34"
"01/04/2013","78","PM10","WASHINGTON HS","17-031-0022","AQS","7","31","44","78","55","38"
"01/05/2013","58","PM2.5","CHIWAUKEE PRAIRIE STATELINE","55-059-0019","AQS","7","24","21","25","58","36"
"01/06/2013","81","PM2.5","Gary-IITRI/ 1219.5 meters east of Tennessee St.- old ammuntion bunker","18-089-0022","AQS","8","28","43","31","81","34"
"01/07/2013","67","PM2.5","VILLAGE GARAGE","17-031-0001","AQS","8","26","11","26","67","35"
"01/08/2013","79","PM2.5","CHIWAUKEE PRAIRIE STATELINE","55-059-0019","AQS","7","22","13","30","79","33"
"01/09/2013","69","SO2","NIPSCO Dunes Acres","18-127-0011","AQS","9","31","69","53","53","46"
"01/10/2013","65","NO2","IEPA TRAILER","17-031-3103","AQS","14","28","10","21","55","65"
"01/11/2013","59","PM2.5","NORTHBROOK WATER PLANT","17-031-4201","AQS","7","24","9","13","59","29"
"01/12/2013","39","PM2.5","VILLAGE GARAGE","17-031-0001","AQS","7","24","13","32","39","25"
"01/13/2013","52","PM2.5","Gary-IITRI/ 1219.5 meters east of Tennessee St.- old ammuntion bunker","18-089-0022","AQS","7","24","24","19","52","21"
"01/14/2013","53","PM2.5","Gary-IITRI/ 1219.5 meters east of Tennessee St.- old ammuntion bunker","18-089-0022","AQS","9","27","30","29","53","43"
"01/15/2013","63","NO2","IEPA TRAILER","17-031-3103","AQS","14","26","11","44","62","63"
"01/16/2013","66","PM2.5","Gary- Burr St./ pumping station near truck stop","18-089-0026","AQS","16","27","19","52","66","49"
"01/17/2013","43","PM10","Gary-IITRI/ 1219.5 meters east of Tennessee St.- old ammuntion bunker","18-089-0022","AQS","7","34","21","43","37","41"
"01/18/2013","38","NO2","CTA BUILDING","17-031-0063","AQS","7","28","10","24","30","38"
"01/19/2013","54","SO2","NIPSCO Dunes Acres","18-127-0011","AQS","5","30","54","50","29","27"
"01/20/2013","58","PM10","Gary-IITRI/ 1219.5 meters east of Tennessee St.- old ammuntion bunker","18-089-0022","AQS","6","31","43","58","51","25"
"01/21/2013","51","PM10","Gary-IITRI/ 1219.5 meters east of Tennessee St.- old ammuntion bunker","18-089-0022","AQS","6","30","19","51","34","27"
"01/22/2013","42","NO2","CTA BUILDING","17-031-0063","AQS","7","29","16","35","39","42"
"01/23/2013","87","PM10","Gary-IITRI/ 1219.5 meters east of Tennessee St.- old ammuntion bunker","18-089-0022","AQS","6","30","27","87","55","41"
"01/24/2013","60","PM2.5","Gary-IITRI/ 1219.5 meters east of Tennessee St.- old ammuntion bunker","18-089-0022","AQS","8","29","7","58","60","46"
"01/25/2013","61","PM2.5","Gary-IITRI/ 1219.5 meters east of Tennessee St.- old ammuntion bunker","18-089-0022","AQS","7","22","36","28","61","41"
"01/26/2013","64","PM2.5","Gary-IITRI/ 1219.5 meters east of Tennessee St.- old ammuntion bunker","18-089-0022","AQS","8","26","21","35","64","51"
"01/27/2013","77","PM2.5","Hammond- Purdue/ Powers Bldg. Purdue University","18-089-2004","AQS","7","19","10","26","77","26"
"01/28/2013","70","PM2.5","Hammond- Purdue/ Powers Bldg. Purdue University","18-089-2004","AQS","8","14","11","29","70","33"
"01/29/2013","59","PM2.5","Hammond- Purdue/ Powers Bldg. Purdue University","18-089-2004","AQS","7","19","6","19","59","40"
"01/30/2013","36","NO2","CTA BUILDING","17-031-0063","AQS","8","28","19","25","24","36"
"01/31/2013","52","PM10","WASHINGTON HS","17-031-0022","AQS","6","29","29","52","44","25"
"02/01/2013","47","PM10","WASHINGTON HS","17-031-0022","AQS","6","23","33","47","33","37"
"02/02/2013","57","PM2.5","Gary-IITRI/ 1219.5 meters east of Tennessee St.- old ammuntion bunker","18-089-0022","AQS","7","29","13","25","57","33"
"02/03/2013","60","PM2.5","Ogden Dunes- Water Treatment Plant","18-127-0024","AQS","7","32","19","32","60","32"
"02/04/2013","48","PM2.5","Hammond- Purdue/ Powers Bldg. Purdue University","18-089-2004","AQS","11","35","11","22","48","46"
"02/05/2013","78","PM2.5","Gary-IITRI/ 1219.5 meters east of Tennessee St.- old ammuntion bunker","18-089-0022","AQS","9","29","17","32","78","73"
"02/06/2013","70","PM2.5","Gary- Burr St./ pumping station near truck stop","18-089-0026","AQS","11","31","11","26","70","61"
"02/07/2013","94","PM2.5","Hammond- Purdue/ Powers Bldg. Purdue University","18-089-2004","AQS","10","27","10","31","94","43"
"02/08/2013","54","PM2.5","Gary-IITRI/ 1219.5 meters east of Tennessee St.- old ammuntion bunker","18-089-0022","AQS","8","32","7","24","54","42"
"02/09/2013","59","PM2.5","CHIWAUKEE PRAIRIE STATELINE","55-059-0019","AQS","8","31","9","16","59","42"
"02/10/2013","46","PM2.5","CARY GROVE HS","17-111-0001","AQS","6","30","10","12","46","29"
"02/11/2013","42","PM2.5","4TH DISTRICT COURT","17-031-6006","AQS","6","31","21","19","42","34"
"02/12/2013","51","PM2.5","Ogden Dunes- Water Treatment Plant","18-127-0024","AQS","9","31","26","31","51","44"
"02/13/2013","61","PM2.5","SPRINGFIELD PUMP STATION","17-031-0057","AQS","9","25","23","30","61","45"
"02/14/2013","53","PM2.5","Gary-IITRI/ 1219.5 meters east of Tennessee St.- old ammuntion bunker","18-089-0022","AQS","7","35","47","28","53","39"
"02/15/2013","38","PM10","Gary-IITRI/ 1219.5 meters east of Tennessee St.- old ammuntion bunker","18-089-0022","AQS","9","36","31","38","34","38"
"02/16/2013","62","PM2.5","Gary-IITRI/ 1219.5 meters east of Tennessee St.- old ammuntion bunker","18-089-0022","AQS","7","36","19","54","62","30"
"02/17/2013","43","NO2","COM ED MAINTENANCE BLDG","17-031-0076","AQS","8","34","26","19","37","43"
"02/18/2013","50","PM2.5","CHIWAUKEE PRAIRIE STATELINE","55-059-0019","AQS","6","34","9","21","50","42"
"02/19/2013","70","PM10","WASHINGTON HS","17-031-0022","AQS","6","31","24","70","38","25"
"02/20/2013","54","PM2.5","Gary-IITRI/ 1219.5 meters east of Tennessee St.- old ammuntion bunker","18-089-0022","AQS","10","35","26","34","54","45"
"02/21/2013","47","NO2","COM ED MAINTENANCE BLDG","17-031-0076","AQS","8","37","10","21","46","47"
"02/22/2013","52","PM2.5","CITY HALL","17-043-4002","AQS","9","33","13","28","52","41"
"02/23/2013","55","PM2.5","CHIWAUKEE PRAIRIE STATELINE","55-059-0019","AQS","6","42","51","20","55","39"
"02/24/2013","110","SO2","COOK COUNTY TRAILER","17-031-1601","AQS","11","40","110","23","65","57"
"02/25/2013","81","NO2","COOK COUNTY TRAILER","17-031-4002","AQS","17","39","24","18","70","81"
"02/26/2013","61","PM2.5","Ogden Dunes- Water Treatment Plant","18-127-0024","AQS","8","38","23","12","61","24"
"02/27/2013","66","PM2.5","SPRINGFIELD PUMP STATION","17-031-0057","AQS","9","35","30","19","66","52"
"02/28/2013","34","Ozone","CAMP LOGAN TRAILER","17-097-1007","AQS","8","34","11","18","31","33"
"03/01/2013","38","Ozone","WATER PLANT","17-031-7002","AQS","9","38","17","13","22","38"
"03/02/2013","43","Ozone","CARY GROVE HS","17-111-0001","AQS","8","43","17","17","29","37"
"03/03/2013","57","NO2","COOK COUNTY TRAILER","17-031-4002","AQS","9","45","27","26","51","57"
"03/04/2013","69","NO2","CTA BUILDING","17-031-0063","AQS","11","41","20","18","54","69"
"03/05/2013","60","PM2.5","Gary- Madison St./ Gary Water/ IN American Water Co.","18-089-0031","AQS","9","40","11","19","60","33"
